"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200704456-01","변경","월영 소하천 준설 공사 폐기물 처리 용역","경상남도 창원시","경상남도 창원시","수의(총액)소액수의","2020/07/04 17:35(2020/07/10 14:00)"
"용역","20200641020-00","일반","코로나19 이후 국민의 일상 변화 기획조사","조달청 서울지방조달청","한국언론진흥재단","수의(총액)","2020/07/04 12:03(2020/07/09 14:00)"
"용역","20200638395-00","일반","2020년도 총경급 이상 사이버 위탁 교육 사업","조달청 서울지방조달청","경찰청","수의(총액)","2020/07/04 11:19(2020/07/08 14:00)"
"용역","20200704400-00","일반","2020년 문화유산 방문 캠페인 홍보관 기획, 설치 및 운영 (긴급)","한국문화재재단","한국문화재재단","제한(총액)협상에의한계약","2020/07/04 00:19(2020/07/15 10:00)"
