"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200701278-01","변경","주택건설공사 감리자(건축) 모집 공고(포항리버카운티지역주택조합 공동주택)","경상북도 포항시","경상북도 포항시","일반경쟁","2020/07/02 23:48(2020/07/13 10:00)"
"용역","20200702965-00","긴급","2020년 10월은 정동의달(시월정동) 행사 운영 용역","서울특별시","서울특별시","제한(총액)협상에의한계약","2020/07/02 22:26(2020/07/14 17:00)"
"용역","20200703141-00","긴급","비파괴 재하시험 단가계약(3차)","한국시설안전공단","한국시설안전공단","제한경쟁","2020/07/02 22:12(2020/07/08 12:00)"
"용역","20200703129-00","일반","(재공고) 2020년 안전보건 미디어 개발 및 홍보 용역","한국산업안전보건공단","한국산업안전보건공단","제한(총액)협상에의한계약","2020/07/02 22:01(2020/07/14 10:00)"
"용역","20200702053-00","일반","의성~신도청간연결도로개설 기본 및 실시설계용역(장기계속)","조달청","경상북도 의성군","일반경쟁(용역,PQ)","2020/07/02 21:20(2020/07/28 10:00)"
"용역","20200703103-01","변경","화진초 소방감리용역","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 21:20(2020/07/08 10:00)"
"용역","20200702720-01","변경","상용 플래너 연계 원전 콘크리트 표면 제염 하우징 개발 및 검증 용역","한국건설기술연구원","한국건설기술연구원","제한(총액)협상에의한계약","2020/07/02 21:11(2020/07/13 11:00)"
"용역","20200703042-00","일반","어린이통학버스 정보시스템 구축","어린이집안전공제회","어린이집안전공제회","일반(총액)협상에의한계약","2020/07/02 21:01(-)"
"용역","20200703093-00","일반","관문지하보도 승강기 설치공사 폐기물처리용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 20:57(2020/07/08 10:00)"
"용역","20200703088-00","일반","영일만3 일반산업단지 사후환경영향조사(운영시) 용역","경상북도 포항시","경상북도 포항시","제한경쟁","2020/07/02 20:50(2020/07/10 10:00)"
"용역","20200703079-01","취소","관문지하보도 승강기 설치공사 폐기물처리용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 20:48(2020/07/08 10:00)"
"용역","20200702025-01","변경","행정심판 사이버코스웨어 개발 용역","국민권익위원회 청렴연수원","국민권익위원회 청렴연수원","제한(총액)협상에의한계약","2020/07/02 20:46(2020/07/13 14:00)"
"용역","20200703049-00","긴급","2020년 적조방제용 대형 황토살포기 설치 운용 및 해체사업","경상남도 남해군","경상남도 남해군","제한(총액)","2020/07/02 20:43(2020/07/08 15:00)"
"용역","20200703070-00","일반","건설업 산업재해예방실적평가 산정지표 개선 용역","한국산업안전보건공단","한국산업안전보건공단","제한(총액)협상에의한계약","2020/07/02 20:42(2020/07/14 10:00)"
"용역","20200703054-00","긴급","2020년 제4차 대형폐기물 위탁처리 용역","경기도 여주시","경기도 여주시","제한(총액)","2020/07/02 20:39(2020/07/08 10:00)"
"용역","20200703073-00","일반","제브라피쉬를 활용한 화합물 50종의 기초 생리활성 및 간독성 기능시험 용역","한국화학연구원부설안전성평가연구소","한국화학연구원부설안전성평가연구소","수의(총액)소액수의","2020/07/02 20:36(2020/07/08 10:00)"
"용역","20200703033-01","취소","관문지하보도 승강기 설치공사 폐기물처리용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 20:30(2020/07/08 10:00)"
"용역","20200703057-00","일반","팔룡초등학교 석면해체제거공사 감리용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 20:27(2020/07/08 10:00)"
"용역","20200703058-00","일반","상주교육지원청 중학생 영어몰입교육캠프 지원사업 위탁용역 입찰공고","경상북도교육청 경상북도상주교육지원청","경상북도교육청 경상북도상주교육지원청","제한(총액)규격가격동시","2020/07/02 20:25(2020/07/15 12:00)"
"용역","20200703059-00","일반","강동대학교 사회맞춤형 역량강화 자격증 교육 위탁운영 사업자 선정 입찰 재공고","강동대학교","강동대학교","제한(총액)협상에의한계약","2020/07/02 20:23(-)"
"용역","20200703044-00","일반","2020년 인천공항경비(주) 하계/연중 휴양소 위탁 용역","인천공항경비 주식회사","인천공항경비 주식회사","제한(총액)협상에의한계약","2020/07/02 20:15(2020/07/13 15:00)"
"용역","20200703047-00","일반","춘천시 친환경농업육성 중장기계획 수립 연구용역 시행","강원도 춘천시 농업기술센터","강원도 춘천시 농업기술센터","제한(총액)협상에의한계약","2020/07/02 20:15(-)"
"용역","20200703031-00","일반","(재공고) 웹사이트 및 앱 본인인증 서비스 사업자 선정","한국산업안전보건공단","한국산업안전보건공단","제한(총액)","2020/07/02 20:12(2020/07/13 10:00)"
"용역","20200703027-00","일반","팔룡초등학교 외 1교(성호초) 석면농도측정용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 20:10(2020/07/08 10:00)"
"용역","20200702860-00","일반","대전버드내초 등 3교 석면농도 및 비산정도 측정용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 19:56(2020/07/08 10:00)"
"용역","20200703003-00","일반","대전판암초 등 3교 석면농도 빛 비산농도 측정용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 19:52(2020/07/08 10:00)"
"용역","20200703005-00","일반","팔룡초등학교 지정폐기물 처리용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 19:48(2020/07/08 10:00)"
"용역","20200701711-00","일반","서대전초등학교 외 1교 석면농도 및 비산정도 측정용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/02 19:48(2020/07/08 10:00)"
