"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200701441-00","일반","합천군관리계획(재정비)결정(변경)에 따른 전략환경영향평가 용역","경상남도 합천군","경상남도 합천군","제한경쟁","2020/07/01 22:53(2020/07/09 10:00)"
"용역","20200701440-00","일반","병배소하천 정비사업 조사측량 및 실시설계 용역","경상남도 합천군","경상남도 합천군","제한경쟁","2020/07/01 22:46(2020/07/09 10:00)"
"용역","20200701432-00","일반","동부초 등 2교 석면천장교체공사 지정폐기물 처리용역","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/01 21:58(2020/07/07 10:00)"
"용역","20200701430-00","일반","동부초 별관동 천장교체공사 석면 해체·제거작업 감리용역","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/01 21:42(2020/07/07 10:00)"
"용역","20200701397-00","일반","동의대학교 산학협력단 카우프만 이온 소스(kaufmann Ion source) 구매","동의대학교 산학협력단","동의대학교 산학협력단","제한(총액)협상에의한계약","2020/07/01 19:49(-)"
"용역","20200701388-00","일반","중앙8분구(역사도심)처리구역 하수관로 정비사업(2공구) 준설토 폐기물처리 용역","전라북도 전주시","전라북도 전주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/01 19:40(2020/07/07 10:00)"
"용역","20200701367-00","일반","죽성초등학교 식당증축 및 기타공사 건설폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/01 19:14(2020/07/07 10:00)"
"용역","20200701363-00","일반","해송초등학교 등 2교(동백초) 외부환경개선공사 건설폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/01 19:11(2020/07/07 10:00)"
"용역","20200637973-00","긴급","2020 스포츠클럽디비전[KBF D5리그] 시스템 구축 사업","사단법인 대한당구연맹","사단법인 대한당구연맹","제한(총액)협상에의한계약","2020/07/01 19:10(2020/07/06 17:00)"
"용역","20200701357-00","일반","죽성초 등 2교(반송여중) 식당증축 및 기타공사 건축사감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액수의","2020/07/01 19:06(2020/07/07 10:00)"
"용역","20200634774-02","변경","2020 KBF 스포츠클럽 디비전 D5리그 물품 제작 업체 선정","사단법인 대한당구연맹","사단법인 대한당구연맹","제한(총액)협상에의한계약","2020/07/01 19:04(-)"
"용역","20200639879-00","일반","농소초등학교 가상현실 스포츠실 설치 용역","조달청 대구지방조달청","경상북도교육청 경상북도김천교육지원청 농소초등학교","제한(총액)협상에의한계약","2020/07/01 19:03(2020/07/15 10:00)"
"용역","20200701352-00","일반","해운대교육지원청 태양광발전공사 감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/01 19:01(2020/07/07 10:00)"
"용역","20200700691-00","일반","e나라도움 재해복구 및 시스템운영 소프트웨어 구매","조달청","기획재정부","제한(총액)협상에의한계약","2020/07/01 19:01(2020/08/04 10:00)"
"용역","20200701345-00","긴급","2020 식품산업 일자리성공패키지 운영 용역","한국농수산식품유통공사","한국농수산식품유통공사","제한(총액)협상에의한계약","2020/07/01 19:01(2020/07/13 10:00)"
"용역","20200701348-00","일반","2020년 도제허브사업단 소셜미디어 홍보 대행 용역","한국기술교육대학교산학협력단","한국기술교육대학교산학협력단","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/01 18:59(2020/07/10 14:00)"
