"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200702651-00","긴급","서울시사회서비스원 요양보호사 직무교육 위탁운영 용역","재단법인 서울특별시 사회서비스원","재단법인 서울특별시 사회서비스원","제한(총액)협상에의한계약","2020/07/05 23:36(2020/07/16 12:00)"
"용역","20200704452-00","일반","성내 신부선(리도 203호선) 확포장공사 폐기물처리용역","전라북도 고창군","전라북도 고창군","제한(총액)","2020/07/05 18:02(2020/07/13 15:00)"
"용역","20200704450-00","일반","고창읍 온수선(농도304호선) 확포장공사 폐기물 처리용역","전라북도 고창군","전라북도 고창군","제한(총액)","2020/07/05 17:56(2020/07/13 15:00)"
"용역","20200704538-00","일반","진도타워 제2주차장(옹벽) 정밀안전진단 용역","전라남도 진도군","전라남도 진도군","수의(총액)소액수의","2020/07/05 17:52(2020/07/10 14:00)"
"용역","20200704504-00","일반","서울시 유출지하수 활용 가이드라인 마련 연구용역","서울특별시","서울특별시","제한(총액)협상에의한계약","2020/07/05 14:50(2020/07/16 16:00)"
"용역","20200704490-00","긴급","2020년 한국발명진흥회 직원 단체보험","한국발명진흥회","한국발명진흥회","일반(총액)","2020/07/05 13:18(2020/07/10 10:00)"
"용역","20200704472-00","일반","북한산국립공원사무소 신축공사 폐기물 처리 용역","국립공원공단 북한산국립공원사무소","국립공원공단 북한산국립공원사무소","제한(총액)","2020/07/05 09:41(2020/07/13 10:00)"
