"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200703445-00","일반","성주군 통합바이오 에너지화시설 설치사업 공정안전보고서, 장외영향평가서 작성 용역","경상북도 성주군","경상북도 성주군","제한경쟁","2020/07/03 14:33(2020/07/13 10:00)"
"용역","20200703801-00","일반","(재공고) 한국화학연구원(본원) 일반폐기물위탁처리용역","한국화학연구원","한국화학연구원","제한(총액)","2020/07/03 14:32(2020/07/09 10:00)"
"용역","20200703729-00","긴급","금오공과대학교 인조잔디 분리회수 및 재활용처리 용역","금오공과대학교","금오공과대학교","제한(총액)","2020/07/03 14:32(2020/07/09 10:00)"
"용역","2020070303001-00","일반","남제주복합발전소 천연가스 공급시설 비파괴검사 기술용역","한국가스공사","한국가스공사","제한(총액)","2020/07/03 14:31(2020/08/06 10:00)"
"용역","20200703805-00","일반","2020년 농어촌생활용수개발(대호지정미)급수관로 시설공사 GIS DB구축용역","충청남도 당진시","충청남도 당진시","제한경쟁","2020/07/03 14:31(2020/07/13 14:00)"
"용역","20200703790-00","일반","두산대권 종합사회복지관 건립 설계공모","대구광역시 수성구","대구광역시 수성구","일반경쟁","2020/07/03 14:29(-)"
"용역","20200703552-00","긴급","2020년 연구실안전 교육용 동영상 및 VR 제작","조달청 대전지방조달청","한국생명공학연구원","수의(총액)","2020/07/03 14:27(2020/07/06 15:00)"
"용역","20200703789-00","일반","이동전화 온라인 불·편법 행위 모니터링","사단법인 한국정보통신진흥협회","사단법인 한국정보통신진흥협회","일반(총액)협상에의한계약","2020/07/03 14:26(-)"
"용역","20200703626-00","일반","문산초 등 5교 초등학교 1학년 교실 환경개선사업 설계용역 수의계약 안내 공고","광주광역시교육청 광주광역시동부교육지원청","광주광역시교육청 광주광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 14:24(2020/07/09 10:00)"
"용역","20200703743-00","긴급","임상병리검사 위탁 용역","근로복지공단 순천병원","근로복지공단 순천병원","제한(총액)규격가격동시","2020/07/03 14:24(2020/07/09 10:00)"
"용역","20200703783-00","일반","2020년 농어촌생활용수개발(대호지정미)급수관로 시설공사 폐기물처리용역","충청남도 당진시","충청남도 당진시","제한(총액)","2020/07/03 14:23(2020/07/13 14:00)"
"용역","20200634359-01","취소","금융기관 서울사무소 및 금융종사자 네트워킹 공간 운영 용역","서울특별시","서울특별시","제한(총액)협상에의한계약","2020/07/03 14:23(2020/07/07 18:00)"
"용역","20200703781-00","일반","서원대학교 20년 대학혁신지원사업 교육환경개선공사 설계용역","서원대학교","서원대학교","제한경쟁","2020/07/03 14:22(-)"
"용역","20200703725-01","취소","안강제일초등학교 담장설치 및 기타공사 폐기물처리용역 견적제출 공고","경상북도교육청 경상북도경주교육지원청","경상북도교육청 경상북도경주교육지원청","수의(총액)소액수의","2020/07/03 14:17(2020/07/09 10:00)"
"용역","20200703763-00","일반","경기도청 직장운동경기부 업무용 차량 렌트 용역","대한체육회 경기도체육회","대한체육회 경기도체육회","일반(총액)","2020/07/03 14:17(2020/07/10 15:00)"
"용역","20200703412-01","변경","신성대학교 SNS홍보 위탁 용역","신성대학","신성대학","일반(총액)협상에의한계약","2020/07/03 14:17(-)"
"용역","20200701696-00","일반","인천간재울초등학교 장애인 편의시설 설치공사 감리용역 수의계약 안내 공고","인천광역시교육청 인천광역시서부교육지원청","인천광역시교육청 인천광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 14:16(2020/07/09 10:00)"
"용역","20200703744-00","긴급","홍사용 문화의 거리 조성사업 실시설계 용역","경기도 화성시","경기도 화성시","제한경쟁","2020/07/03 14:15(2020/07/09 10:00)"
"용역","20200703703-01","취소","서라벌초등학교 진입로포장 및 기타공사 폐기물처리용역 견적제출 공고","경상북도교육청 경상북도경주교육지원청","경상북도교육청 경상북도경주교육지원청","수의(총액)소액수의","2020/07/03 14:15(2020/07/09 10:00)"
"용역","20200703408-01","취소","두산대권 종합사회복지관 건립 설계공모","대구광역시 수성구","대구광역시 수성구","일반경쟁","2020/07/03 14:14(-)"
"용역","20200703760-00","일반","AIㆍ데이터 중심의 스마트시티 발전확산을 위한 실행전략   수립","국토교통과학기술진흥원","국토교통과학기술진흥원","제한(총액)협상에의한계약","2020/07/03 14:13(-)"
"용역","20200703751-00","긴급","단국대학교 클라우드 기반 학습관리시스템(LMS) 통합구축사업자 선정 입찰","단국대학교","단국대학교","일반(총액)협상에의한계약","2020/07/03 14:12(-)"
"용역","20200703715-00","일반","양구군 한전리마을 LPG배관망 구축사업 건설폐기물 처리용역 소액수의 견적 공고","재단법인 한국엘피지배관망사업단","재단법인 한국엘피지배관망사업단","수의(단가)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 14:11(2020/07/06 14:00)"
"용역","20200703742-00","긴급","디지털 취약계층을 위한 공공서비스 전달체계 개선방안","행정안전부","행정안전부","제한(총액)협상에의한계약","2020/07/03 14:11(2020/07/14 10:00)"
