업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),,
용역,20200523733-00,일반,진월면 장재마을 취약지역 생활여건 개조사업 휴먼케어 및 역량강화 용역 입찰 공고,전라남도 광양시,전라남도 광양시,제한(총액),2020/05/19 19:40(2020/05/27 10:00),,
용역,20200522658-00,긴급,2020년 청주서부소방서 소방자동차 종합보험 가입 용역,충청북도,충청북도,일반(총액),2020/05/19 19:37(2020/05/25 10:00),,
용역,20200523719-00,일반,2020년 옹기마을 조경관리 용역,울산광역시 울주군,울산광역시 울주군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 19:35(2020/05/25 10:00),,
용역,20200521971-00,일반,2020년 지하시설물 전산화사업,조달청 강원지방조달청,강원도 인제군,수의(총액),2020/05/19 19:34(2020/05/21 14:30),,
용역,20200523718-00,일반,광양읍 마산마을 취약지역 생활여건 개조사업 휴먼케어 및 역량강화 용역 입찰 공고,전라남도 광양시,전라남도 광양시,제한(총액),2020/05/19 19:32(2020/05/27 10:00),,
용역,20200523568-00,긴급,구덕포 자연재해위험개선지구 정비사업 감독권한대행 등 건설사업관리용역(PQ후 가격입찰)-긴급,부산광역시 해운대구,부산광역시 해운대구,일반경쟁,2020/05/19 19:29(2020/05/26 10:15),,
용역,20200523687-00,일반,2020년 복합웰컴센터 조경관리 용역,울산광역시 울주군,울산광역시 울주군,제한(총액),2020/05/19 19:25(2020/05/27 10:00),,
용역,20200523685-00,일반,외국인근로자(E-9) 교육훈련 실태조사 및 개선방안 연구용역,한국산업인력공단,한국산업인력공단,제한(총액)협상에의한계약,2020/05/19 19:24(2020/06/03 10:00),,
용역,20200522369-00,긴급,2020년 포장관리시스템 조사결과 분석용역,조달청 서울지방조달청,경기도청 북부청사,제한(총액)협상에의한계약,2020/05/19 19:08(2020/06/02 10:00),,
용역,20200523675-00,일반,연구실안전정보망 고도화사업 1식,한국원자력연구원,한국원자력연구원,제한(총액)협상에의한계약,2020/05/19 19:04(2020/06/01 11:00),,
용역,20200523672-00,긴급,2020년 갯녹음 암반 해조서식환경 복원 용역,강원도 강릉시,강원도 강릉시,제한경쟁,2020/05/19 19:03(2020/05/25 10:00),,
용역,20200523671-00,일반,강화군 기독교 근대 역사 기념관 조성사업 전시기획 및 전시물 설계 용역,인천광역시 강화군,인천광역시 강화군,일반(총액)협상에의한계약,2020/05/19 19:03(2020/06/02 18:00),,
용역,20200523535-00,긴급,반송동 세대공감 생활골목장소화 시범사업 폐공가철거공사(1차)폐기물처리용역(긴급),부산광역시 해운대구,부산광역시 해운대구,제한(총액),2020/05/19 18:56(2020/05/26 10:00),,
용역,20200522500-00,긴급,디지털 실감콘텐츠 제작 및 체험관 조성 사업,조달청,문화체육관광부 국립중앙박물관 부여박물관,일반(총액)협상에의한계약,2020/05/19 18:55(2020/06/09 10:00),,
용역,20200519550-00,일반,다문화학생 학력심의 진단도구 개발 연구,조달청 서울지방조달청,국가평생교육진흥원,수의(총액),2020/05/19 18:54(2020/05/27 14:00),,
용역,20200519797-00,일반,2020년 중소기업 기술인재 채용관 제작·운영,조달청,중소기업기술정보진흥원,일반(총액)협상에의한계약,2020/05/19 18:54(2020/06/30 10:00),,
용역,20200523658-00,긴급,매봉산 안전체험관 조성 건립 타당성 조사,서울특별시,서울특별시 소방재난본부,제한경쟁,2020/05/19 18:51(2020/05/26 15:00),,
용역,20200522401-00,일반,경기도 문턱 없는 관광지 관광안내지도 제작·배포 용역,경기관광공사,경기관광공사,제한(총액)협상에의한계약,2020/05/19 18:46(-),,
용역,20200523645-00,긴급,화개산 전망대 조성사업 감리 용역,인천광역시 강화군,인천광역시 강화군,제한경쟁,2020/05/19 18:45(2020/05/25 10:00),,
용역,20200523286-00,긴급,태국/인도네시아 식품안전관리체계 심층조사,조달청 서울지방조달청,식품안전정보원,제한(총액)협상에의한계약,2020/05/19 18:41(2020/06/03 10:00),,
용역,20200523621-00,일반,재정지원사업 사후기술지도 용역,한국산업안전보건공단,한국산업안전보건공단,제한(총액),2020/05/19 18:37(2020/05/28 14:00),,
용역,20200523633-00,일반,2020년 조림지 가꾸기 사업(호저소초지구) 실시설계 용역,강원도 원주시,강원도 원주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:37(2020/05/25 10:00),,
용역,20200523553-00,일반,H3 프로젝트 개발기본계획용역 입찰 공고,하남도시공사,하남도시공사,제한(총액)협상에의한계약,2020/05/19 18:35(2020/06/15 17:00),,
용역,20200523627-00,일반,2020년 조림지 가꾸기 사업(귀래부론지구) 실시설계 용역,강원도 원주시,강원도 원주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:33(2020/05/25 10:00),,
용역,20200521486-00,긴급,광주 종합운동장(주경기장) 건립공사 교통영향평가용역,경기도 광주시,경기도 광주시,제한경쟁,2020/05/19 18:30(2020/05/25 10:00),,
용역,20200523619-00,일반,(긴급)2020 광안리해변 수변공원 야간 안전관리 경비용역,부산광역시 수영구,부산광역시 수영구,제한(총액),2020/05/19 18:30(2020/05/25 10:00),,
용역,20200523606-00,일반,2020년 조림지 가꾸기 사업(흥업판부신림지구) 실시설계 용역,강원도 원주시,강원도 원주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:28(2020/05/25 10:00),,
용역,20200521520-00,일반,광주 종합운동장(주경기장) 건립공사 재해영향평가용역,경기도 광주시,경기도 광주시,제한경쟁,2020/05/19 18:28(2020/05/25 10:00),,
용역,20200523611-00,일반,"광치 제1,2산업단지 노후상수관로 정비공사 GIS DB 구축 용역",전라북도 남원시,전라북도 남원시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:27(2020/05/25 14:00),,
용역,20200522360-00,긴급,동물세포실증지원센터 GMP제조 및 제조 지원 설비 적격성평가 용역,조달청,동물세포실증지원센터,일반(총액)규격가격동시,2020/05/19 18:26(2020/06/05 10:00),,
용역,20200523612-00,일반,서울시 관련 비선호 시설 갈등영향 분석 용역,서울특별시,서울특별시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:26(2020/05/26 15:00),,
용역,20200523597-00,일반,전라남도 장흥소방서 건립사업 설계공모,전라남도,전라남도,수의계약,2020/05/19 18:24(-),,
용역,20200521565-00,긴급,동네한바퀴 산책가로 조성사업 실시설계용역,경기도 광주시,경기도 광주시,제한경쟁,2020/05/19 18:24(2020/05/25 10:00),,
용역,20200523088-00,긴급,지세포 자연재해위험 개선지구 정비사업 기본 및 실시설계 용역 사업수행능력평가서 제출안내,경상남도 거제시,경상남도 거제시,일반경쟁,2020/05/19 18:24(-),,
용역,20200523605-00,일반,길음동 문화복합미디어센터 사인물 디자인 및 제작설치 용역,서울특별시 성북구,서울특별시 성북구,지명(총액),2020/05/19 18:23(2020/05/27 10:00),,
용역,20200519835-01,변경,2020년도 한국원자력연구원 지하처분연구시설(KURT) 정밀안전진단 용역 1식,한국원자력연구원,한국원자력연구원,제한경쟁,2020/05/19 18:19(2020/05/27 11:00),,
용역,20200523595-00,일반,"광치 제1,2산업단지 노후상수관로 정비공사 폐기물 처리용역",전라북도 남원시,전라북도 남원시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:19(2020/05/22 14:00),,
