"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200519736-00","긴급","바둑인프라구축(바둑기보 인공지능 형세분석 기능 개발)","사단법인 대한바둑협회","사단법인 대한바둑협회","일반(총액)규격가격동시","2020/05/17 23:37(2020/05/21 10:00)"
"용역","20200519734-00","일반","실차재현내구시험기 2020년 상반기 유지보수","(재)울산테크노파크","(재)울산테크노파크","일반(총액)","2020/05/17 22:55(2020/05/22 14:00)"
"용역","20200518597-00","일반","수질검사실험 정보관리 포탈시스템 유지관리(´20)","조달청 인천지방조달청","환경부 국립환경과학원","수의(총액)","2020/05/17 16:54(2020/05/19 12:00)"
"용역","20200519680-00","일반","사업수행능력평가서 제출 안내공고[경천대, 낙동공공하수처리시설 기술진단 용역]","경상북도 상주시","경상북도 상주시","일반경쟁","2020/05/17 16:34(-)"
"용역","20200509762-00","일반","인체 조직 및 연령 추정 동시분석법 개발","조달청 서울지방조달청","대검찰청","수의(총액)","2020/05/17 15:45(2020/05/22 12:00)"
"용역","20200519669-00","일반","충주캠퍼스 조경(예초 및 제초) 관리 용역","한국교통대학교","한국교통대학교","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/17 15:30(2020/05/25 10:00)"
"용역","20200519670-00","일반","내추럴 대구 생태관광자원 디자인 및 홍보마케팅","사단법인 대구관광뷰로","사단법인 대구관광뷰로","제한(총액)협상에의한계약","2020/05/17 15:20(2020/06/08 11:00)"
"용역","20200518870-00","긴급","2020년 주거실태조사(실사 및 마이크로데이터 생산)","조달청","국토교통부","수의(총액)","2020/05/17 14:30(2020/05/19 15:00)"
"용역","20200519608-00","일반","2020년 상암교 등 3개소 보수공사 폐기물처리 용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/17 11:02(2020/05/21 10:00)"
"용역","20200519606-00","일반","2020년 비봉1교등 2개소 보수공사 폐기물처리 용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/17 10:57(2020/05/21 10:00)"
"용역","20200519605-00","일반","2020년 굴암1교등 5개소 보수공사 폐기물처리 용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/17 10:52(2020/05/21 10:00)"
