"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200517863-01","변경","2020학년도 세계시민교육 교원역량강화 원격직무연수 위탁운영","부산광역시교육청","부산광역시교육청","제한(총액)규격가격동시","2020/05/14 22:04(2020/06/01 10:00)"
"용역","20200517872-00","일반","안전보건기술지침 통폐합 및 최신화 용역","한국산업안전보건공단","한국산업안전보건공단","제한(총액)협상에의한계약","2020/05/14 22:02(2020/05/26 10:00)"
"용역","20200517875-00","긴급","부산시 영도구(하리항) 어촌뉴딜사업 기본계획(마스터플랜) 수립 및 지역역량강화사업 용역","한국어촌어항공단","한국어촌어항공단","제한(총액)협상에의한계약","2020/05/14 21:56(2020/05/25 10:00)"
"용역","20200514406-01","취소","부산시 영도구(하리항) 어촌뉴딜사업 기본계획(마스터플랜) 수립 및 지역역량강화사업 용역","한국어촌어항공단","한국어촌어항공단","제한(총액)협상에의한계약","2020/05/14 21:51(2020/05/25 10:00)"
"용역","20200517870-00","일반","옥천초 창고 증축 및 기타공사 건설폐기물처리용역 소액수의 견적제출 안내 공고","전라북도교육청 전라북도순창교육지원청","전라북도교육청 전라북도순창교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/14 21:48(2020/05/20 10:00)"
"용역","20200517869-00","일반","해외규격인증획득지원사업 2020년 완료기업 만족도 및 성공사례 조사 용역","한국화학융합시험연구원","한국화학융합시험연구원","일반(총액)협상에의한계약","2020/05/14 21:47(2020/05/25 14:00)"
"용역","20200516764-00","일반","돌고래급 잠수정 해상 육상운송 및 수리","국립해양박물관","국립해양박물관","제한(총액)","2020/05/14 21:43(2020/05/22 12:00)"
"용역","20200517854-00","일반","정대2동 공영주차장 건축물 철거공사 폐기물처리용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/14 21:33(2020/05/20 10:00)"
"용역","20200517846-00","일반","안전보건 경영관리 가이드라인 개발 용역","한국산업안전보건공단","한국산업안전보건공단","제한(총액)협상에의한계약","2020/05/14 21:32(2020/05/25 10:00)"
"용역","20200517848-00","일반","쌍백 백역마을 노후상수도 정비공사 폐기물처리용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/14 21:26(2020/05/20 10:00)"
"용역","20200517843-00","긴급","하수 및 분뇨처리시설 악취기술진단 용역-중랑","서울특별시","서울특별시 물재생센터 중랑물재생센터","제한경쟁","2020/05/14 21:20(2020/05/20 12:00)"
