"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200505745-00","일반","2020년 국제 지식재산 나눔사업 에티오피아 브랜드 개발 및 비즈니스 전략 구축 용역 사업","한국발명진흥회","한국발명진흥회","제한(총액)협상에의한계약","2020/05/06 23:17(2020/05/20 10:00)"
"용역","20200505744-00","일반","특허 갭펀드 조성 지원사업 마케팅 용역","한국과학기술원","한국과학기술원","제한(총액)협상에의한계약","2020/05/06 23:14(-)"
"용역","20200505743-00","일반","2020년 국제 지식재산 나눔사업 부탄 브랜드 개발 및 비즈니스 전략 구축 용역","한국발명진흥회","한국발명진흥회","제한(총액)협상에의한계약","2020/05/06 23:06(2020/05/20 10:00)"
"용역","20200503280-01","취소","특허 갭펀드 조성 지원사업 마케팅 용역","한국과학기술원","한국과학기술원","제한(총액)협상에의한계약","2020/05/06 23:00(-)"
"용역","20200505738-00","일반","IP 파노라마 개정판 개발","한국발명진흥회","한국발명진흥회","제한(총액)협상에의한계약","2020/05/06 22:47(2020/05/20 10:00)"
"용역","20200505732-00","일반","청년 초기기업 사업화 컨설팅 지원사업 일찰 공고","재단법인 안양창조산업진흥원","재단법인 안양창조산업진흥원","일반(총액)협상에의한계약","2020/05/06 22:36(2020/05/18 16:00)"
"용역","20200505726-00","일반","하동군 공립치매전담요양원 건립 기존건물 철거공사 (건설폐기물처리용역)","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 22:29(2020/05/12 10:00)"
"용역","20200505708-00","일반","어촌자원을 활용한 내수면 발전 기본계획 연구용역(협상에 의한 계약)","강원도 춘천시 농업기술센터","강원도 춘천시 농업기술센터","일반(총액)협상에의한계약","2020/05/06 21:57(-)"
"용역","20200505698-00","일반","2020년 고성군 관내교량(2종시설물) 정밀안전점검용역 견적 제출","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 21:46(2020/05/11 10:00)"
"용역","20200505691-00","일반","2020년 고성군 관내교량(3종시설물) 정기안전점검용역 견적 제출","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 21:41(2020/05/11 10:00)"
"용역","20200505692-00","긴급","광명시 상수도 비상공급망 구축공사 기본설계용역","경기도 광명시","경기도 광명시","일반경쟁","2020/05/06 21:41(2020/05/13 16:00)"
"용역","20200505690-00","일반","발신번호 변작 대응 신규 기술 조사 및 분석","한국인터넷진흥원","한국인터넷진흥원","제한(총액)협상에의한계약","2020/05/06 21:39(-)"
"용역","20200505685-00","일반","춘암마을 마을만들기사업 폐기물처리용역 견적 제출","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 21:35(2020/05/11 10:00)"
"용역","20200505682-00","일반","민·관합동조사단 대응 강화를 위한 사이버보안전문단 연구 개발 활동 지원","한국인터넷진흥원","한국인터넷진흥원","제한(총액)협상에의한계약","2020/05/06 21:34(-)"
"용역","20200505677-00","긴급","대방동 지하벙커 석면해체 처리 용역(변경)","서울특별시 동작구","서울특별시 동작구","일반(총액)","2020/05/06 21:31(2020/05/12 10:00)"
"용역","20200505678-00","일반","고성시장 바닥 정비공사 폐기물처리용역 견적 제출","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 21:30(2020/05/11 10:00)"
"용역","20200505598-00","일반","과천행복드림센터 건립 타당성 조사 및 기본계획 수립용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 21:19(2020/05/12 10:00)"
"용역","20200505661-00","일반","대륜고등학교 친환경운동장 재조성공사 폐기물처리용역","대구광역시교육청 대륜고등학교","대구광역시교육청 대륜고등학교","제한(총액)","2020/05/06 21:10(2020/05/12 10:00)"
"용역","20200505654-00","일반","2020. 강진진로체험지원센터 운영 위탁 용역","전라남도교육청 전라남도강진교육지원청","전라남도교육청 전라남도강진교육지원청","제한(총액)규격가격동시","2020/05/06 21:03(2020/05/18 10:00)"
"용역","20200505648-00","긴급","빈집실태조사 및 정비계획수립 용역[긴급]","경기도 평택시","경기도 평택시","제한경쟁","2020/05/06 21:03(2020/05/12 10:00)"
"용역","20200505634-00","긴급","2020년도 과천시 상수도 블록시스템 구축 실시설계용역(3,6,7,9블럭)","경기도 과천시","경기도 과천시","제한경쟁","2020/05/06 20:59(2020/05/29 10:00)"
"용역","20200501638-00","일반","2020년도 국회방송 프로그램 분장·코디 용역 계약","조달청 서울지방조달청","국회 국회사무처","제한(총액)규격가격동시","2020/05/06 20:58(2020/05/19 10:00)"
"용역","20200505645-00","일반","여주시 농어촌도로 기본계획(정비) 전략환경영향평가 용역","경기도 여주시","경기도 여주시","제한경쟁","2020/05/06 20:54(2020/05/14 10:00)"
"용역","20200505593-01","취소","대륜고등학교 친환경운동장 재조성공사 폐기물처리용역","대구광역시교육청 대륜고등학교","대구광역시교육청 대륜고등학교","제한(총액)","2020/05/06 20:53(2020/05/12 10:00)"
"용역","20200505628-00","일반","대륜고등학교 친환경운동장 재조성공사 소각폐기물처리용역","대구광역시교육청 대륜고등학교","대구광역시교육청 대륜고등학교","제한(총액)","2020/05/06 20:48(2020/05/12 10:00)"
"용역","20200504315-00","긴급","헌법재판소 유튜브 영상 콘텐츠 제작","헌법재판소","헌법재판소","제한(총액)협상에의한계약","2020/05/06 20:42(2020/05/26 10:00)"
"용역","20200505609-00","일반","무료망 기반 케이블교량 지능형 무선계측시스템 시범구축","한국시설안전공단","한국시설안전공단","제한경쟁","2020/05/06 20:29(2020/05/14 12:00)"
"용역","20200505599-00","일반","청량천 등 13개소 하천기본계획에 따른 전략환경영향평가 용역","울산광역시","울산광역시","지명경쟁","2020/05/06 20:24(2020/05/15 10:00)"
"용역","20200444248-01","취소","대방동 지하벙커 석면해체 처리 용역","서울특별시 동작구","서울특별시 동작구","일반(총액)","2020/05/06 20:18(2020/05/07 10:00)"
"용역","20200500674-00","일반","2019년 등록센서스 기반의 표본조사용 조사구모집단 구축 사업","조달청","통계청","제한(총액)협상에의한계약","2020/05/06 20:15(2020/06/16 10:00)"
"용역","20200505583-00","일반","춘천 신매리유적 종합정비계획 수립 연구 용역(협상에 의한 계약) 재공고","강원도 춘천시","강원도 춘천시","제한(총액)협상에의한계약","2020/05/06 20:12(-)"
"용역","20200504546-00","일반","공간정보 통합플랫폼 구축사업","조달청","충청남도","제한(총액)협상에의한계약","2020/05/06 20:12(2020/05/19 10:00)"
"용역","20200505546-00","일반","영동군 읍면청사 정비계획 수립 용역 소액수의 견적제출 안내 공고","충청북도 영동군","충청북도 영동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 20:06(2020/05/12 12:00)"
"용역","20200505568-00","일반","동대문역사문화공원 야외유구전시장 유지보수 용역","서울특별시 서울역사박물관","서울특별시 서울역사박물관","수의(총액)소액수의","2020/05/06 20:06(2020/05/13 10:00)"
"용역","20200505527-00","일반","중문색달해변 산책로 보수보강공사 건설폐기물 처리용역","제주특별자치도 서귀포시","제주특별자치도 서귀포시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 19:56(2020/05/12 12:00)"
"용역","20200505543-00","일반","목현주유소~제일고 간 아스콘절삭 및 덧씌우기공사 폐기물처리 용역","경상북도 영주시","경상북도 영주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 19:53(2020/05/12 10:00)"
"용역","20200505451-00","긴급","방송대 교육콘텐츠 지원을 위한 컴퓨터 임차 용역","한국방송통신대학교","한국방송통신대학교","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 19:52(2020/05/12 10:00)"
"용역","20200505528-00","일반","힐링타운 무장애 나눔길 조성사업 감리용역 소액수의 견적제출 안내 공고","충청북도 영동군","충청북도 영동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 19:46(2020/05/12 12:00)"
"용역","20200505443-00","일반","제로페이(구로사랑상품권) 가맹점모집 용역","서울특별시 구로구","서울특별시 구로구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/06 19:45(2020/05/12 10:00)"
