"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200539181-00","긴급","수원시 경관계획 재정비 용역","경기도 수원시","경기도 수원시","일반(총액)협상에의한계약","2020/05/29 22:06(-)"
"용역","20200535674-00","일반","교원참여형 교육과정 평가 실행모델 개발 연구(비수도권)","조달청 서울지방조달청","국가교육회의","제한(총액)협상에의한계약","2020/05/29 21:09(2020/06/11 10:00)"
"용역","20200537616-00","일반","교원참여형 교육과정 평가 실행모델 개발 연구(수도권)","조달청 서울지방조달청","국가교육회의","제한(총액)협상에의한계약","2020/05/29 20:47(2020/06/10 10:00)"
"용역","20200539175-00","일반","법원 앞 공영주차장 고도화사업 폐기물처리용역","경기도 부천시","경기도 부천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/29 20:43(2020/06/04 10:00)"
"용역","20200539178-00","일반","2020년 실험폐기물 위탁처리용역","부산대학교 연구실안전관리센터","부산대학교 연구실안전관리센터","일반(총액)","2020/05/29 20:40(2020/06/08 10:00)"
"용역","20200539173-00","일반","국가임상시험지원재단 협약기업 직무분석을 통한 훈련과정 개발 용역 제안요청서(B群 협약기업)","국가임상시험지원재단","국가임상시험지원재단","제한(총액)협상에의한계약","2020/05/29 20:27(-)"
"용역","20200539163-00","일반","펄벅문화거리 조성사업 기본 및 실시설계용역 제안서 제출 안내 (재)공고","경기도 부천시","경기도 부천시","일반(총액)협상에의한계약","2020/05/29 19:42(-)"
"용역","20200539160-00","일반","국방 인공지능 발전을 위한 제도 및 환경 개선 정책 연구 일반 용역","국방과학연구소","국방과학연구소","제한(총액)규격가격동시","2020/05/29 19:36(2020/06/15 10:00)"
"용역","20200539156-00","일반","(구)캠프페이지일원 그린빗물인프라조성공사 건설사업관리용역 사업수행능력선정자 가격입찰공고","강원도 춘천시","강원도 춘천시","지명경쟁","2020/05/29 19:27(2020/06/09 10:00)"
"용역","20200539153-00","일반","감귤1,2공장 사업장폐기물(유기성오니) 위탁처리 용역(장기계속계약, 단가계약)","제주특별자치도개발공사","제주특별자치도개발공사","제한(단가)","2020/05/29 19:11(2020/06/09 10:00)"
"용역","20200539143-00","긴급","선박검사 포털시스템(법령정보)개발 2차 용역","한국해양교통안전공단","한국해양교통안전공단","제한(총액)협상에의한계약","2020/05/29 18:59(-)"
"용역","20200538048-00","긴급","지사 노후화 정보통신시스템 교체 사업","조달청","국민연금공단","제한(총액)협상에의한계약","2020/05/29 18:56(2020/06/16 10:00)"
"용역","20200539141-00","긴급","코로나19 대응 학원·교습소 방역소독 용역(긴급)","부산광역시교육청 부산광역시남부교육지원청","부산광역시교육청 부산광역시남부교육지원청","제한(총액)","2020/05/29 18:53(2020/06/04 10:00)"
"용역","20200538243-00","일반","공공부문 마이데이터 유통체계 구축사업","조달청","행정안전부","수의(총액)","2020/05/29 18:50(2020/06/03 15:00)"
"용역","20200539135-00","일반","2020년 시설물안전법 대상 시설물(주암2교) 보수.보강공사 폐기물처리 용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/29 18:50(2020/06/04 10:00)"
"용역","20200539110-00","일반","중앙동 새술막길 차도,인도 정비공사 폐기물처리 용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/29 18:34(2020/06/04 10:00)"
"용역","20200538659-00","긴급","보건의료 빅데이터 플랫폼 기능 고도화 사업","조달청","한국보건산업진흥원","제한(총액)협상에의한계약","2020/05/29 18:28(2020/06/16 10:00)"
"용역","20200539032-00","일반","한식 기업 취업가이드북 제작","재단법인 한식진흥원","재단법인 한식진흥원","제한(총액)협상에의한계약","2020/05/29 18:27(2020/06/12 16:00)"
"용역","20200539114-00","일반","광주소방서 곤지암 119안전센터 신축 전기공사 감리용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/29 18:27(2020/06/05 10:00)"
"용역","20200537083-00","긴급","2020년 행정정보 공유 확대를 위한 범정부 정보유통 허브 구축사업","조달청","행정안전부","수의(총액)","2020/05/29 18:26(2020/06/01 14:45)"
"용역","20200539113-00","일반","7단계 5차년도 KEPIC 전기계측분야 표준개발","(사)대한전기협회                                  ","(사)대한전기협회                                  ","일반(총액)협상에의한계약","2020/05/29 18:25(-)"
"용역","20200538766-00","일반","2020년 국가간 원산지정보 자료교환 시스템 확대 구축","조달청","관세청","수의(총액)","2020/05/29 18:24(2020/06/01 15:00)"
"용역","20200539104-00","긴급","광도면 안정이동민원실 외 4개소 내진선능상세평가 용역(긴급)","경상남도 통영시","경상남도 통영시","제한경쟁","2020/05/29 18:24(2020/06/04 11:00)"
"용역","20200539105-00","일반","2020년도 위성정보활용 사용자 만족도 조사","한국항공우주연구원","한국항공우주연구원","제한(총액)규격가격동시","2020/05/29 18:23(2020/06/05 10:00)"
"용역","20200538327-00","일반","2020년 항공안전 IT 시스템 유지보수 및 기능개선","조달청","국토교통부","수의(총액)","2020/05/29 18:22(2020/06/01 14:30)"
"용역","20200538377-00","일반","2020년 ICAO 항공안전시스템 기능 개선 및 성능 고도화","조달청","국토교통부","수의(총액)","2020/05/29 18:21(2020/06/01 14:15)"
