"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200519729-00","일반","2020년 양주시 맞춤형 빅데이터 분석사업 용역","조달청 서울지방조달청","경기도 양주시","제한(총액)협상에의한계약","2020/05/22 22:18(2020/06/05 10:00)"
"용역","20200519098-00","긴급","IoT기반 스마트글라스 활용 원격 안전점검시스템 구축","조달청 서울지방조달청","한국지역정보개발원","제한(총액)협상에의한계약","2020/05/22 22:16(2020/06/11 10:00)"
"용역","20200529473-00","일반","군도12호 유지관리사업(재포장) 폐기물처리용역 견적 제출","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 22:04(2020/05/27 10:00)"
"용역","20200529465-00","긴급","국도4호선 과선교 등 4개소 교면포장 보수공사 건설폐기물처리용역","국토교통부 대전지방국토관리청 논산국토관리사무소","국토교통부 대전지방국토관리청 논산국토관리사무소","제한(총액)","2020/05/22 21:30(2020/05/28 10:00)"
"용역","20200529463-00","긴급","2020년 소규모 공동주택 안전점검 용역","경기도 수원시","경기도 수원시","일반경쟁","2020/05/22 21:18(2020/05/28 10:00)"
"용역","20200529461-00","일반","2020년 파주 국지도 및 지방도 도로정비공사 폐기물처리용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 21:14(2020/05/28 10:00)"
"용역","20200529459-00","긴급","서산시 공공폐수처리시설 운영관리 민간위탁 용역","충청남도 서산시","충청남도 서산시","일반(총액)협상에의한계약","2020/05/22 21:07(-)"
"용역","20200529457-00","일반","수원시 도시계획시설(시장) 관리방안 수립 용역","경기도 수원시","경기도 수원시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 21:03(2020/05/28 10:00)"
"용역","20200529455-00","긴급","생활자원회수센터 기능보강공사 감리용역","충청남도 서산시","충청남도 서산시","제한경쟁","2020/05/22 21:02(2020/05/28 10:00)"
"용역","20200529456-00","일반","로컬콘텐츠 발굴 및 제작 로컬매거진 문화곳간 나나 발간 용역 공고","사단법인 시민문화회의","사단법인 시민문화회의","일반(총액)협상에의한계약","2020/05/22 21:01(-)"
"용역","20200529454-00","일반","2020년 양주 국지도 및 지방도 도로정비공사 폐기물처리용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 20:59(2020/05/28 10:00)"
"용역","20200529450-00","일반","수원시 고색역 · 오목천역세권 경관 가이드라인 수립용역","경기도 수원시","경기도 수원시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 20:49(2020/05/28 10:00)"
"용역","20200529445-00","일반","2020년 포천 국지도 및 지방도 도로정비공사 폐기물처리용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 20:42(2020/05/28 10:00)"
"용역","20200529446-00","일반","고성농요 전수교육관 이전건립 기본계획 수립 및 타당성 조사 용역","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 20:34(2020/05/27 11:00)"
"용역","20200529447-00","긴급","수원시 스마트시티형 도시재생뉴딜사업(연무동) 실행계획 수립 및 실시설계 용역","경기도 수원시","경기도 수원시","일반(총액)협상에의한계약","2020/05/22 20:34(-)"
"용역","20200523776-00","일반","2020년 산촌캠퍼스","조달청 서울지방조달청","한국임업진흥원","제한(총액)협상에의한계약","2020/05/22 20:24(2020/06/03 10:00)"
"용역","20200517696-00","일반","2020년 국제 지식재산 나눔사업 베트남 국가 지역 인증마크 (브랜드) 개발 및 활용 전략 구축 용역 사업","조달청 서울지방조달청","한국발명진흥회","제한(총액)협상에의한계약","2020/05/22 20:23(2020/06/02 10:00)"
"용역","20200529431-00","일반","양주 회천지구 A19BL 대광로제비앙 아파트 신축공사 감리자(전기) 모집 공고","경기도 양주시","경기도 양주시","일반경쟁","2020/05/22 20:00(2020/06/08 12:00)"
"용역","20200529429-00","일반","2020년 한국문화테마파크(영주지구)조성사업 건설폐기물처리(소각)용역","경상북도 영주시","경상북도 영주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 19:59(2020/05/28 10:00)"
"용역","20200528995-00","긴급","2020년 이러닝산업 실태조사","조달청 서울지방조달청","정보통신산업진흥원 부설 소프트웨어정책연구소","수의(총액)","2020/05/22 19:50(2020/05/26 11:00)"
"용역","20200529408-01","변경","양주 회천지구 A19BL 대광로제비앙 아파트 신축공사 감리자(건축) 모집공고","경기도 양주시","경기도 양주시","일반경쟁","2020/05/22 19:36(2020/06/08 12:00)"
"용역","20200528229-00","일반","광학기법 이용 난개발지역 오염물질 배출량 산정기법 연구(Ⅰ)","조달청 인천지방조달청","환경부 국립환경과학원","수의(총액)","2020/05/22 19:27(2020/05/26 14:00)"
"용역","20200529380-00","긴급","송림골 사계솔마당, 아뜨렛길 지하광장 조성사업 기본 및 실시설계 용역","인천광역시 동구","인천광역시 동구","제한경쟁","2020/05/22 19:24(2020/05/28 10:00)"
"용역","20200529402-00","긴급","호원천 생태하천 복원사업 기본 및 실시설계 용역(긴급)","경기도 의정부시","경기도 의정부시","일반경쟁","2020/05/22 19:16(2020/05/28 10:00)"
"용역","20200529395-00","긴급","사곡 사업용차량 공영주차장 조성사업 실시설계 및 도시관리계획 결정(변경) 용역","경상남도 거제시","경상남도 거제시","제한경쟁","2020/05/22 19:07(2020/05/29 10:00)"
"용역","20200529370-00","긴급","여주시 노후 하수관로 정비공사 폐기물처리용역","경기도 여주시","경기도 여주시","제한(총액)","2020/05/22 19:07(2020/05/28 10:00)"
"용역","20200529385-00","긴급","2020년 서구 장고개로 외 1개소 재난대비 도로유지보수공사 폐기물처리용역","인천광역시 종합건설본부","인천광역시 종합건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 19:04(2020/05/28 10:00)"
"용역","20200529393-00","긴급","중랑천 좌안 하류부 자전거도로 정비공사 폐기물처리용역(긴급)","경기도 의정부시","경기도 의정부시","제한(총액)","2020/05/22 19:03(2020/05/28 10:00)"
"용역","20200529382-00","일반","낙양동 택시 쉼터 건립공사 기본 및 실시설계 용역","경기도 의정부시","경기도 의정부시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 18:51(2020/05/28 10:00)"
"용역","20200529376-00","긴급","정대동 공영주차장 조성사업 지상가옥 철거공사 폐기물처리용역","경상남도 합천군","경상남도 합천군","제한(총액)종합낙찰제","2020/05/22 18:40(2020/05/28 10:00)"
"용역","20200529371-00","일반","2020년 공원 내 수경시설 연간 세척 용역(남부지역)","경기도 평택시","경기도 평택시","수의(총액)소액수의","2020/05/22 18:37(2020/05/28 10:00)"
"용역","20200527559-01","취소","낙양동 택시 쉼터 건립공사 기본 및 실시설계 용역","경기도 의정부시","경기도 의정부시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 18:37(2020/05/27 10:00)"
"용역","20200529368-00","일반","청덕 가현마을 상수관로 정비공사 폐기물처리용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 18:35(2020/05/28 10:00)"
"용역","20200529366-00","일반","(재공고)신용보증기금 비대면 신용보증 플랫폼 2단계 구축","신용보증기금","신용보증기금","제한(총액)협상에의한계약","2020/05/22 18:34(-)"
"용역","20200529364-00","일반","2020년 공원 내 수경시설 연간 세척 용역(북부지역)","경기도 평택시","경기도 평택시","수의(총액)소액수의","2020/05/22 18:32(2020/05/28 10:00)"
"용역","20200529362-00","일반","2020년 정보공개 서비스 만족도 조사","건강보험심사평가원","건강보험심사평가원","제한(총액)협상에의한계약","2020/05/22 18:32(2020/06/02 14:00)"
"용역","20200529330-00","긴급","단오문화,해안권 관광도로(구정,옥계) 조성사업 실시설계용역","강원도 강릉시","강원도 강릉시","일반경쟁","2020/05/22 18:31(-)"
"용역","20200529347-00","일반","2020년 공원 내 수경시설 연간 세척 용역(서부지역)","경기도 평택시","경기도 평택시","수의(총액)소액수의","2020/05/22 18:27(2020/05/28 10:00)"
"용역","20200528630-00","긴급","정부충남지방합동청사 국가정보통신서비스 제공","조달청","행정안전부 정부청사관리본부","일반(총액)협상에의한계약","2020/05/22 18:27(2020/06/17 10:00)"
"용역","20200529349-00","일반","광주형 ABS 구조화증권 발행 방안 연구","재단법인 광주정보.문화산업진흥원","재단법인 광주정보.문화산업진흥원","일반(총액)협상에의한계약","2020/05/22 18:27(2020/06/02 10:00)"
"용역","20200529344-00","긴급","2020년 관악구 관내 노후 하수암거 정밀점검 용역","서울특별시 관악구","서울특별시 관악구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 18:27(2020/06/02 10:00)"
"용역","KNOC2020050200-00","일반","2020년 동해가스전 해저배관 지형조사 용역","한국석유공사","한국석유공사 본사","제한(총액)2단계경쟁","2020/05/22 18:27(2020/06/01 15:00)"
"용역","20200529354-00","긴급","국도45호선 원남교(상) 등 2개교 정밀안전진단용역(성능평가포함)","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한경쟁","2020/05/22 18:25(2020/05/26 12:00)"
"용역","20200529331-00","일반","서울생활사조사연구 ‘패션으로 보는 서울의 문화지형도’ 조사 용역","서울특별시 서울역사박물관","서울특별시 서울역사박물관","제한(총액)협상에의한계약","2020/05/22 18:24(2020/05/28 17:00)"
"용역","20200529338-00","긴급","국도21호선 목주교 등 2개교 정밀안전진단용역(성능평가포함)","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한경쟁","2020/05/22 18:20(2020/05/26 12:00)"
"용역","20200529327-00","일반","행복도시권 광역BRT 3개노선 개발계획 수립 용역(재공고)","행정중심복합도시건설청","행정중심복합도시건설청","일반경쟁","2020/05/22 18:19(-)"
"용역","KNOC2020050220-00","일반","상시 회계자문(PA) 용역","한국석유공사","한국석유공사 본사","일반(총액)2단계경쟁","2020/05/22 18:16(2020/06/02 15:00)"
"용역","20200529285-00","일반","2020 교과용도서 원문DB 구축 및 메타데이터 입력","재단법인 한국교과서연구재단","재단법인 한국교과서연구재단","일반(총액)협상에의한계약","2020/05/22 18:15(-)"
"용역","20200529322-00","긴급","화성시 농업·농촌 통계 기반구축 사업 용역","경기도 화성시","경기도 화성시","일반(총액)협상에의한계약","2020/05/22 18:15(-)"
"용역","20200529315-00","긴급","충주시 하수도정비 기본계획(변경) 수립용역(PQ 제출안내)","충청북도 충주시","충청북도 충주시","일반경쟁","2020/05/22 18:15(-)"
"용역","20200527991-00","일반","남한산성 진입관문 디자인개발 및 기본·실시설계용역(설계공모)","경기도 광주시","경기도 광주시","일반경쟁","2020/05/22 18:14(-)"
"용역","20200529313-00","긴급","(긴급)이봉창의사 기념관 전시설계 및 전시물 제작 설치 용역","서울특별시 용산구","서울특별시 용산구","제한(총액)협상에의한계약","2020/05/22 18:12(2020/06/02 17:00)"
"용역","20200529311-00","일반","새마을금고 금융지원센터 운영업무 도급위탁","새마을금고중앙회","새마을금고중앙회","일반(총액)","2020/05/22 18:11(-)"
"용역","20200528500-00","일반","성남교육지원청 석면해체제거공사 지정폐기물처리용역","경기도교육청 경기도성남교육지원청","경기도교육청 경기도성남교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/22 18:10(2020/05/28 10:00)"
"용역","20200529309-00","긴급","군산시 도시생태현황지도 제작 용역","전라북도 군산시","전라북도 군산시","제한(총액)","2020/05/22 18:09(2020/05/29 12:00)"
"용역","20200529295-00","일반","2020 직지코리아 실행업체 제안 공모(협상에 의한 계약)","충청북도 청주시","충청북도 청주시","제한(총액)협상에의한계약","2020/05/22 18:09(-)"
