"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200539417-00","긴급","도시재생뉴딜사업(주거지지원형)청춘활력소45조성사업건축설계용역","전라북도 정읍시","전라북도 정읍시","제한경쟁","2020/05/31 23:01(2020/06/05 14:00)"
"용역","20200539395-00","일반","청년창업농 임대형 스마트팜 온실신축(건축및기계설비)공사 감리용역","충청남도 당진시 농업기술센터","충청남도 당진시 농업기술센터","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/31 19:15(2020/06/05 10:00)"
"용역","20200539372-00","일반","무주 태권마을 조성사업 폐기물처리 용역","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/31 16:58(2020/06/04 10:00)"
"용역","20200539351-00","일반","노온14블록 상수도 노후관 교체공사 GIS DB 구축용역","경기도 광명시","경기도 광명시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/31 15:54(2020/06/04 15:00)"
"용역","20200538552-00","긴급","대소삼정지구 도시개발사업 감독권한대행등 건설사업관리용역 사업수행능력평가서 제출안내","충청북도 음성군 공영개발사업소","충청북도 음성군 공영개발사업소","일반경쟁","2020/05/31 10:07(-)"
