"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200517712-00","긴급","외교 기반인프라 개선을 위한 거점 클라우드 구축 정보화전략계획(ISP) 사업","조달청 서울지방조달청","외교부","수의(총액)","2020/05/18 23:01(2020/05/20 16:30)"
"용역","20200521214-00","일반","2021년 전국다문화가족실태조사 대비 시험조사 연구","조달청 서울지방조달청","여성가족부","수의(총액)","2020/05/18 22:59(2020/05/21 15:00)"
"용역","20200518567-00","일반","근현대사 디지털아카이브 웹 콘텐츠 개발 및 데이터 품질 관리","조달청 서울지방조달청","문화체육관광부 대한민국역사박물관","제한(총액)협상에의한계약","2020/05/18 22:57(2020/05/29 10:00)"
"용역","20200520039-00","일반","2020년도 소장자료 이미지 구축","조달청 서울지방조달청","문화체육관광부 국립한글박물관","제한(총액)협상에의한계약","2020/05/18 22:54(2020/05/29 10:00)"
"용역","20200520552-00","긴급","임산물 국가통합브랜드 품질기준 수립","조달청 서울지방조달청","한국임업진흥원","제한(총액)협상에의한계약","2020/05/18 22:50(2020/06/02 10:00)"
"용역","20200521884-00","일반","가상현실 기반 미생물 체험관 전시설계 및 전시물(품) 제작 · 설치","국립낙동강생물자원관","국립낙동강생물자원관","제한(총액)협상에의한계약","2020/05/18 22:45(2020/05/25 11:00)"
"용역","20200521882-00","일반","고성군 안전속도 5030 기본 및 실시설계용역","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/18 22:41(2020/05/21 10:00)"
"용역","20200521876-00","긴급","의림초 본관 외 5동 노후시설 정밀점검용역","충청북도교육청 충청북도제천교육지원청","충청북도교육청 충청북도제천교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/18 22:35(2020/05/22 10:00)"
"용역","20200521874-00","일반","고성군 상수도관망 기술진단(일반)용역","경상남도 고성군","경상남도 고성군","제한경쟁","2020/05/18 22:32(2020/05/25 10:00)"
"용역","20200521875-00","일반","2020 합천바캉스축제 행사운영 대행 용역","경상남도 합천군","경상남도 합천군","일반(총액)협상에의한계약","2020/05/18 22:32(-)"
"용역","20200521865-00","일반","금봉산천(자소지구) 일반하천정비사업 조사측량 및 실시설계용역","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/18 22:20(2020/05/21 10:00)"
"용역","20200521861-00","긴급","월운지구 농어촌생활용수 급수구역 확장공사 폐기물처리용역","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/18 22:11(2020/05/22 10:00)"
