"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200537163-01","취소","농어촌마을 하수도 설치사업(보령처리구역) 기본 및 실시설계용역(PQ)","충청남도 보령시 경제도시국 수도과","충청남도 보령시 경제도시국 수도과","일반경쟁","2020/05/30 18:59(-)"
"용역","20200539231-00","일반","예술의전당 통합메시징시스템(UMS) 단가","예술의전당","예술의전당","일반(총액)","2020/05/30 18:30(2020/06/09 10:00)"
"용역","20200539202-00","긴급","춘동지구 농어촌 지방상수도 개발사업 폐기물 처리용역","전라남도 영암군 수도사업소","전라남도 영암군 수도사업소","제한(총액)","2020/05/30 10:49(2020/06/05 14:00)"
"용역","20200539198-00","긴급","2020년 공용차량 통합보험 가입(긴급)","서울특별시 금천구","서울특별시 금천구","일반(총액)","2020/05/30 10:23(2020/06/05 10:00)"
