"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200533911-00","일반","정읍시 도시재생뉴딜사업(주거지지원형) 역량강화 용역(협상에 의한 계약)","전라북도 정읍시","전라북도 정읍시","일반(총액)협상에의한계약","2020/05/26 23:57(2020/06/16 14:00)"
"용역","20200533910-00","일반","정읍시 체육진흥기본계획 연구 용역(협상에 의한 계약)","전라북도 정읍시","전라북도 정읍시","일반(총액)협상에의한계약","2020/05/26 23:46(2020/06/05 14:00)"
"용역","20200533907-00","긴급","2020년 제2차 대형폐기물 위탁처리 용역","경기도 여주시","경기도 여주시","제한(총액)","2020/05/26 23:32(2020/06/01 10:00)"
"용역","20200532188-00","일반","2020년 지역 공예품 국내외 유통망 활성화 용역","재단법인전라남도정보문화산업진흥원","재단법인전라남도정보문화산업진흥원","일반(총액)협상에의한계약","2020/05/26 23:21(2020/06/09 10:00)"
"용역","20200533887-00","긴급","성내과~북초등학교 도로개설 공사 폐기물처리 용역","전라남도 순천시","전라남도 순천시","제한(총액)","2020/05/26 22:03(2020/06/01 12:00)"
"용역","20200533882-00","일반","낙안 이곡마을 안길 정비공사 임목폐기물처리 용역","전라남도 순천시","전라남도 순천시","수의(총액)소액수의","2020/05/26 21:53(2020/06/01 12:00)"
"용역","20200533106-00","일반","논현초 인조잔디 분리회수 및 재활용처리 용역","서울특별시교육청 서울특별시강남서초교육지원청","서울특별시교육청 서울특별시강남서초교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/26 21:52(2020/06/02 14:00)"
"용역","20200533880-00","긴급","해인사 공공하수처리시설 증설사업 외 1건 지질조사용역(추가)","경상남도 합천군","경상남도 합천군","제한경쟁","2020/05/26 21:49(2020/06/01 10:00)"
"용역","20200533874-00","긴급","적중 명곡마을 창조적마을만들기 지역역량강화사업 용역","경상남도 합천군","경상남도 합천군","제한(총액)종합낙찰제","2020/05/26 21:45(2020/06/01 10:00)"
"용역","20200533867-00","일반","대산산업단지 주변 미세먼지 저감 차단숲 조성사업 실시설계용역","충청남도 서산시","충청남도 서산시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/26 21:34(2020/06/02 10:00)"
"용역","20200533847-00","긴급","2020년 산학일체형 도제학교 기업현장훈련(OJT) 출퇴근차량 임차용역","세종특별자치시교육청 세종하이텍고등학교","세종특별자치시교육청 세종하이텍고등학교","제한(총액)","2020/05/26 21:15(2020/06/03 10:00)"
"용역","20200533845-00","일반","지방도 818호선 나주 봉황지구 노후포장도 보수공사 폐아스콘 처리용역","전라남도 도로관리사업소","전라남도 도로관리사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/26 21:12(2020/06/01 14:00)"
"용역","20200533841-00","일반","주민주도 마을복지 실천사례 컨설팅 용역","행정안전부","행정안전부","제한(총액)협상에의한계약","2020/05/26 21:09(2020/06/08 10:00)"
"용역","20200533835-00","일반","충북중북부교육시설복합센터 부지 도시관리계획 결정(폐지) 용역","충청북도교육청","충청북도교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/26 21:09(2020/06/02 10:00)"
"용역","20200533837-00","긴급","국도21호선 세교지하차도 포장보수공사 건설폐기물 위탁처리용역","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한(총액)","2020/05/26 21:05(2020/06/01 12:00)"
"용역","20200531954-01","취소","2020년 산학일체형 도제학교 기업현장훈련(OJT) 출퇴근차량 임차용역","세종특별자치시교육청 세종하이텍고등학교","세종특별자치시교육청 세종하이텍고등학교","제한(총액)","2020/05/26 21:02(2020/06/02 10:00)"
"용역","20200533816-00","긴급","2020년 녹색체험교육 위탁사업","산림청 남부지방산림청","산림청 남부지방산림청","일반(총액)협상에의한계약","2020/05/26 20:58(2020/06/08 17:00)"
"용역","20200533829-00","일반","코스닥 중소상장법인 공시체계 구축 컨설팅 용역(재공고)","(주)한국거래소","(주)한국거래소","제한(총액)협상에의한계약","2020/05/26 20:53(2020/06/09 15:00)"
"용역","20200533819-00","일반","(재)전라북도생물산업진흥원 중장기 발전계획 수립 용역","재단법인 전라북도생물산업진흥원","재단법인 전라북도생물산업진흥원","제한(총액)협상에의한계약","2020/05/26 20:52(-)"
"용역","20200533822-00","일반","무등중 냉난방시설개선 전기공사 설계용역 수의계약 안내 공고","광주광역시교육청 광주광역시동부교육지원청","광주광역시교육청 광주광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/26 20:50(2020/06/01 10:00)"
"용역","20200533826-00","긴급","국도21호선 장재지하차도 포장보수공사 건설폐기물 위탁처리용역","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한(총액)","2020/05/26 20:49(2020/06/01 12:00)"
