"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200531986-00","일반","웹 한글 기안기 개발","(주)코라이징","(주)코라이징","제한(총액)협상에의한계약","2020/05/25 23:38(2020/06/01 10:00)"
"용역","20200531981-00","일반","연구시설 · 장비비 통합 외부과제참여 관리시스템 구축  사업","한국과학기술원","한국과학기술원","제한(총액)협상에의한계약","2020/05/25 23:24(-)"
"용역","20200531969-00","일반","2020년 지방도 368호선 강서교 등 8개소 보수공사 폐기물처리용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/25 23:01(2020/05/29 10:00)"
"용역","20200531960-00","일반","2020년 지방도 368호선 신북교 보수공사 폐기물처리용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/25 22:52(2020/05/29 10:00)"
"용역","20200531954-00","긴급","2020년 산학일체형 도제학교 기업현장훈련(OJT) 출퇴근차량 임차용역","세종특별자치시교육청 세종하이텍고등학교","세종특별자치시교육청 세종하이텍고등학교","제한(총액)","2020/05/25 22:42(2020/06/02 10:00)"
"용역","20200531947-00","긴급","서울대학교 수의과대학 동물이용 생물안전3등급(ABL3) 연구시설 보완공사, 검증 및 유지보수용역","서울대학교 대학 수의과대학","서울대학교 대학 수의과대학","일반경쟁","2020/05/25 22:33(2020/06/03 11:00)"
"용역","20200519674-01","취소","2020년 산학일체형 도제학교 기업현장훈련(OJT) 출퇴근차량 임차용역","세종특별자치시교육청 세종하이텍고등학교","세종특별자치시교육청 세종하이텍고등학교","제한(총액)","2020/05/25 22:31(2020/05/26 10:00)"
"용역","20200531944-00","일반","고성군 상수도관망 기술진단(일반)용역","경상남도 고성군","경상남도 고성군","제한경쟁","2020/05/25 22:27(2020/06/01 10:00)"
"용역","20200531939-00","일반","2020년 담수생물 사진공모전 · 그림그리기 대회 운영 대행 용역","국립낙동강생물자원관","국립낙동강생물자원관","제한(총액)협상에의한계약","2020/05/25 22:16(2020/06/01 11:00)"
"용역","20200531930-00","긴급","순창 홀어머니산성 제4차 시굴 및 정밀 발굴조사 용역","전라북도 순창군","전라북도 순창군","제한(총액)","2020/05/25 21:57(2020/05/29 10:00)"
"용역","20200531926-00","일반","운봉초 후관동 및 강당동 내진성능평가용역","전라북도교육청 전라북도남원교육지원청","전라북도교육청 전라북도남원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/25 21:54(2020/05/29 10:00)"
"용역","20200531920-00","긴급","2020년 조림지가꾸기사업 실시설계용역","전라북도 순창군","전라북도 순창군","제한경쟁","2020/05/25 21:47(2020/05/29 10:00)"
"용역","20200519695-01","변경","항공교통흐름관리 전용 웹(앱) 포털사이트 구축 용역","조달청 대구지방조달청","국토교통부 항공교통본부","제한(총액)협상에의한계약","2020/05/25 21:45(2020/06/24 10:00)"
"용역","20200531915-00","긴급","박시나무골소하천 실시설계용역","전라북도 순창군","전라북도 순창군","제한경쟁","2020/05/25 21:41(2020/05/29 10:00)"
"용역","20200531909-00","일반","제65회 현충일 참배객 수송을 위한 차량 임차 용역","대전광역시","대전광역시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/25 21:39(2020/05/29 10:00)"
"용역","20200531913-00","긴급","순창군 정수장 기술진단 용역","전라북도 순창군","전라북도 순창군","일반경쟁","2020/05/25 21:35(2020/05/29 10:00)"
"용역","20200531884-00","일반","도봉-장동 간 농어촌도로 확포장공사 폐기물처리용역","경기도 이천시","경기도 이천시","제한(총액)","2020/05/25 21:14(2020/06/03 10:00)"
"용역","20200531877-00","일반","2020년 지식재산 활용전략 지원사업(3차 지정공모 6과제)","한국발명진흥회","한국발명진흥회","제한(총액)협상에의한계약","2020/05/25 21:08(2020/06/04 10:00)"
"용역","20200531869-00","일반","2020년 지식재산 활용전략 지원사업(3차 지정공모 5과제)","한국발명진흥회","한국발명진흥회","제한(총액)협상에의한계약","2020/05/25 21:01(2020/06/04 10:00)"
"용역","20200531868-00","긴급","2020년 GAP 안전성 분석 지원사업 토양 용수 시료분석 용역(단가계약)","전라북도 군산시","전라북도 군산시","수의(단가)소액-견적입찰(2인 이상 견적 제출)","2020/05/25 20:59(2020/05/29 12:00)"
"용역","20200531839-00","긴급","의회동 청사 증축공사 기본 및 실시설계 용역","광주광역시 북구","광주광역시 북구","제한경쟁","2020/05/25 20:59(2020/06/02 10:00)"
