"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200529713-00","일반","2020년 조림지덩굴제거사업 시공감리용역","전라북도 고창군","전라북도 고창군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/24 18:14(2020/05/28 15:00)"
"용역","20200528977-01","변경","삼기천 하천기본계획 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 17:43(2020/06/02 10:00)"
"용역","20200528961-01","변경","창평·금곡천 하천기본계획 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 17:38(2020/06/02 10:00)"
"용역","20200528937-01","변경","구상·대두·천은·금마천 하천기본계획 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 17:35(2020/06/02 10:00)"
"용역","20200528912-01","변경","불갑·마읍천 하천기본계획 조사측량용역","전라남도","전라남도","제한경쟁","2020/05/24 17:25(2020/06/02 10:00)"
"용역","20200528881-01","변경","고읍·마동천 하천기본계획 조사측량용역","전라남도","전라남도","제한경쟁","2020/05/24 17:21(2020/06/02 10:00)"
"용역","20200529086-01","변경","용장·신학천 하천기본계획 및 하천재해예방사업 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 17:17(2020/06/02 10:00)"
"용역","20200529074-01","변경","모산·순천동천 하천기본계획 및 하천재해예방사업 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 17:12(2020/06/02 10:00)"
"용역","20200529058-01","변경","기산·엄다천 하천재해예방사업 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 17:00(2020/06/02 10:00)"
"용역","20200529043-01","변경","금강·유치천 하천재해예방사업 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 16:57(2020/06/02 10:00)"
"용역","20200529627-00","일반","세종시 관내 급경사지 일제조사 및 정비계획 수립 용역","세종특별자치시","세종특별자치시","제한경쟁","2020/05/24 16:54(2020/06/02 10:00)"
"용역","20200529697-00","긴급","“금오공대 어디까지 가봤니” 유튜브 영상 콘텐츠 제작","금오공과대학교","금오공과대학교","제한(총액)협상에의한계약","2020/05/24 16:53(2020/06/04 16:00)"
"용역","20200529024-01","변경","진도·율촌천 하천재해예방사업 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 16:52(2020/06/02 10:00)"
"용역","20200529000-01","변경","용산·유곡·영산강천·포두천 하천재해예방사업 조사측량 용역","전라남도","전라남도","제한경쟁","2020/05/24 16:46(2020/06/02 10:00)"
"용역","20200527311-00","긴급","소방행정정보시스템 노후장비 교체 사업","조달청 인천지방조달청","경기도 소방재난본부","제한(총액)협상에의한계약","2020/05/24 15:31(2020/06/11 10:00)"
"용역","20200527556-00","긴급","지방세 특례 예비타당성 조사 및 사후심층평가 연구용역","조달청","행정안전부","수의(총액)","2020/05/24 15:22(2020/05/25 16:00)"
"용역","20200529657-00","긴급","연수천 지방하천 개수사업 폐기물처리 용역","경기도 양평군","경기도 양평군","제한(총액)","2020/05/24 15:14(2020/05/29 10:00)"
"용역","20200529653-00","긴급","신복천 지방하천 개수사업 폐기물처리 용역","경기도 양평군","경기도 양평군","일반(총액)","2020/05/24 15:12(2020/05/29 10:00)"
"용역","20200529634-00","긴급","매립지 보관 생활폐기물(소각용) 운반처리 용역(단가계약)","경기도 양평군","경기도 양평군","일반(단가)","2020/05/24 14:30(2020/05/29 10:00)"
"용역","20200528515-00","일반","2020년도 신재생에너지 통합모니터링시스템 기능고도화","조달청 부산지방조달청","한국에너지공단","수의(총액)","2020/05/24 12:08(2020/05/25 12:00)"
"용역","20200528464-00","긴급","GIS 기반 침수위험지역 자동추출 기술 개발","조달청 부산지방조달청","행정안전부 국립재난안전연구원","수의(총액)","2020/05/24 12:07(2020/05/25 12:00)"
"용역","W20S073000-00","일반","2020년도 월성원자력본부 셔틀버스 운행 용역","한국수력원자력주식회사","한국수력원자력(주) 월성원자력본부","일반(총액)","2020/05/24 11:50(2020/06/01 09:30)"
"용역","20200529586-00","일반","2020년 하수관로 개선사업(산성,청계,향촌,남양처리구역)페기물처리용역","경상남도 함안군 상하수도사업소","경상남도 함안군 상하수도사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/24 09:38(2020/05/28 12:00)"
