"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200519573-00","긴급","고성해양레포츠 아카데미 건립사업 건설사업관리용역 사업수행능력평가서 제출 안내","경상남도 고성군","경상남도 고성군","제한경쟁","2020/05/16 19:59(-)"
"용역","20200518297-00","일반","한국재정정보원 2020년도 직원교육 통합운영 사업","조달청 서울지방조달청","한국재정정보원","제한(총액)협상에의한계약","2020/05/16 19:23(2020/05/29 10:00)"
"용역","20200519562-00","일반","양평 공흥·양근지구 도로와 지하시설물 GIS DB구축 용역","경기도 양평군","경기도 양평군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/16 18:49(2020/05/21 10:00)"
"용역","20200519538-00","긴급","다문초 용문중 교실 및 급식실 증축공사 기본 및 실시설계 용역","경기도 양평군","경기도 양평군","제한경쟁","2020/05/16 18:30(2020/05/22 10:00)"
"용역","20200519560-00","긴급","매립지 보관 생활폐기물(소각용) 운반처리 용역(단가계약)","경기도 양평군","경기도 양평군","제한(단가)","2020/05/16 18:27(2020/05/22 10:00)"
"용역","20200509771-00","일반","2020~2022년 특허분석평가시스템 유지관리","조달청 서울지방조달청","한국발명진흥회","수의(총액)","2020/05/16 15:27(2020/05/21 14:00)"
"용역","20200513755-00","일반","디지털증거 검증체계 고도화 및 프론티어기술 연구 개발","조달청 서울지방조달청","대검찰청","수의(총액)","2020/05/16 14:38(2020/05/22 14:00)"
"용역","20200519508-00","일반","옥포동계단 리디자인사업 실시설계용역","경상남도 거제시","경상남도 거제시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/16 13:58(2020/05/22 10:00)"
"용역","20200519503-00","일반","화도분교(폐교) 어울림센터 조성공사 폐기물처리용역","경상남도 거제시","경상남도 거제시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/16 13:46(2020/05/22 10:00)"
"용역","20200519492-00","일반","탄소복합재 생산공정 가상현실 교육시스템","재단법인 한국탄소융합기술원","재단법인 한국탄소융합기술원","제한(총액)협상에의한계약","2020/05/16 12:30(2020/06/09 14:00)"
"용역","20200514762-00","일반","원자력의학 종합정보시스템 고도화운영 용역","조달청 서울지방조달청","한국원자력의학원","제한(총액)협상에의한계약","2020/05/16 10:54(2020/06/26 10:00)"
"용역","KRA2020050420-00","일반","2020년 한국마사회 경마관계자 단체상해보험(재공고)","한국마사회","한국마사회","일반(총액)","2020/05/16 09:00(2020/05/22 14:00)"
