업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),,
용역,20200514520-00,긴급,한국감정원 녹색건축 인증서비스 홈페이지 구축,조달청 대구지방조달청,한국감정원,제한(총액)협상에의한계약,2020/05/13 20:08(2020/06/11 10:00),,
용역,20200514793-00,긴급,구(舊)토지·임야 대장 DB변환 및 관리시스템 고도화 용역,조달청 대구지방조달청,경상북도 안동시,수의(총액),2020/05/13 20:07(2020/05/18 12:00),,
용역,20200515811-00,긴급,장기미집행도시계획도로(소로2류65호 등 2개소) 철거공사 폐기물처리용역,경기도 여주시,경기도 여주시,제한(총액),2020/05/13 20:05(2020/05/19 10:00),,
용역,20200515504-00,일반,과천정수장 고도정수처리시설 기본 및 실시설계 용역,경기도 과천시,경기도 과천시,지명경쟁,2020/05/13 19:51(2020/05/22 10:00),,
용역,20200515795-00,일반,백제문화제 활성화 발전방안 수립 연구용역,충청남도 부여군,충청남도 부여군,일반(총액)협상에의한계약,2020/05/13 19:49(2020/05/26 14:00),,
용역,20200513671-00,일반,2020년 동지역 방역소독 2구역 민간위탁 용역,경상북도 상주시 보건소,경상북도 상주시 보건소,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 19:43(2020/05/19 10:00),,
용역,20200513656-00,일반,2020년 동지역 방역소독 1구역 민간위탁 용역,경상북도 상주시 보건소,경상북도 상주시 보건소,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 19:41(2020/05/19 10:00),,
용역,20200515773-00,일반,2020년 서울시설공단 자체청렴도 측정 용역,서울시설공단,서울시설공단,수의(총액)소액수의,2020/05/13 19:28(2020/05/19 12:00),,
용역,20200515774-00,일반,서울시립대학교 조직운용개선 연구용역,서울특별시,서울특별시,일반(총액)협상에의한계약,2020/05/13 19:28(2020/05/26 16:00),,
용역,20200515276-00,일반,시설공사(안동노후관로) 시공검사 용역,조달청 대구지방조달청,한국환경공단 대구경북지역본부,지역,2020/05/13 19:26(2020/05/21 10:00),,
용역,20200515749-00,일반,통합정보시스템 정보보호 관리체계 인증 컨설팅 용역,서울시설공단,서울시설공단,제한(총액)협상에의한계약,2020/05/13 19:13(2020/05/25 12:00),,
용역,20200501165-00,긴급,2020년 국립대학 시설사업 사업관리 및 예산 집행관리 위탁 운영,조달청,교육부,수의(총액),2020/05/13 19:13(2020/05/15 16:00),,
용역,20200501161-00,긴급,2020년 의약외품 유해물질 등 주기적 모니터링 위탁사업,조달청,식품의약품안전처,수의(총액),2020/05/13 19:11(2020/05/15 16:00),,
용역,20200515745-00,일반,UNIST 연구지원본부 공용차량 임차(리스),울산과학기술원,울산과학기술원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 19:05(2020/05/20 10:00),,
용역,20200514482-00,일반,이천시 도수관로 개량사업 기본 및 실시설계 용역,조달청,경기도 이천시 상하수도사업소,"일반경쟁(용역,PQ)",2020/05/13 18:59(2020/06/04 10:00),,
용역,20200515727-00,일반,선단IC 진입로(중로1-선단1) 확포장공사 폐기물처리용역,경기도 포천시,경기도 포천시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:54(2020/05/19 10:00),,
용역,20200515729-00,긴급,비전2030 및 중장기 경영전략 수립용역(경쟁적 대화에 의한 계약),부산도시공사,부산도시공사,일반(총액)협상에의한계약,2020/05/13 18:54(2020/06/17 10:00),,
용역,20200515379-00,일반,선거기록관 기록물 RFID태그발행 · 부착 용역,조달청 서울지방조달청,중앙선거관리위원회,제한(총액)협상에의한계약,2020/05/13 18:53(2020/05/26 10:00),,
용역,20200515718-00,긴급,김해서부소방서 내진성능평가 용역 입찰,경상남도 김해서부소방서,경상남도 김해서부소방서,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:51(2020/05/20 10:00),,
용역,20200515715-00,긴급,도심 노후하수관로 정비공사 건설폐기물 처리용역,전라남도 순천시,전라남도 순천시,제한(총액),2020/05/13 18:46(2020/05/19 12:00),,
용역,20200515714-00,일반,2020년 대농교 보수공사 폐기물처리용역,경기도 경기도건설본부,경기도 경기도건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:42(2020/05/19 10:00),,
용역,20200515707-00,일반,2020년 구례교 등 2개소 보수공사 폐기물처리용역,경기도 경기도건설본부,경기도 경기도건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:36(2020/05/19 10:00),,
용역,20200515706-00,일반,지역특화 임대형 스마트팜 조성사업 기본 및 실시설계 용역,한국농어촌공사 강원지역본부,한국농어촌공사 강원지역본부,일반경쟁,2020/05/13 18:36(2020/05/27 14:00),,
용역,20200515694-00,일반,2020년 오페라하우스 및 음악당 무대기계 유지보수 및 정기(수시)점검용역,예술의전당,예술의전당,제한경쟁,2020/05/13 18:34(2020/05/21 10:00),,
용역,20200515681-00,일반,IP 파노라마 개정판 개발,한국발명진흥회,한국발명진흥회,제한(총액)협상에의한계약,2020/05/13 18:33(2020/05/25 10:00),,
용역,20200515696-00,일반,육사로 배수로정비 및 포장덧씌우기공사 폐기물처리용역,경상북도 안동시,경상북도 안동시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:31(2020/05/19 12:00),,
용역,20200515692-00,일반,2020년 현수교 보수공사 폐기물처리용역,경기도 경기도건설본부,경기도 경기도건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:31(2020/05/19 10:00),,
용역,20200515689-00,일반,삼괴동 ~ 공주말 도로 확포장공사 건설폐기물 처리용역,대전광역시 동구,대전광역시 동구,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:29(2020/05/19 10:00),,
용역,20200515687-00,일반,2020년 시설물안전법 대상시설물 북부권교량 45개소 시설정기점검용역,경상북도 영주시,경상북도 영주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:29(2020/05/19 10:00),,
용역,20200512047-00,일반,안동대마(Hemp)활용제품 상용화를 위한 연구용역,경상북도 안동시,경상북도 안동시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:27(2020/05/19 12:00),,
용역,20200515684-00,일반,2020년 옥산교 보수공사 폐기물처리용역,경기도 경기도건설본부,경기도 경기도건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:24(2020/05/19 10:00),,
용역,20200515682-00,일반,2020년도 생활폐기물 수집·운반·처리대행료 등 원가산정 연구용역,인천광역시 남동구,인천광역시 남동구,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:23(2020/05/19 10:00),,
용역,20200514771-00,일반,도로구역 등 기본조사 및 지형도면고시 용역,경기도 파주시,경기도 파주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:23(2020/05/19 10:00),,
용역,20200515656-00,일반,『완산구 노후하수관로 정비사업』 노송천 상류암거 보수·보강 공법선정,전라북도 전주시 완산구,전라북도 전주시 완산구,일반경쟁,2020/05/13 18:22(-),,
용역,20200515446-00,일반,행복도시권 광역BRT 3개노선 개발계획 수립 용역,행정중심복합도시건설청,행정중심복합도시건설청,일반경쟁,2020/05/13 18:21(-),,
용역,20200515651-00,일반,2020년 하수관로공사 GIS DB구축 용역,서울특별시 종로구,서울특별시 종로구,제한경쟁,2020/05/13 18:19(2020/05/21 10:00),,
용역,20200514866-00,긴급,2020년 대민·행정시스템 고도화 및 유지관리,조달청,소상공인시장진흥공단,제한(총액)협상에의한계약,2020/05/13 18:18(2020/06/09 10:00),,
용역,20200515673-00,일반,2020년 열미교 등 4개소 보수공사 폐기물처리용역,경기도 경기도건설본부,경기도 경기도건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:18(2020/05/19 10:00),,
용역,20200515033-00,일반,방사선안전관리 통합정보망 추가기능 개발,조달청,한국원자력안전기술원,수의(총액),2020/05/13 18:18(2020/05/20 12:00),,
용역,20200515649-00,일반,2020년 주택 슬레이트 해체 및 처리공사 폐기물 운반처리용역,대전광역시 동구,대전광역시 동구,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:16(2020/05/19 10:00),,
용역,20200515666-00,일반,담양일반산업단지 동측진입도로 확장사업(일반폐기물),전라남도 담양군,전라남도 담양군,수의(총액)소액수의,2020/05/13 18:15(2020/05/19 10:00),,
용역,20200515411-01,변경,사업수행능력평가 제출안내(시흥시 노후 하수관로 정비사업 건설사업관리용역),경기도 시흥시,경기도 시흥시,일반경쟁,2020/05/13 18:14(-),,
용역,20200514981-00,일반,2020년 을지로 아뜨리애 갤러리 기획전시 용역,서울시설공단,서울시설공단,수의(총액)소액수의,2020/05/13 18:14(2020/05/19 12:00),,
용역,20200515664-00,긴급,2020 도시정책 컨퍼런스 운영,서울특별시,서울특별시,일반(총액)협상에의한계약,2020/05/13 18:14(2020/05/26 16:00),,
용역,20200515340-00,일반,서산동 보리마당(6-14번지 일원) 불연성폐기물 처리용역,전라남도 목포시,전라남도 목포시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:14(2020/05/19 10:00),,
용역,20200515658-00,일반,2020년 금광교 등 4개소 보수공사 폐기물처리용역,경기도 경기도건설본부,경기도 경기도건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:12(2020/05/19 10:00),,
용역,20200515655-00,일반,캠프롱 이전부지 생활체육공원 조성사업 타당성조사 및 기본계획수립 용역,강원도 원주시,강원도 원주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:12(2020/05/19 10:00),,
용역,20200515662-00,일반,안동시 농어촌도로 기본(정비)계획 수립(변경)용역,경상북도 안동시,경상북도 안동시,제한경쟁,2020/05/13 18:12(2020/05/21 12:00),,
용역,20200514343-00,일반,청주시 정보통신시스템 통합유지보수 용역(장기계속계약),조달청,충청북도 청주시,제한(총액)협상에의한계약,2020/05/13 18:10(2020/06/03 10:00),,
용역,20200515449-00,일반,"화순 동면-순천 주암 도로시설개량공사 매장문화재 발굴(입회,시굴)조사용역",조달청 전북지방조달청,국토교통부 익산지방국토관리청,제한(총액),2020/05/13 18:10(2020/05/20 14:00),,
용역,20200514993-00,긴급,2020년 일상과 예술이 어우러진 어번캔버스 디자인 개발 및 제작 설치 용역(재공고),서울특별시 서초구,서울특별시 서초구,제한(총액)협상에의한계약,2020/05/13 18:08(2020/05/25 17:00),,
용역,20200515500-00,일반,개목항 어촌뉴딜300사업 기본계획 및 공간환경 마스터플랜,조달청,충청남도 태안군,"일반경쟁(용역,PQ)",2020/05/13 18:07(2020/05/27 14:00),,
용역,20200505738-01,취소,IP 파노라마 개정판 개발,한국발명진흥회,한국발명진흥회,제한(총액)협상에의한계약,2020/05/13 18:07(2020/05/20 10:00),,
용역,20200514961-00,긴급,전자정부 클라우드 플랫폼 구축 SW분리발주(AI음성인식),조달청,한국정보화진흥원,제한(총액)협상에의한계약,2020/05/13 18:07(2020/06/09 10:00),,
용역,20200515444-00,일반,고군산군도 케이블카 조성사업 도시관리계획 결정 및 기본·실시설계 용역,조달청,새만금개발공사,일반경쟁(종합심사),2020/05/13 18:06(2020/06/16 17:00),,
용역,20200514515-00,긴급,지하차도 등 도로구조물 유지관리용역 추진계획 및 사업수행능력평가서 제출 안내 공고,경기도 파주시,경기도 파주시,일반경쟁,2020/05/13 18:05(-),,
용역,20200505791-00,긴급,축산업정보 통합관리시스템 구축 사업 용역업체 선정,조달청,축산물품질평가원,제한(총액)협상에의한계약,2020/05/13 18:04(2020/06/16 10:00),,
용역,20200515186-00,일반,2020년 기술이전제품 유통채널 맞춤형 입점 지원 사업 용역,조달청 전북지방조달청,농업기술실용화재단,제한(총액)협상에의한계약,2020/05/13 18:03(2020/05/26 10:00),,
용역,20200515641-00,긴급,해양쓰레기 정화사업(폐스티로폼) 폐기물 처리용역(4차),전라남도 진도군,전라남도 진도군,제한(총액),2020/05/13 18:03(2020/05/20 14:00),,
용역,20200512810-00,일반,2020 개인정보보호 실태조사 위탁용역,조달청 광주지방조달청,한국인터넷진흥원,제한(총액)협상에의한계약,2020/05/13 18:02(2020/05/27 14:00),,
용역,20200515178-00,일반,경상대학교병원 의료정보과 컴퓨터 및 프린터 바코드 유지보수 용역 소액수의 견적제출 안내공고,경상대학교병원,경상대학교병원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 18:02(2020/05/21 10:00),,
용역,20200514742-00,일반,5G 실감콘텐츠 기획홍보 및 시연콘텐츠 제작운영 위탁용역 중앙조달 요청,조달청,한국콘텐츠진흥원,일반(총액)협상에의한계약,2020/05/13 18:02(2020/06/23 10:00),,
용역,20200514839-00,일반,대학도서관 사서 서비스 역량 강화를 위한 교육과정 개발 연구,문화체육관광부 국립중앙도서관,문화체육관광부 국립중앙도서관,제한(총액)협상에의한계약,2020/05/13 18:02(2020/05/26 10:00),,
용역,20200515637-00,일반,2020년 서울시 남녀 임신준비 지원사업 기술지원 및 모니터링,서울특별시,서울특별시,일반(총액)협상에의한계약,2020/05/13 18:02(2020/05/26 16:00),,
용역,20200515564-00,긴급,인천광역시 동구 노후 하수관로 정밀조사 용역,인천광역시 동구,인천광역시 동구,일반경쟁,2020/05/13 18:01(2020/05/19 10:00),,
용역,20200515427-00,긴급,춘천권역 포장 보수공사 폐기물(폐아스콘)처리용역(3공구),국토교통부 원주지방국토관리청 홍천국토관리사무소,국토교통부 원주지방국토관리청 홍천국토관리사무소,제한(총액),2020/05/13 17:59(2020/05/19 10:00),,
용역,E062000303-00,일반,인천해상풍력 사업타당성 조사 및 개념설계 기술용역,한국남동발전(주),계약자재부,제한(총액),2020/05/13 17:59(2020/06/11 10:00),,
용역,20200515629-00,일반,직동 발티~재오개 도로개설공사 실시설계용역,충청북도 충주시,충청북도 충주시,제한경쟁,2020/05/13 17:59(2020/05/21 10:00),,
용역,20200515626-00,일반,2020 예술동아리 교육지원사업 - 예술가 파견 프로그램 코디네이터 운영,재단법인 부산문화재단,재단법인 부산문화재단,제한(총액)협상에의한계약,2020/05/13 17:59(2020/05/22 17:00),,
용역,20200437288-00,일반,횡성군 기초조사 정보체계 구축용역,조달청,강원도 횡성군,제한(총액)협상에의한계약,2020/05/13 17:59(2020/06/03 10:00),,
용역,20200515503-00,일반,2020년 해외현지 품종전시포 설치운영 용역,조달청,농림축산식품부 국립종자원,수의(총액),2020/05/13 17:58(2020/05/14 15:00),,
용역,20200515617-00,일반,2023 순천만국제정원박람회 EI 개발 용역(협상에 의한 계약),전라남도 순천시,전라남도 순천시,제한(총액)협상에의한계약,2020/05/13 17:57(-),,
용역,20200515622-00,긴급,"벽파지구 마을하수도 정비사업 폐기물 처리용역(총괄분,1차분)",전라남도 진도군,전라남도 진도군,제한(총액),2020/05/13 17:57(2020/05/20 14:00),,
용역,20200505499-00,긴급,인도네시아 버스터미널 현대화 마스터플랜 수립 및 시범사업(설계),조달청,국토교통부,수의(총액),2020/05/13 17:57(2020/05/15 15:00),,
용역,20200515314-00,일반,사업수행능력평가서·기술제안서 제출 안내-송도국제도시 워터프런트 1단계 2공구 실시설계용역,인천광역시 경제자유구역청,인천광역시 경제자유구역청,일반경쟁,2020/05/13 17:57(-),,
용역,20200515180-00,긴급,오픈소스SW 라이선스 컨설팅·전문교육 운영 및 인식제고,조달청,한국저작권위원회,수의(총액),2020/05/13 17:56(2020/05/15 16:00),,
용역,20200514684-00,긴급,2020년 문화재 안전관리시스템 유지관리 용역,서울특별시,서울특별시,제한(총액)협상에의한계약,2020/05/13 17:55(2020/05/26 16:00),,
용역,20200513946-00,일반,2020년도 사이버환경실무교육 콘텐츠 개발 및 유지보수,조달청 서울지방조달청,한국환경산업기술원,제한(총액)협상에의한계약,2020/05/13 17:55(2020/05/26 10:00),,
용역,20200515612-00,일반,2020년 통영 욕지도 패총 시굴조사 용역,경상남도 통영시,경상남도 통영시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:55(2020/05/19 11:00),,
용역,20200515615-00,일반,대천항 재개발구역 임시 활용방안 연구용역,충청남도 보령시,충청남도 보령시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:54(2020/05/19 10:00),,
용역,20200513803-00,일반,해양수산 과학기술 분류체계 개선 및 수준평가 연구용역,조달청 서울지방조달청,해양수산과학기술진흥원,제한(총액)협상에의한계약,2020/05/13 17:54(2020/05/26 10:00),,
용역,20200514643-00,긴급,지능형 수입식품 통합시스템 구축(2차),조달청,식품의약품안전처,제한(총액)협상에의한계약,2020/05/13 17:54(2020/06/09 10:00),,
용역,20200515598-00,긴급,에너지 기술가치평가모델 및 시스템 구축 용역,한국에너지기술평가원,한국에너지기술평가원,제한(총액)협상에의한계약,2020/05/13 17:53(2020/05/25 11:00),,
용역,20200515424-00,일반,한국거래소 서울사옥 시설관리용역 계약,(주)한국거래소,(주)한국거래소,제한(총액),2020/05/13 17:53(2020/05/21 15:00),,
용역,20200515603-00,일반,주민주도 마을복지 실천사례 컨설팅 용역,행정안전부,행정안전부,제한(총액)협상에의한계약,2020/05/13 17:52(2020/05/26 10:00),,
용역,20200515550-00,일반,마전천 간이배수펌프장 설치 설계용역,경기도 연천군,경기도 연천군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:51(2020/05/19 10:00),,
용역,20200514289-00,일반,충남대학교 창조학술정보관(신축건물)에 네트워크 장비 도입 및 설치,조달청,충남대학교 산학협력단,수의(총액),2020/05/13 17:50(2020/05/14 14:00),,
용역,20200515584-00,일반,공도 택지개발지구 보도교체공사 폐기물처리용역,경기도 안성시,경기도 안성시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:50(2020/05/19 10:00),,
용역,E082000247-00,일반,울산화력 사업장폐기물 위탁처리(매립) 용역,한국동서발전주식회사,계약자재부,일반(총액),2020/05/13 17:49(2020/05/22 14:00),,
용역,20200505136-01,취소,포항시 대문어 산란서식장 조성사업 잠입용구조물(단지) 설치,한국수산자원공단동해본부,한국수산자원공단동해본부,일반경쟁,2020/05/13 17:49(2020/05/14 10:00),,
용역,20200515403-00,일반,순창군 영구보존 지적기록물 DB구축 용역,조달청,전라북도 순창군,제한(총액)협상에의한계약,2020/05/13 17:47(2020/06/03 10:00),,
용역,20200515574-00,일반,풍력발전 사업성 향상을 위한 금융조달 모델 개발 연구,한국에너지공단,한국에너지공단,제한(총액)협상에의한계약,2020/05/13 17:47(2020/05/25 10:00),,
용역,20200515198-00,긴급,남해 관음포 이충무공유적 수목종합정비계획 용역,경상남도 남해군,경상남도 남해군,제한(총액),2020/05/13 17:45(2020/05/19 15:00),,
용역,20200515326-00,일반,"대전도마중 등 3교(선유초, 봉암초) 노후 포장개선 및 기타공사 가연성 폐기물처리 및 운반용역",대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,수의(총액)소액수의,2020/05/13 17:44(2020/05/19 10:00),,
용역,20200515567-00,일반,금곡동 660번지 일원 불량관로 교체공사 GIS구축용역,경기도 남양주시 상하수도관리센터,경기도 남양주시 상하수도관리센터,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:43(2020/05/19 10:00),,
용역,20200515565-00,일반,제2차 영암군 기후변화 적응대책 세부시행계획 수립 용역,전라남도 영암군,전라남도 영암군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:42(2020/05/18 10:00),,
용역,20200515560-00,일반,산림복지단지 펫팸어울림 건축공사 실시설계 용역 입찰 공고,전라남도 광양시,전라남도 광양시,제한경쟁,2020/05/13 17:41(2020/05/21 10:00),,
용역,20200515516-01,변경,천안시 소각시설 정기점검에 따른 생활폐기물 미처리분 처리용역(단가계약),충청남도 천안시,충청남도 천안시,일반(단가),2020/05/13 17:40(2020/05/19 14:00),,
용역,20200513789-00,긴급,국민연금(NPS) 사이버보안 관제센터 용역,조달청,국민연금공단,일반(총액)협상에의한계약,2020/05/13 17:40(2020/06/16 10:00),,
용역,E012004336-00,일반,[모의입찰]동해안-신가평 건설사업 홍보영상 제작용역,한국전력공사,공사용역부,제한(총액),2020/05/13 17:39(2020/05/26 14:00),,
용역,20200515542-00,긴급,(긴급)2020년 지방도322호선 화성 송산~남양 포장보수공사 건설폐기물처리용역,경기도,경기도 경기도건설본부,제한(총액),2020/05/13 17:37(2020/05/19 10:00),,
용역,20200515547-00,일반,삼척시 도시개발사업 기본구상 및 타당성조사 연구용역,강원도 삼척시,강원도 삼척시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:37(2020/05/19 10:00),,
용역,20200514759-01,변경,어머니 장병급식.피복 모니터링단 스튜디오 촬영 위탁 용역(변경),국방기술품질원,국방기술품질원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/13 17:37(2020/05/19 10:00),,
용역,20200514253-00,일반,3D 얼굴인식 시스템 고도화(6차) 용역,조달청 서울지방조달청,경찰청,제한(총액)협상에의한계약,2020/05/13 17:36(2020/05/27 10:00),,
용역,20200511091-00,긴급,주요 포털 이메일 선별 압수도구 검색 기능 추가 개발,조달청 서울지방조달청,대검찰청,제한(총액)협상에의한계약,2020/05/13 17:36(2020/05/29 10:00),,
용역,20200515538-00,일반,낙동강 하천하구 쓰레기 정화사업 폐기물처리용역,부산광역시 사하구,부산광역시 사하구,제한(총액),2020/05/13 17:35(2020/05/21 10:00),,
용역,20200515535-00,일반,석탑천(비비정샛강) 생태하천복원사업 건설폐기물처리용역(2차),전라북도 완주군,전라북도 완주군,제한(총액),2020/05/13 17:34(2020/05/19 14:00),,
용역,20200515529-00,일반,2020학년도 DM 발송 대행 용역,서울사이버대학교,서울사이버대학교,제한(총액),2020/05/13 17:34(-),,
용역,20200515532-00,일반,일산대교 2020년 정기안전점검 용역,일산대교주식회사,일산대교주식회사,제한경쟁,2020/05/13 17:34(2020/05/20 14:00),,
용역,20200515533-00,일반,버스 승차대기 알림 및 무정차 신고 서비스 구축,경기도,경기도,제한(총액)협상에의한계약,2020/05/13 17:33(2020/06/03 17:00),,
용역,20200515527-00,긴급,인터넷데이터센터(IDC) 시설·장비 임차 및 유지보수 용역,한국표준협회,한국표준협회,제한(총액),2020/05/13 17:33(2020/05/21 14:00),,
용역,20200514919-01,변경,순천대학교 국제교류교육원 2020년 하계 토익사관 프로그램,순천대학교 국제교류교육원,순천대학교 국제교류교육원,제한(총액)협상에의한계약,2020/05/13 17:33(2020/05/26 10:00),,
용역,20200515522-00,일반,한약재유통지원시설 지자체 운영평가 지표개발 위탁용역 공고,한국한의약진흥원,한국한의약진흥원,제한(총액)협상에의한계약,2020/05/13 17:31(2020/05/25 14:00),,
용역,20200515518-00,일반,운행선 차단시간내 급속 분기선로 시공시 선로선형 및 시설물 관련규정 인터페이스 검토,한국철도기술연구원,한국철도기술연구원,일반(총액)규격가격동시,2020/05/13 17:31(2020/05/20 14:00),,
용역,2020-02-000293-00,일반,인덕원~동탄 복선전철 제2공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:31(2020/06/16 13:00),,
용역,2020-02-000281-00,일반,인덕원~동탄 복선전철 제3공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:31(2020/06/16 13:00),,
용역,20200515501-00,일반,새만금 공유수면 관리방안 마련 연구용역,새만금개발청,새만금개발청,제한(총액)협상에의한계약,2020/05/13 17:30(2020/05/27 10:00),,
용역,2020-02-000283-00,일반,인덕원~동탄 복선전철 제4공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:30(2020/06/16 13:00),,
용역,2020051210001-00,일반,대구경북지역본부 승강기 유지관리 용역,한국가스공사,한국가스공사,제한(총액),2020/05/13 17:30(2020/05/21 09:00),,
용역,2020-02-000284-00,일반,인덕원~동탄 복선전철 제5공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:30(2020/06/16 13:00),,
용역,20200514493-00,일반,2020년 전자통관 SNS 상담 환경 구축사업,조달청 대전지방조달청,관세청,수의(총액),2020/05/13 17:29(2020/05/15 12:00),,
용역,2020-02-000294-00,일반,인덕원~동탄 복선전철 제6공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:29(2020/06/16 13:00),,
용역,2020-02-000295-00,일반,인덕원~동탄 복선전철 제7공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:29(2020/06/16 13:00),,
용역,20200515508-00,일반,국립공원 문화자원(금석문) 자료집 제작,국립공원공단국립공원연구원,국립공원공단국립공원연구원,제한(총액)협상에의한계약,2020/05/13 17:28(2020/05/26 10:00),,
용역,2020-02-000292-00,일반,인덕원~동탄 복선전철 제8공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:28(2020/06/16 13:00),,
용역,20200514430-00,일반,안전조치통합정보시스템 및 국가계량관리 보고시스템 유지보수 용역(장기계속),조달청 대전지방조달청,한국원자력통제기술원,수의(총액),2020/05/13 17:28(2020/05/15 12:00),,
용역,2020-02-000265-00,일반,인덕원~동탄 복선전철 제10공구 지반조사 용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/13 17:28(2020/06/16 13:00),,
