업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),,
용역,20200515928-00,긴급,국도36호선 지천교 정밀안전진단 및 성능평가용역,국토교통부 대전지방국토관리청 논산국토관리사무소,국토교통부 대전지방국토관리청 논산국토관리사무소,제한경쟁,2020/05/13 23:47(2020/05/19 10:00),,
용역,20200515927-00,긴급,국도1호선 용수4교 정밀안전진단 및 성능평가용역,국토교통부 대전지방국토관리청 논산국토관리사무소,국토교통부 대전지방국토관리청 논산국토관리사무소,제한경쟁,2020/05/13 23:31(2020/05/19 10:00),,
용역,20200515923-00,긴급,국도1호선 용수3교 정밀안전진단 및 성능평가용역,국토교통부 대전지방국토관리청 논산국토관리사무소,국토교통부 대전지방국토관리청 논산국토관리사무소,제한경쟁,2020/05/13 23:19(2020/05/19 10:00),,
용역,20200515921-00,일반,교통안전교육 통합관리 시스템 구축 용역,한국교통안전공단,한국교통안전공단,제한(총액)협상에의한계약,2020/05/13 23:06(2020/06/22 12:00),,
용역,20200515919-00,일반,자동차민원포털 플러그인 제거 및 자동차관리정보시스템 기능개선,한국교통안전공단,한국교통안전공단,제한(총액)협상에의한계약,2020/05/13 23:00(2020/06/22 12:00),,
용역,20200515914-00,긴급,서산 류방택 천문기상과학관 운영관리 위탁 용역,충청남도 서산시,충청남도 서산시,일반(총액)협상에의한계약,2020/05/13 22:37(-),,
용역,20200509858-00,긴급,2020년 선진예보시스템 구축 감리 용역,조달청 서울지방조달청,기상청,제한(총액)협상에의한계약,2020/05/13 22:08(2020/05/27 10:00),,
용역,20200515902-00,일반,2020년 산청군 지방상수도 시설물 내부청소 용역,경상남도 산청군,경상남도 산청군,제한(총액),2020/05/13 21:55(2020/05/19 10:00),,
용역,20200515878-00,긴급,뉴노멀시대 식의약 전문역량 강화 전략방안 연구,식품의약품안전처,식품의약품안전처,제한(총액)협상에의한계약,2020/05/13 21:29(2020/05/26 10:00),,
용역,20200514592-00,일반,범죄경력회보서발급시스템 개편,조달청 서울지방조달청,경찰청,수의(총액),2020/05/13 21:00(2020/05/15 14:30),,
용역,20200501453-00,일반,"왕실도자, 시대를 담다 특별전 전시연출 및 보조물 제작 설치",조달청 서울지방조달청,문화재청 국립고궁박물관,수의(총액),2020/05/13 20:59(2020/05/15 10:00),,
용역,20200515831-00,일반,온라인 경력신고시스템 구축,한국정보통신공사협회,한국정보통신공사협회,제한(총액)협상에의한계약,2020/05/13 20:34(-),,
