"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200537712-00","긴급","2020년 보령시 시민안전 및 자전거 보험 가입","충청남도 보령시","충청남도 보령시","일반(총액)","2020/05/28 23:44(2020/06/03 10:00)"
"용역","20200537710-01","변경","도시재생뉴딜사업(중심시가지형) 활성화계획 변경 수립 용역-협상에의한계약(재공고)","전라북도 정읍시","전라북도 정읍시","일반(총액)협상에의한계약","2020/05/28 23:38(2020/06/16 14:00)"
"용역","20200537711-00","일반","도시재생뉴딜사업(주거지지원형) 주거개선 가이드라인 수립 용역(협상에의한계약)-재공고","전라북도 정읍시","전라북도 정읍시","일반(총액)협상에의한계약","2020/05/28 23:35(2020/06/16 14:00)"
"용역","20200537708-00","일반","소액수의 견적제출 안내공고(2020년 하수관로 개선사업(산성외) 폐기물처리용역","경상남도 함안군 상하수도사업소","경상남도 함안군 상하수도사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 23:14(2020/06/03 10:00)"
"용역","20200537693-00","일반","비산초등학교 외 2교 수변전시설 개선 및 기타 전기 설계용역 수의견적 제출 공고","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 22:35(2020/06/03 10:00)"
"용역","20200537688-00","일반","2020년 조림지 1차 풀베기사업(횡천적량양보지구)","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 22:27(2020/06/03 10:00)"
"용역","20200537679-00","일반","2020년 조림지 1차 풀베기사업(고전금성진교양보지구)","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 22:23(2020/06/03 10:00)"
"용역","20200537684-00","일반","2020년 조림지 1차 풀베기사업(하동화개악양적량지구)","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 22:22(2020/06/03 10:00)"
"용역","20200537683-00","일반","2020년 조림지 1차 풀베기사업(옥종청암횡천지구)","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 22:19(2020/06/03 10:00)"
"용역","20200537680-00","일반","2020년 조림지 1차 풀베기사업(옥종북천지구)","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 22:16(2020/06/03 10:00)"
"용역","20200537676-00","일반","진교지구 풍수해생활권 종합정비사업 기본 및 실시설계용역","경상남도 하동군","경상남도 하동군","지명경쟁","2020/05/28 22:09(2020/06/03 10:00)"
"용역","20200537639-00","일반","옥계동부초등학교 외 1교 냉난방시설 개선 전기 설계용역 수의견적 제출 공고","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 21:28(2020/06/03 10:00)"
"용역","20200537621-00","긴급","여주시 노후 하수관로 정비공사 CCTV 조사용역","경기도 여주시","경기도 여주시","제한경쟁","2020/05/28 21:13(2020/06/03 10:00)"
"용역","20200537613-00","일반","옥계동부초등학교 외 1교 냉난방개선 및 기타 기계설비 설계용역 수의견적 제출 공고","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 21:08(2020/06/03 10:00)"
"용역","20200537615-00","긴급","성산 자연재해위험 개선지구 정비사업 기본 및 실시설계용역","경상남도 합천군","경상남도 합천군","지명경쟁","2020/05/28 21:07(2020/06/03 10:00)"
"용역","20200533248-00","긴급","(가칭)남원수학체험 센터 신축 설계공모 공고","전라북도교육청","전라북도교육청","일반경쟁","2020/05/28 21:04(-)"
"용역","20200537608-00","긴급","서울역 일대 문화예술프로그램 운영 용역 (재공고)","서울특별시","서울특별시","제한(총액)협상에의한계약","2020/05/28 21:02(2020/06/09 17:00)"
"용역","20200537600-00","일반","사곡고등학교 외 4교 방화구획 설치 및 기타 전기부문 설계용역 수의견적 제출 공고","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 20:54(2020/06/03 10:00)"
"용역","20200537580-00","긴급","2020 부천국제만화축제 및 경기국제코스프레페스티벌 행사대행 용역(협상에 의한 계약)","경기도 부천시","경기도 부천시","제한(총액)협상에의한계약","2020/05/28 20:42(-)"
"용역","20200537584-00","긴급","2020 서울 도시재생 국제 컨퍼런스 행사운영 용역","서울특별시","서울특별시","일반(총액)협상에의한계약","2020/05/28 20:40(2020/06/09 17:00)"
"용역","20200537528-00","긴급","2020 전라북도 과학축전 운영 대행사 선정","재단법인 전북테크노파크","재단법인 전북테크노파크","제한(총액)협상에의한계약","2020/05/28 20:24(2020/06/16 17:00)"
"용역","20200537560-00","긴급","2020 새연교 콘서트 행사 대행 용역","제주특별자치도 서귀포시","제주특별자치도 서귀포시","제한(총액)협상에의한계약","2020/05/28 20:21(-)"
"용역","20200537558-00","긴급","2020년 산하해변 물놀이장 임차 및 운영 위탁 용역","울산광역시 북구","울산광역시 북구","제한(총액)협상에의한계약","2020/05/28 20:20(2020/06/16 10:00)"
"용역","20200537355-00","일반","교원성과평가제도 개선 용역","한국해양수산연수원","한국해양수산연수원","제한(총액)협상에의한계약","2020/05/28 20:16(2020/06/08 10:00)"
"용역","20200537520-00","일반","고성군 상징물(ci) 및 통합브랜드 개발 용역","경상남도 고성군","경상남도 고성군","일반(총액)협상에의한계약","2020/05/28 20:07(-)"
"용역","20200537518-00","긴급","인당 더 건강한 센터 플랫폼 구축 및 편의시설 정비 기본 및 실시설계용역(협상)-긴급","경상남도 함양군","경상남도 함양군","일반(총액)협상에의한계약","2020/05/28 20:01(-)"
"용역","20200537501-00","긴급","2020년 국도3호선 용현지하차도 준설공사 폐기물처리용역","국토교통부 서울지방국토관리청 의정부국토관리사무소","국토교통부 서울지방국토관리청 의정부국토관리사무소","수의(총액)","2020/05/28 19:56(2020/06/03 10:00)"
"용역","20200537500-00","긴급","평해읍 기초생활 거점육성사업 기본계획 및 실시설계용역(가격입찰 후 PQ)","경상북도 울진군","경상북도 울진군","일반경쟁","2020/05/28 19:49(2020/06/03 10:00)"
"용역","20200537496-00","일반","장애인콜택시 사전예약제 학술연구 용역","서울시설공단","서울시설공단","제한(총액)협상에의한계약","2020/05/28 19:49(2020/06/08 12:00)"
"용역","20200537475-00","일반","서생포왜성 수목정비사업 임목폐기물 처리용역","울산광역시 울주군","울산광역시 울주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 19:36(2020/06/03 10:00)"
"용역","20200537469-00","긴급","우정하수처리구역 하수관로 설치공사 기본 및 실시설계용역(사전pq)","경기도 화성시 맑은물사업소","경기도 화성시 맑은물사업소","지명경쟁","2020/05/28 19:33(2020/06/03 10:00)"
"용역","20200537470-00","일반","2026여수세계섬박람회 홍보영상 제작 용역","전라남도 여수시","전라남도 여수시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 19:33(2020/06/03 12:00)"
"용역","20200520831-01","변경","국가인권위원회 사이버 인권교육 학습관리시스템(LMS) 고도화 사업","국가인권위원회","국가인권위원회","제한(총액)협상에의한계약","2020/05/28 19:32(-)"
"용역","20200537451-00","일반","부산항(북항)재개발사업 마리나 건립공사 감독권한대행 등 건설사업관리용역","부산항만공사","부산항만공사","일반경쟁","2020/05/28 19:27(2020/06/26 10:00)"
"용역","20200537461-00","일반","다중이용시설 중 비법정 시설의 실내공기질 측정 위탁용역","서울특별시 금천구","서울특별시 금천구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 19:27(2020/06/03 10:00)"
"용역","20200536205-00","일반","동래교육지원청 제2기록관 증축 및 기타공사 감리용역","부산광역시교육청 부산광역시동래교육지원청","부산광역시교육청 부산광역시동래교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 19:25(2020/06/03 10:00)"
"용역","20200537459-00","긴급","향남공공하수처리시설 증설사업 기본 및 실시설계용역(사전pq)","경기도 화성시 맑은물사업소","경기도 화성시 맑은물사업소","지명경쟁","2020/05/28 19:25(2020/06/03 10:00)"
"용역","20200537458-00","긴급","장평농공단지 방치폐기물 처리용역","전라남도 장흥군","전라남도 장흥군","일반(총액)","2020/05/28 19:25(2020/06/03 10:00)"
"용역","20200536310-00","일반","동래교육지원청 전산실 천정공사 지정폐기물(석면) 처리 용역","부산광역시교육청 부산광역시동래교육지원청","부산광역시교육청 부산광역시동래교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 19:22(2020/06/03 10:00)"
"용역","20200537436-00","일반","공유재산 실태조사 및 자료분석 용역","울산광역시 울주군","울산광역시 울주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/28 19:21(2020/06/03 10:00)"
"용역","20200537449-00","일반","구리시 노후하수관로 정비사업 건설폐기물 처리용역","경기도 구리시","경기도 구리시","수의(총액)소액수의","2020/05/28 19:20(2020/06/03 12:00)"
