"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200527921-00","일반","『이야기가 있는 선바위 관광지 조성』구상(안) 및 간이타당성 검토 연구 용역(협상에의한계약)","경상북도 영양군","경상북도 영양군","제한(총액)협상에의한계약","2020/05/21 23:07(-)"
"용역","20200527909-00","일반","무주군 당산리 공영주차장 조성공사 실시설계 용역","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/21 22:33(2020/05/27 10:00)"
"용역","20200527904-00","일반","무주 예체문화관 시설개선사업 폐기물처리 용역","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/21 22:27(2020/05/27 10:00)"
"용역","20200527835-00","일반","화산면 당지리 급배수관 부설공사 건설폐기물 처리용역","경상북도 영천시","경상북도 영천시","제한(총액)","2020/05/21 21:33(2020/05/29 10:00)"
"용역","20200527843-00","긴급","긴급)시장경영바우처 공동마케팅 - 포항대해불빛시장","포항대해불빛시장 특성화첫걸음시장육성사업단","포항대해불빛시장 특성화첫걸음시장육성사업단","일반(총액)협상에의한계약","2020/05/21 21:30(-)"
"용역","20200527840-00","일반","용당(항공MRO) 일반산업단지계획(변경) 용역","경상남도 사천시","경상남도 사천시","지명경쟁","2020/05/21 21:30(2020/05/29 10:00)"
"용역","20200503221-03","변경","정릉동 895번지일대 관리형 주거환경개선사업 정비계획수립 용역","서울특별시 성북구","서울특별시 성북구","일반(총액)협상에의한계약","2020/05/21 21:29(-)"
"용역","20200527822-00","일반","하자관리정보시스템 마스터플랜(ISMP) 수립 사업 용역","한국시설안전공단","한국시설안전공단","일반(총액)협상에의한계약","2020/05/21 21:27(2020/06/02 17:00)"
"용역","20200527826-00","일반","큰재봉공원 정비공사 폐기물처리 용역(건설폐기물)","경기도 화성시 지역개발사업소","경기도 화성시 지역개발사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/05/21 21:21(2020/05/28 10:00)"
"용역","20200527824-00","일반","2025 사천 도시관리계획(재정비) 수립 용역","경상남도 사천시","경상남도 사천시","지명경쟁","2020/05/21 21:19(2020/05/29 10:00)"
"용역","20200527813-00","긴급","광명시 상수도관망 유지관리 용역","경기도 광명시","경기도 광명시","지명경쟁","2020/05/21 21:12(2020/05/28 16:00)"
"용역","20200527732-01","취소","사업수행능력평가 제출 안내(용당(항공MRO) 일반산업단지계획(변경) 용역","경상남도 사천시","경상남도 사천시","지명경쟁","2020/05/21 21:12(2020/05/29 10:00)"
"용역","20200527807-01","취소","사업수행능력평가 제출 안내공고(도시관리계획(재정비) 결정(변경)용역)","경상남도 사천시","경상남도 사천시","지명경쟁","2020/05/21 21:11(2020/05/29 10:00)"
