업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,20200519206-00,일반,안전보건통합관리시스템구축 및 화학물질관리시스템 고도화,한국지질자원연구원,한국지질자원연구원,제한(총액)협상에의한계약,2020/05/15 17:19(2020/06/02 10:00),
용역,20200519201-00,일반,2020년 조림지 풀베기사업(1차) 감리용역,충청남도 아산시,충청남도 아산시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 17:18(2020/05/21 15:00),
용역,20200518062-01,변경,연구실험시설 활용 기상관측기술개발 조사 및 분석 기획연구,기상청 국립기상과학원,기상청 국립기상과학원,제한(총액)협상에의한계약,2020/05/15 17:18(2020/05/25 10:00),
용역,20200517784-00,긴급,토지적성평가 및 재해취약성 분석 용역,경기도 광주시,경기도 광주시,제한경쟁,2020/05/15 17:18(2020/05/21 10:00),
용역,20200519033-00,일반,"권선초 외 4교(명인초,영화초,일월초,매원중) 샌드위치패널 개선공사 설계용역",경기도교육청 경기도수원교육지원청,경기도교육청 경기도수원교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 17:18(2020/05/21 10:00),
용역,20200518691-00,긴급,2020년 정원분야 실습·보육공간 운영용역(김천),조달청,한국수목원관리원,수의(총액),2020/05/15 17:17(2020/05/18 14:00),
용역,20200518692-00,긴급,국외문화재DB관리시스템 고도화(오카이브 OK-Archive 구축),조달청 서울지방조달청,국외소재문화재재단,제한(총액)협상에의한계약,2020/05/15 17:16(2020/06/10 10:00),
용역,20200519186-00,일반,동학초 포장개선공사 설계용역,경기도교육청 경기도화성오산교육지원청,경기도교육청 경기도화성오산교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 17:15(2020/05/21 10:00),
용역,E012004450-00,일반,2020년 인천직할 배전설비 열화상 진단용역,한국전력공사,재무자재부,제한(총액),2020/05/15 17:15(2020/05/25 14:00),
용역,20200518386-01,변경,소규모 수도시설 개량사업 폐기물처리 용역,제주특별자치도,제주특별자치도,제한(총액),2020/05/15 17:13(2020/05/22 14:00),
용역,20200519184-00,긴급,신태인처리구역 하수관로 정비사업(신태인태인처리분구) GIS DB구축 용역,전라북도 정읍시,전라북도 정읍시,제한경쟁,2020/05/15 17:12(2020/05/21 14:00),
용역,20200518311-00,일반,신안경찰서 청사 신축공사 군계획시설(공공청사) 실시계획 인가 용역,경찰청 전라남도지방경찰청,경찰청 전라남도지방경찰청,제한경쟁,2020/05/15 17:11(2020/05/25 10:00),
용역,20200519172-00,일반,용역사업 집행계획 및 평가자료 제출 공고[청사시설 신축공사 건설사업관리용역],해양수산부 남해어업관리단,해양수산부 남해어업관리단,일반경쟁,2020/05/15 17:11(-),
용역,20200519146-00,일반,‘20년 경상남도 공공급속충전시설 전기안전관리대행,한국환경공단,한국환경공단,수의(총액)소액수의,2020/05/15 17:11(2020/05/21 15:00),
용역,20200519181-00,긴급,강화일반산업단지 공공폐수처리시설(2단계) 설치공사 건설사업관리 용역,인천광역시 종합건설본부,인천광역시 종합건설본부,제한경쟁,2020/05/15 17:11(2020/05/21 10:00),
용역,20200519176-00,일반,인천농업기술센터 전통문화체험교육관 조성 설계 및 실시계획(변경) 용역,인천광역시,인천광역시,제한경쟁,2020/05/15 17:09(2020/05/26 10:00),
용역,20200518326-00,긴급,한국 의료기기 정보제공 자료집 개발,조달청 충북지방조달청,한국보건산업진흥원,제한(총액)협상에의한계약,2020/05/15 17:08(2020/05/27 10:00),
용역,20200518134-01,취소,경남 마산로봇랜드 테마파크 재산종합보험 가입(긴급),(재)경남로봇랜드재단,(재)경남로봇랜드재단,일반(총액),2020/05/15 17:07(2020/05/21 16:00),
용역,20200519173-00,일반,OCS 시스템 H/W장비 유지보수 용역 견적서 제출 안내 공고,서울특별시 동부병원,서울특별시 동부병원,수의(총액)소액수의,2020/05/15 17:07(2020/05/21 10:00),
용역,20200518554-01,변경,신성여자중학교 본관동 및 체육관 정밀안전점검 용역,제주특별자치도교육청 제주시교육청 신성여자중학교,제주특별자치도교육청 제주시교육청 신성여자중학교,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 17:06(2020/05/22 10:00),
용역,20200519174-00,일반,2020년 경상남도 폐기물 처리용역,한국어촌어항공단,한국어촌어항공단,제한(단가),2020/05/15 17:06(2020/05/21 10:00),
용역,20200519169-00,일반,사옥(월드마린센터) 시설물 손해보험,여수광양항만공사,여수광양항만공사,일반(총액),2020/05/15 17:06(2020/05/20 16:00),
용역,20200519161-00,일반,고정초 포장개선공사 설계용역,경기도교육청 경기도화성오산교육지원청,경기도교육청 경기도화성오산교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 17:05(2020/05/21 10:00),
용역,20200519168-00,일반,금호워터폴리스 건설폐기물(가연성) 운반 및 처리용역,대구도시공사,대구도시공사,제한(총액),2020/05/15 17:05(2020/05/21 14:00),
용역,20200519162-00,긴급,경남 마산로봇랜드 테마파크 재산종합보험 가입(긴급),(재)경남로봇랜드재단,(재)경남로봇랜드재단,일반(총액),2020/05/15 17:05(2020/05/21 16:10),
용역,2001716-02,변경,[정정공고]대구율하 도시첨단산업단지 사후환경영향조사(공사시) 용역,한국토지주택공사,한국토지주택공사,일반경쟁,2020/05/15 17:05(2020/05/26 12:00),
용역,20200519159-00,일반,경영전략 수립 및 조직진단 컨설팅,건강보험심사평가원,건강보험심사평가원,일반(총액)협상에의한계약,2020/05/15 17:05(2020/06/05 14:00),
용역,20200519170-00,일반,2020년 중규모 대류계 수도권 집중관측 용역,기상청 국립기상과학원,기상청 국립기상과학원,제한(총액)협상에의한계약,2020/05/15 17:04(2020/05/25 10:00),
용역,20200503821-01,변경,종교에 대한 이해 사이버 코스웨어 제작,문화체육관광부,문화체육관광부,제한(총액)협상에의한계약,2020/05/15 17:02(2020/05/25 10:00),
용역,20200518211-00,일반,2020년 국립축산과학원 DPF돈사 유지관리용역,조달청 전북지방조달청,농촌진흥청 국립축산과학원,수의(총액)제조공급자 설치조립,2020/05/15 17:02(2020/05/22 16:00),
용역,20200519092-02,변경,교육원 주차장 아스콘 포장 보수공사 폐기물 처리용역,농림축산식품부 농식품공무원교육원,농림축산식품부 농식품공무원교육원,제한(총액),2020/05/15 16:59(2020/05/22 10:00),
용역,20200518934-00,일반,대로2-5호선 도시계획도로개설 교통안전진단 용역,충청남도 천안시,충청남도 천안시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:59(2020/05/21 14:00),
용역,20200519129-00,일반,감염병이 산업안전보건에 미치는 영향요인 예측 연구용역,한국산업안전보건공단,한국산업안전보건공단,제한(총액)협상에의한계약,2020/05/15 16:58(2020/05/27 10:00),
용역,20200518826-00,일반,새만금 가로시설 디자인 가이드라인 및 설치기준 수립 용역계약,조달청 전북지방조달청,새만금개발청,제한(총액)협상에의한계약,2020/05/15 16:57(2020/05/29 10:00),
용역,20200519141-00,일반,2017년 지방상수도 현대화사업(보은군) 건설폐기물(폐합성수지) 처리용역,한국환경공단 충청권지역본부,한국환경공단 충청권지역본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:56(2020/05/22 10:00),
용역,20200514749-01,변경,초소형전기차 통합관제[S/W] 시스템 구축,마스타자동차관리(주),마스타자동차관리(주),일반(총액)협상에의한계약,2020/05/15 16:56(2020/05/26 17:00),
용역,20200517753-00,긴급,신현 문화체육복합센터 주변(소로2-13호선 외) 도로개설공사 실시설계용역,경기도 광주시,경기도 광주시,제한경쟁,2020/05/15 16:56(2020/05/21 10:00),
용역,20200519139-00,일반,2020년 고양시 방범 및 불법주정차단속 CCTV 구축사업 감리용역,경기도 고양시,경기도 고양시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:56(2020/05/21 10:00),
용역,20200519094-00,일반,산업 농공단지 통근버스 임차 지원 용역(단가계약),경상남도 거창군,경상남도 거창군,제한(단가),2020/05/15 16:56(2020/05/21 10:00),
용역,20200519138-00,일반,위해관리계획 비상대응정보 공유체계 구축 연구(Ⅱ),환경부 화학물질안전원,환경부 화학물질안전원,제한(총액)협상에의한계약,2020/05/15 16:54(2020/05/29 14:00),
용역,20200516223-00,일반,5호선 궤도재료(방진패드) 스프링 상수 측정 용역 (단가),서울교통공사,서울교통공사,일반(단가),2020/05/15 16:54(2020/05/26 12:00),
