"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200710657-00","일반","진도군 장애인종합복지관 식당 신축공사 폐기물 처리용역","전라남도 진도군","전라남도 진도군","수의(총액)소액수의","2020/07/09 22:10(2020/07/16 14:00)"
"용역","20200710648-00","일반","위임국도87호선 포천 초과리 낙석산사태정비공사 폐기물처리용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/09 21:47(2020/07/15 10:00)"
"용역","20200710638-00","일반","본선환기실 집진설비 설치사업 설계용역","인천교통공사","인천교통공사","제한경쟁","2020/07/09 21:34(2020/07/17 10:00)"
"용역","20200710625-00","일반","태화강 중구둔치(십리대밭축구장A면) 다목적광장 조성공사 가연성폐기물 처리용역","울산광역시","울산광역시","제한(총액)","2020/07/09 21:21(2020/07/17 10:00)"
"용역","20200706635-00","긴급","2020년 빅데이터 시스템 구축 및 분석모델 개발 사업 감리용역","조달청","관세청","일반(총액)협상에의한계약","2020/07/09 21:14(2020/08/04 10:00)"
"용역","20200710622-00","일반","호계초 외부포장 개선공사 설계용역","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/09 21:13(2020/07/15 10:00)"
"용역","20200704567-00","긴급","공공자원 개방 공유 관리시스템 구축(2차) 위탁감리","조달청","한국정보화진흥원","제한(총액)협상에의한계약","2020/07/09 21:09(2020/08/04 10:00)"
"용역","20200710614-00","일반","중산교 등 14개소 정밀안전점검 용역","울산광역시","울산광역시","지명경쟁","2020/07/09 21:04(2020/07/17 10:00)"
"용역","20200710599-00","일반","1호선 전기설비 개량사업(변전, 수송배전설비) 기본실시설계용역","인천교통공사","인천교통공사","제한경쟁","2020/07/09 21:01(2020/07/17 10:00)"
"용역","20200710600-00","일반","평택시 공동주택 디자인 향상 방안 연구용역(협상에 의한 계약)","경기도 평택시","경기도 평택시","제한(총액)협상에의한계약","2020/07/09 20:54(-)"
"용역","20200710561-00","일반","국공유 행정재산 이용실태조사 용역","서울특별시 강서구","서울특별시 강서구","제한경쟁","2020/07/09 20:50(2020/07/17 10:00)"
"용역","20200710590-00","일반","농소~강동간(2공구) 도로개설공사 기본 및 실시설계용역","울산광역시","울산광역시","지명경쟁","2020/07/09 20:49(2020/07/17 10:00)"
"용역","20200710293-03","변경","양산가산 융복합지식산업센터 기본구상 및 타당성 조사용역","경남개발공사","경남개발공사","일반(총액)경쟁적대화에의한계약","2020/07/09 20:48(공개이전)"
"용역","20200710596-00","긴급","미세먼지 배출원 조사 및 감시차량 임차용역","경기도 화성시 환경사업소","경기도 화성시 환경사업소","제한(단가)","2020/07/09 20:45(2020/07/15 10:00)"
"용역","20200710345-00","일반","스마트컨트랙트 보안약점 분석도구 개발 용역","조달청 서울지방조달청","한국정보통신기술협회","제한(총액)협상에의한계약","2020/07/09 20:44(2020/07/21 10:00)"
"용역","20200710582-00","일반","공주대학교소비조합 매점 상품 및 운영시스템 공급업체 선정","공주대학교 소비조합","공주대학교 소비조합","제한(총액)협상에의한계약","2020/07/09 20:31(2020/07/20 16:00)"
"용역","20200710581-00","일반","동부초 교육환경개선 소방공사 감리용역","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/09 20:28(2020/07/15 10:00)"
"용역","20200710557-00","일반","동두천사동유 외 46교 급식실 후드세척(2차) 용역","경기도교육청 경기도동두천양주교육지원청","경기도교육청 경기도동두천양주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/09 20:13(2020/07/15 10:00)"
"용역","20200710566-00","일반","부산항공무선표지소 외곽 경비울타리 교체 및 기타공사 건설사업관리용역","한국공항공사 항로시설본부 인천항공교통시설단","한국공항공사 항로시설본부 인천항공교통시설단","제한경쟁","2020/07/09 20:10(2020/07/17 10:00)"
"용역","20200706505-01","변경","2020 광주사회적경제기업 실태조사 및 분석","광주사회적경제지원센터","광주사회적경제지원센터","일반(총액)협상에의한계약","2020/07/09 19:51(-)"
"용역","20200710542-00","긴급","등록문화재 제184호 군산 해망굴 정밀안전진단용역","전라북도 군산시","전라북도 군산시","제한경쟁","2020/07/09 19:47(2020/07/16 12:00)"
"용역","20200710532-00","일반","중앙공원 새단장 사업 감리 용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/09 19:47(2020/07/15 10:00)"
"용역","20200710527-00","일반","청주중 급식소 및 화장실보수 폐기물처리용역 소액수의 견적공고","충청북도교육청 충청북도청주교육지원청","충청북도교육청 충청북도청주교육지원청","수의(총액)소액수의","2020/07/09 19:46(2020/07/15 10:00)"
"용역","20200710534-00","일반","2020년 전남 버스운송사 경영수지분석 및 회계검증 용역","전라남도","전라남도","일반(총액)","2020/07/09 19:45(2020/07/17 10:00)"
"용역","20200710321-01","변경","웅천못공원 조성계획 변경 및 주차장 조성 실시설계용역","전라남도 여수시","전라남도 여수시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/09 19:41(2020/07/15 12:00)"
"용역","20200710518-00","일반","2020년 ITS 성능평가 현장조사 용역","한국건설기술연구원","한국건설기술연구원","일반(총액)협상에의한계약","2020/07/09 19:25(2020/07/20 11:00)"
"용역","20200710515-00","일반","웅동초등학교 내진보강 구조설계용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/09 19:22(2020/07/15 10:00)"
"용역","20200710513-00","일반","2020년 영덕군 연안해조장 및 바다숲 조성해역 해조류 보식","한국수산자원공단동해본부","한국수산자원공단동해본부","일반경쟁","2020/07/09 19:13(2020/07/17 10:00)"
