"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200704871-00","긴급","한국감정원 후생시설 위탁운영 사업자 선정","한국감정원","한국감정원","제한(총액)협상에의한계약","2020/07/06 11:45(-)"
"용역","20200704890-00","긴급","서울대학교병원 원내 바닥매트 세탁 용역","서울대학교병원","서울대학교병원","일반(단가)","2020/07/06 11:44(2020/07/13 10:00)"
"용역","20200704892-00","일반","포승레포츠공원 진입도로(소로1-10호선) 개설공사 건설폐기물처리 용역","경기도 평택시","경기도 평택시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 11:43(2020/07/10 10:00)"
"용역","20200704887-00","일반","서울기술연구원 경영정보시스템 개선","재단법인 서울특별시 서울기술연구원","재단법인 서울특별시 서울기술연구원","수의(총액)","2020/07/06 11:39(2020/07/07 15:00)"
"용역","20200704874-00","일반","경북 스마트팜혁신밸리조성사업 지원센터구축 건축공사 상주감리용역","한국농어촌공사 경북지역본부","한국농어촌공사 경북지역본부","수의(총액)소액수의","2020/07/06 11:39(2020/07/13 10:00)"
"용역","20200704681-00","일반","도림고 이전재배치 외 1교(해양1중) BEMS(건물에너지관리시스템) 구매","조달청 인천지방조달청","인천광역시교육청","제한(총액)","2020/07/06 11:38(2020/07/16 10:00)"
"용역","20200704882-00","일반","복합환경진동시험기(16톤)연간유지보수 용역","재단법인 경북테크노파크","재단법인 경북테크노파크","수의(총액)소액수의","2020/07/06 11:38(2020/07/09 12:00)"
"용역","20200704872-00","일반","2020년 대구광역시 항공사진 촬영 용역","대구광역시","대구광역시","일반경쟁","2020/07/06 11:30(-)"
"용역","20200704081-00","긴급","송현여자고등학교 강당동 개축 공사 감리 용역","대구광역시교육청 송현여자고등학교","대구광역시교육청 송현여자고등학교","제한경쟁","2020/07/06 11:27(2020/07/10 14:00)"
"용역","20200704680-00","일반","2021년도 한국수출입은행 달력 디자인 기획 및 제작업체 선정","한국수출입은행","한국수출입은행","제한(총액)협상에의한계약","2020/07/06 11:25(2020/07/23 15:00)"
"용역","20200704854-00","일반","연무 도시계획시설(문화시설) 재해영향성검토 용역","충청남도 논산시","충청남도 논산시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 11:23(2020/07/13 14:00)"
"용역","20200704841-00","일반","2020년 용인지사 열수송관 비파괴검사용역 단가계약","한국지역난방공사 용인지사","한국지역난방공사 용인지사","제한(단가)","2020/07/06 11:22(2020/07/16 10:00)"
"용역","20200704771-00","일반","수원가정법원 신청사 구내식당 위탁경영사업자 선정","대법원 수원가정법원","대법원 수원가정법원","제한(총액)협상에의한계약","2020/07/06 11:21(-)"
"용역","20200704849-00","일반","애중복지재단(성산정신요양원)생활관 개축공사 설계공모","성산정신요양원","성산정신요양원","일반경쟁","2020/07/06 11:21(-)"
"용역","20200704825-00","일반","2020 하반기 바이오벤치마킹스쿨(BBS) 지원 용역","(재)충청북도창조경제혁신센터","(재)충청북도창조경제혁신센터","일반(총액)협상에의한계약","2020/07/06 11:20(2020/07/17 10:00)"
"용역","20200704811-00","일반","경기도내 개발가용지 조사분석 용역 재공고","경기도시공사","경기도시공사","일반경쟁","2020/07/06 11:20(2020/07/16 10:00)"
"용역","20200704842-00","일반","국립망향의동산관리원 분수대광장 개선 및 정비공사 폐기물 처리용역 공고","보건복지부 국립망향의동산관리원","보건복지부 국립망향의동산관리원","수의(총액)소액수의","2020/07/06 11:19(2020/07/13 14:00)"
"용역","20200704834-00","일반","진북면 정곡마을 진출입로 정비공사 폐기물처리용역","경상남도 창원시 마산합포구","경상남도 창원시 마산합포구","수의(총액)소액수의","2020/07/06 11:19(2020/07/10 15:00)"
"용역","20200704704-00","일반","적중면 농촌중심지활성화사업 문화나눔활력센터 건축감리 용역","한국농어촌공사 경남지역본부 합천지사","한국농어촌공사 경남지역본부 합천지사","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 11:18(2020/07/10 10:00)"
"용역","20200704833-00","일반","2020 테마여행 10선 남쪽빛감성여행 광역투어패스 개발 및 운영","부산관광공사","부산관광공사","제한(총액)협상에의한계약","2020/07/06 11:18(2020/07/17 11:00)"
"용역","20200704839-00","일반","일본 진출 희망기업 대상 컨설팅 진행 용역","한국과학기술원","한국과학기술원","제한(총액)협상에의한계약","2020/07/06 11:17(-)"
"용역","20200704837-00","긴급","2030 이천시 비전계획 수립을 위한 종합발전계획 수립 연구용역(긴급)(재공고)","경기도 이천시","경기도 이천시","제한(총액)협상에의한계약","2020/07/06 11:17(2020/07/10 16:00)"
"용역","E012005971-00","일반","세운6-2-24 재개발 지장전주 이설공사 감리용역","한국전력공사","재무자재부","제한(총액)","2020/07/06 11:15(2020/07/14 10:00)"
"용역","20200704828-00","긴급","시장 네트워크운영 및 유지보수 업체선정 재공고","(주)코스콤","(주)코스콤","제한(총액)협상에의한계약","2020/07/06 11:15(2020/07/17 14:00)"
"용역","20200704815-00","일반","미세먼지 특이 호흡기질환 특성 분석 기반 임상처방 유효성 평가","한국한의학연구원","한국한의학연구원","제한(총액)협상에의한계약","2020/07/06 11:10(-)"
"용역","20200704784-00","일반","2020~2021년 혈액 및 물품 운송 용역","대한적십자사 울산광역시혈액원","대한적십자사 울산광역시혈액원","제한(단가)","2020/07/06 11:10(2020/07/14 15:00)"
"용역","20200704801-00","일반","순천고 교사동 개축공사 소방분야 설계용역 사업수행능력평가 안내 공고","전라남도교육청","전라남도교육청","수의(총액)소액수의","2020/07/06 11:08(-)"
