"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200716199-00","일반","한강삼익아파트 재건축정비사업 회계감사 용역","서울특별시 용산구","서울특별시 용산구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 21:42(2020/07/22 10:00)"
"용역","20200716860-00","긴급","스마트양식 시설 기반 구축사업","경상남도 하동군","경상남도 하동군","일반(총액)협상에의한계약","2020/07/15 21:36(2020/07/28 18:00)"
"용역","BD2020000187-01","일반","MU 가상장치 제작","한국전기연구원","한국전기연구원"," ","2020/07/15 21:30(2020/07/24 15:00)"
"용역","20200716856-00","일반","구미여자상업고등학교 생활관 내진성능평가 용역 수의견적 제출 안내","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 21:27(2020/07/21 10:00)"
"용역","20200716846-00","긴급","2020년 폐목재류 위탁처리(재활용)용역[긴급]","경기도 이천시","경기도 이천시","제한(총액)","2020/07/15 21:00(2020/07/21 14:00)"
"용역","20200716838-00","긴급","완주 보은매립장 저장탱크내 침출수 및 불명수 위탁처리 용역 단가계약","전라북도 완주군","전라북도 완주군","제한(단가)","2020/07/15 20:52(2020/07/21 14:00)"
"용역","20200716842-00","일반","청도 발전촉진형 지역개발지원사업 문화재 시굴 및 표본조사용역","경상북도 청도군","경상북도 청도군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 20:51(2020/07/21 10:00)"
"용역","20200701764-01","변경","내서읍 화물자동차 공영차고지 조성 실시설계 용역","조달청","경상남도 창원시","일반경쟁(용역,PQ)","2020/07/15 20:40(2020/07/21 10:00)"
"용역","20200716835-00","긴급","2020년 한국발명진흥회 직원 단체보험","한국발명진흥회","한국발명진흥회","일반(총액)","2020/07/15 20:38(2020/07/20 10:00)"
"용역","20200716833-00","일반","일동초등학교 내진성능평가 용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 20:34(2020/07/21 10:00)"
"용역","20200716832-00","일반","kt 프로농구단 20~21시즌 마케팅 프로모션 기획 및 운영","주식회사 케이티스포츠","주식회사 케이티스포츠","일반(총액)협상에의한계약","2020/07/15 20:29(-)"
"용역","20200716827-00","일반","우암초등학교 내진성능평가 용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 20:25(2020/07/21 10:00)"
"용역","20200716316-00","일반","2020년 초.중.고등학교 과학실험실 폐수, 폐기물(폐시약) 위탁 처리 용역","경기도교육청 경기도성남교육지원청","경기도교육청 경기도성남교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 20:23(2020/07/21 10:00)"
"용역","20200716822-00","일반","안민초등학교 외 1교(창원신월고) 환경개선공사 설계용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 20:13(2020/07/21 10:00)"
"용역","20200716817-00","긴급","군산시 어린이보호구역 실태조사 용역","전라북도 군산시","전라북도 군산시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 20:06(2020/07/21 12:00)"
"용역","20200715307-00","일반","하청중 외 3교 지정폐기물처리용역 수의계약 안내 공고","경상남도교육청 경상남도거제교육지원청","경상남도교육청 경상남도거제교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 19:59(2020/07/21 10:00)"
"용역","20200715391-00","긴급","소하천정비 종합계획 재수립 및 지형도면 고시 용역","강원도 강릉시","강원도 강릉시","지명경쟁","2020/07/15 19:58(2020/07/21 10:00)"
"용역","20200716812-00","긴급","신시도 노후도로 정비사업 해역이용협의 용역","전라북도 군산시","전라북도 군산시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 19:53(2020/07/21 12:00)"
"용역","20200715385-00","긴급","2020년 대국민 기상정보서비스(날씨누리) 개선 사업","조달청 서울지방조달청","기상청","수의(총액)","2020/07/15 19:45(2020/07/17 15:30)"
"용역","20200716808-00","긴급","등록문화재 제184호 군산 해망굴 정밀안전진단용역","전라북도 군산시","전라북도 군산시","제한경쟁","2020/07/15 19:45(2020/07/21 12:00)"
"용역","20200715407-00","일반","모바일기기 증거획득장비(JTAG) 유지관리","조달청 서울지방조달청","경찰청","수의(총액)","2020/07/15 19:43(2020/07/17 15:30)"
"용역","20200716801-00","일반","부산여고 등 2교(하남초) 화장실개량 및 기타 주변석면농도 측정용역","부산광역시교육청 부산광역시서부교육지원청","부산광역시교육청 부산광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/15 19:32(2020/07/21 10:00)"
"용역","20200716802-00","일반","김제시 청년정책 기본계획 수립 연구용역","전라북도 김제시","전라북도 김제시","제한(총액)협상에의한계약","2020/07/15 19:29(-)"
"용역","20200716799-00","일반","위성영상 리셈플링 및 주요 시설정보 전산화 용역","한국원자력통제기술원","한국원자력통제기술원","일반(총액)협상에의한계약","2020/07/15 19:23(2020/07/28 10:00)"
