"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200704661-00","일반","(2020-디지털-02) 디지털과 자기스캐너 개발 용역","행정안전부 국립과학수사연구원","행정안전부 국립과학수사연구원","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 23:14(2020/07/14 10:00)"
"용역","20200707562-00","일반","건설폐기물처리용역(일산중-중간처리)","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 22:29(2020/07/13 10:00)"
"용역","20200707561-00","긴급","태봉리 도로정비공사 외 7건 실시설계용역","경기도 가평군","경기도 가평군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 22:25(2020/07/13 14:00)"
"용역","20200707559-00","긴급","개곡1리 도로정비공사 외 7건 실시설계용역","경기도 가평군","경기도 가평군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 22:21(2020/07/13 14:00)"
"용역","20200707558-00","일반","건설폐기물처리용역(양지초-매립)","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 22:20(2020/07/13 10:00)"
"용역","20200707556-00","일반","건설폐기물처리용역(일산중-매립)","울산광역시교육청 울산광역시강북교육지원청","울산광역시교육청 울산광역시강북교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 22:12(2020/07/13 10:00)"
"용역","20200707542-00","일반","영농폐기물 수거 위탁처리 용역(2차)","경상남도 하동군","경상남도 하동군","제한(단가)종합낙찰제","2020/07/07 21:26(2020/07/15 10:00)"
"용역","20200707540-00","일반","포항 문화비전 수립 용역","경상북도 포항시","경상북도 포항시","제한(총액)","2020/07/07 21:26(2020/07/15 10:00)"
"용역","20200707535-00","일반","합천읍 공영주차장 조성사업 조사측량 및 실시설계 용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 21:16(2020/07/13 10:00)"
"용역","20200707527-00","일반","건설사업정보시스템 통합DB 설계 및 기능 개편(3차)","한국건설기술연구원","한국건설기술연구원","제한(총액)협상에의한계약","2020/07/07 21:15(2020/07/20 11:00)"
"용역","20200707521-00","긴급","국도시설 개량사업 효과분석 및 성과지표 개발연구","국토교통부","국토교통부","일반(총액)협상에의한계약","2020/07/07 21:05(2020/07/20 10:00)"
"용역","20200707506-00","긴급","2020. 학교운동장(인조잔디 및 우레탄) 유해성검사 용역","전라남도교육청","전라남도교육청","일반(총액)","2020/07/07 21:01(2020/07/13 10:00)"
"용역","20200707508-00","일반","어촌문화 체험ZONE 조성사업 기본계획 연구용역(협상에 의한 계약)","강원도 춘천시 농업기술센터","강원도 춘천시 농업기술센터","일반(총액)협상에의한계약","2020/07/07 20:42(-)"
"용역","20200707503-00","일반","대전대문초등학교 외 1교(충남여중) 내진보강공사 건설폐기물 운반 용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 20:42(2020/07/13 10:00)"
"용역","20200707500-00","일반","대전대문초등학교 외 1교(충남여중) 내진보강공사 건설폐기물 처리 용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/07 20:35(2020/07/13 10:00)"
