"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200711769-00","긴급","2020 에듀테크 코리아 페어 행사 대행 용역","사단법인 한국교육정보진흥협회","사단법인 한국교육정보진흥협회","제한(총액)협상에의한계약","2020/07/10 22:35(2020/07/21 10:00)"
"용역","20200711889-00","일반","환경산업연구단지 파일럿실험동 악취방지시설 실시설계","한국환경산업기술원","한국환경산업기술원","제한경쟁","2020/07/10 21:50(2020/07/20 10:00)"
"용역","20200710899-00","긴급","천연동 골목길 재생 환경개선 공사 건설폐기물 처리용역","서울특별시 서대문구","서울특별시 서대문구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/10 20:28(2020/07/16 10:00)"
"용역","20200711834-00","긴급","2020 국립아시아문화전당 아카이브시스템 고도화 사업","아시아문화원","아시아문화원","제한(총액)협상에의한계약","2020/07/10 20:00(2020/07/23 10:00)"
"용역","20200711870-00","일반","2020년 전라북도 사회조사 결과 분석 용역","전라북도","전라북도","제한(총액)협상에의한계약","2020/07/10 19:57(2020/07/21 18:00)"
"용역","20200711869-00","긴급","Citizen Data Scientist(CDS) 빅데이터 교육","조선대학교","조선대학교","일반(총액)협상에의한계약","2020/07/10 19:51(-)"
"용역","20200707572-03","변경","60세 도래자 치매예방서비스 요구도 조사","서초구치매안심센터","서초구치매안심센터","일반(총액)협상에의한계약","2020/07/10 19:27(-)"
"용역","20200711831-01","변경","2020년 정책숲가꾸기사업 실시설계용역","산림조합중앙회 용인시산림조합","산림조합중앙회 용인시산림조합","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/10 19:06(2020/07/16 10:00)"
"용역","20200711849-00","일반","2020년 미세먼지저감 공익숲가꾸기사업 실시설계용역","산림조합중앙회 용인시산림조합","산림조합중앙회 용인시산림조합","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/10 19:00(2020/07/16 10:00)"
"용역","20200711846-00","긴급","국도45호선 충무교 개축공사 소규모 환경영향평가용역","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한경쟁","2020/07/10 18:57(2020/07/16 12:00)"
"용역","20200711803-00","일반","사기막골천 소하천 정비공사 페기물처리용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/10 18:48(2020/07/16 10:00)"
"용역","20200711836-00","일반","광암고가교 등 33개소 하반기 정기안전점검용역","광주광역시 종합건설본부","광주광역시 종합건설본부","제한경쟁","2020/07/10 18:41(2020/07/20 10:00)"
"용역","20200711830-00","일반","창원문성대학교 학사제도 혁신을 위한 통합정보시스템 고도화 사업","창원문성대학교산학협력단","창원문성대학교산학협력단","일반(총액)협상에의한계약","2020/07/10 18:39(2020/08/19 14:00)"
"용역","20200711829-00","일반","송정2교 등 31개소 하반기 정기안전점검용역","광주광역시 종합건설본부","광주광역시 종합건설본부","제한경쟁","2020/07/10 18:35(2020/07/20 10:00)"
"용역","20200711821-00","일반","임동교 등 34개소 하반기 정기안전점검용역","광주광역시 종합건설본부","광주광역시 종합건설본부","제한경쟁","2020/07/10 18:30(2020/07/20 10:00)"
"용역","20200711819-00","일반","한국방송통신대학교 종합상담시스템 유지보수 용역","한국방송통신대학교","한국방송통신대학교","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/10 18:29(2020/07/16 10:00)"
"용역","20200635434-01","변경","순천향대학교 2020학년도 K-MOOC 자율참여강좌 개발사업 재공고","순천향대학교","순천향대학교","제한경쟁","2020/07/10 18:29(-)"
"용역","20200711817-00","긴급","국도45호선 충무교 개축공사 설계 경제성 검토(설계VE)용역","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한경쟁","2020/07/10 18:27(2020/07/16 12:00)"
"용역","20200710976-00","일반","온-나라 정책연구시스템 고도화 사업","조달청","행정안전부","제한(총액)협상에의한계약","2020/07/10 18:25(2020/07/21 10:00)"
"용역","20200711814-00","일반","2020년 미세먼지저감 숲가꾸기 선목사업(광도안정지구)","경상남도 통영시","경상남도 통영시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/10 18:23(2020/07/16 11:00)"
"용역","20200711802-00","일반","KOLAS 공인시험기관 인정을 위한 기술지원 및 컨설팅","제주대학교 산학협력단","제주대학교 산학협력단","제한(총액)협상에의한계약","2020/07/10 18:23(2020/07/21 10:00)"
"용역","20200711816-00","일반","우산본선교 등 35개소 하반기 정기안전점검용역","광주광역시 종합건설본부","광주광역시 종합건설본부","제한경쟁","2020/07/10 18:23(2020/07/20 10:00)"
"용역","20200711815-00","일반","2020년 건설폐기물 처리용역","서울특별시 상수도사업본부 암사아리수정수센터","서울특별시 상수도사업본부 암사아리수정수센터","수의(총액)소액수의","2020/07/10 18:22(2020/07/16 10:00)"
"용역","20200711806-00","일반","단장11지구 급경사지 붕괴위험지역 정비 생태자연도 등급조정 용역","경상남도 도로관리사업소","경상남도 도로관리사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/10 18:20(2020/07/16 10:00)"
"용역","20200711807-00","일반","광신대교 등 37개소 하반기 정기안전점검용역","광주광역시 종합건설본부","광주광역시 종합건설본부","제한경쟁","2020/07/10 18:16(2020/07/20 10:00)"
"용역","20200708426-00","일반","2020.미래설계 진로진학 콘서트 운영","재단법인 수원시청소년재단","재단법인 수원시청소년재단","제한(총액)협상에의한계약","2020/07/10 18:16(-)"
"용역","20200708286-00","일반","2020. 꿈틀(꿈을 만드는 틀) 창직교실 용역","재단법인 수원시청소년재단","재단법인 수원시청소년재단","제한(총액)협상에의한계약","2020/07/10 18:15(-)"
"용역","20200711805-00","긴급","국도34호선 인주검문소 고속축중기 위탁관리용역","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한경쟁","2020/07/10 18:12(2020/07/16 12:00)"
"용역","20200711532-00","일반","스마트콘텐츠 품질검증(QA지원) 및 컨설팅","재단법인 광주정보.문화산업진흥원","재단법인 광주정보.문화산업진흥원","일반(총액)협상에의한계약","2020/07/10 18:09(2020/07/21 10:00)"
"용역","20200711558-00","일반","2020년 현장안전진단팀 위탁교육","조달청 서울지방조달청","경찰청","수의(총액)","2020/07/10 18:05(2020/07/21 14:00)"
"용역","20200711799-00","일반","운암교 등 36개소 하반기 정기안전점검용역","광주광역시 종합건설본부","광주광역시 종합건설본부","제한경쟁","2020/07/10 18:05(2020/07/20 10:00)"
"용역","20200711772-00","긴급","수산 u-it융합모델화사업 - SW개발","김포수산","김포수산","제한(총액)협상에의한계약","2020/07/10 18:04(2020/07/22 14:00)"
"용역","20200709403-00","긴급","금옥여고 지정폐기물 처리용역","서울특별시교육청 서울특별시강서양천교육지원청","서울특별시교육청 서울특별시강서양천교육지원청","수의(총액)소액수의","2020/07/10 18:04(2020/07/15 10:00)"
"용역","20200632072-00","긴급","고용·노동 DW 및 공동이용시스템 구축 사업","조달청","한국고용정보원","일반(총액)협상에의한계약","2020/07/10 18:01(2020/08/11 10:00)"
