"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200714979-00","일반","마산도서관 공간 재배치 및 리모델링 전기(통신, 소방) 설계 용역","경상남도교육청","경상남도교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 23:48(2020/07/20 10:00)"
"용역","20200715328-00","일반","산성 안 도보여행 기반 확충 사업(제2주차장) 실시설계 용역","인천광역시 강화군","인천광역시 강화군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 23:18(2020/07/20 10:00)"
"용역","20200715318-00","일반","2020년 화성지사 열수송관 비파괴검사용역 단가계약","한국지역난방공사 화성서부지사","한국지역난방공사 화성서부지사","제한(단가)","2020/07/14 23:00(2020/07/24 14:00)"
"용역","20200715322-00","일반","화심마을 주차장 조성사업 폐기물처리용역","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 22:48(2020/07/20 10:00)"
"용역","20200714868-00","일반","낙동강학생교육원 환경개선공사 설계 용역","경상남도교육청","경상남도교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 22:47(2020/07/20 10:00)"
"용역","20200715316-00","일반","교산리 1446-13번지 인근 용수로 공사 폐기물 처리 용역","인천광역시 강화군","인천광역시 강화군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 22:47(2020/07/20 10:00)"
"용역","20200715320-00","일반","방림2동 공영주차장 도시계획시설 결정 및 실시설계 용역","광주광역시 남구","광주광역시 남구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 22:47(2020/07/20 10:00)"
"용역","20200715314-00","일반","월산5동 공영주차장 도시계획시설 결정 및 실시설계 용역","광주광역시 남구","광주광역시 남구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 22:36(2020/07/20 10:00)"
"용역","20200715303-00","일반","강화 해누리공원 조성사업 임목폐기물 처리 용역","인천광역시 강화군","인천광역시 강화군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 22:10(2020/07/20 10:00)"
"용역","20200715306-00","긴급","해외 한국자료실 지원 개선방안 연구 용역","문화체육관광부 국립중앙도서관","문화체육관광부 국립중앙도서관","제한(총액)협상에의한계약","2020/07/14 22:08(2020/08/03 10:00)"
"용역","20200715302-00","긴급","2020년 벼 병해충 항공방제 헬기임차 용역","경상북도 포항시 농업기술센터","경상북도 포항시 농업기술센터","일반(총액)","2020/07/14 21:56(2020/07/20 10:00)"
"용역","20200715304-00","일반","쌍백 외초마을 노후관로 교체공사 폐기물처리용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 21:54(2020/07/20 10:00)"
"용역","20200715294-01","변경","상주유아체험센터 스프링클러 설치 소방공사 감리용역","경상북도교육청 경상북도상주교육지원청","경상북도교육청 경상북도상주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 21:38(2020/07/22 10:00)"
"용역","20200715286-00","일반","백운1동 공영주차장 도시계획시설 결정 및 실시설계 용역","광주광역시 남구","광주광역시 남구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 21:19(2020/07/20 10:00)"
"용역","20200710552-02","취소","하청중 외 3교 지정폐기물처리용역 수의계약 안내 공고","경상남도교육청 경상남도거제교육지원청","경상남도교육청 경상남도거제교육지원청","수의(총액)소액수의","2020/07/14 20:45(2020/07/17 10:00)"
"용역","20200715258-00","일반","광덕중 보차도분리 개선공사 건설폐기물 처리용역","경기도교육청 경기도안산교육지원청","경기도교육청 경기도안산교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 20:40(2020/07/20 10:00)"
"용역","20200715267-00","긴급","국토교통 데이터 통합채널 구축 감리","국토교통부","국토교통부","일반(총액)협상에의한계약","2020/07/14 20:39(2020/07/28 10:00)"
"용역","20200715265-00","긴급","초록산문화공원 도시관리계획(시설, 공원조성계획) 결정 및 실시설계 용역","경기도 화성시 지역개발사업소","경기도 화성시 지역개발사업소","제한경쟁","2020/07/14 20:36(2020/07/21 10:00)"
"용역","20200715261-00","일반","2020년 하반기 학교시설 내 공기질 측정용역","경상북도교육청 경상북도상주교육지원청","경상북도교육청 경상북도상주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 20:31(2020/07/22 10:00)"
"용역","20200715247-00","일반","매화초 외부환경 개선공사 건설폐기물 처리용역","경기도교육청 경기도안산교육지원청","경기도교육청 경기도안산교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 20:29(2020/07/20 10:00)"
"용역","20200715243-00","일반","150마력 공기압축기와 관련 부가설비 교체 및 유지보수","한국항공우주연구원","한국항공우주연구원","제한(총액)규격가격동시","2020/07/14 20:09(2020/07/21 10:00)"
"용역","20200715235-00","일반","도마령 전망대 조성사업 기본 및 실시설계용역 입찰 안내 공고","충청북도 영동군","충청북도 영동군","제한경쟁","2020/07/14 20:01(2020/07/22 12:00)"
"용역","20200715224-00","일반","중소형 특화 경량형 스마트 IoT-BEMS 상용화 시작품 테스트","한국건설기술연구원","한국건설기술연구원","제한(총액)협상에의한계약","2020/07/14 19:50(2020/07/27 11:00)"
"용역","20200715219-00","긴급","라이브러리파크 전시 기록 및 정리 사업 진행 용역","아시아문화원","아시아문화원","제한(총액)","2020/07/14 19:47(2020/07/20 14:00)"
"용역","20200715204-00","일반","추풍령면 사부리 노후관교체공사 폐기물처리용역 소액수의 견적제출 안내 공고","충청북도 영동군","충청북도 영동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 19:40(2020/07/20 12:00)"
"용역","20200711911-00","일반","2020년 이러닝 농업교육 콘텐츠 제작 및 학습관리시스템(e-HRD) 고도화","조달청 전북지방조달청","농촌진흥청 농촌인적자원개발센터","제한(총액)협상에의한계약","2020/07/14 19:31(2020/07/28 10:00)"
"용역","20200715192-00","일반","e-IRB 시스템 기능개선 수의계약 견적서 제출 안내공고","(재)국가생명윤리정책원","(재)국가생명윤리정책원","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 19:30(2020/07/17 11:00)"
"용역","20200714904-00","일반","동산초 본관동 증개축공사 설계용역","조달청","전라남도교육청","수의(설계공모)","2020/07/14 19:29(-)"
"용역","20200715189-00","일반","전통주 오프라인 판로확대 용역(재공고)","한국농수산식품유통공사","한국농수산식품유통공사","제한(총액)협상에의한계약","2020/07/14 19:29(2020/07/27 10:00)"
"용역","20200715182-00","긴급","여주도자기 온라인 플랫폼 구축·운영 용역","재단법인여주세종문화재단","재단법인여주세종문화재단","제한(총액)협상에의한계약","2020/07/14 19:25(-)"
"용역","20200715177-00","일반","인천세원고등학교 고교학점제 학교환경 조성 전기(통신,소방포함)공사 설계용역","인천광역시교육청 인천광역시서부교육지원청","인천광역시교육청 인천광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 19:25(2020/07/20 10:00)"
"용역","20200715141-00","긴급","2020년 하반기 청소차량 자동차보험 가입","경상북도 포항시","경상북도 포항시","일반(총액)","2020/07/14 19:25(2020/07/20 10:00)"
"용역","20200715175-00","긴급","국립아시아문화전당 라이브러리파크 신규 아카이브 전시 콘텐츠 개발 용역 계약","아시아문화원","아시아문화원","제한(총액)","2020/07/14 19:23(2020/07/20 10:00)"
"용역","20200715149-00","일반","2020년 대형폐기물 민간위탁 처리 용역(단가계약)(3차)","전라남도 순천시","전라남도 순천시","제한(단가)","2020/07/14 19:23(2020/07/22 12:00)"
"용역","20200715113-00","일반","백석고등학교 고교학점제 학교환경 조성 전기공사(통신,소방포함) 설계용역","인천광역시교육청 인천광역시서부교육지원청","인천광역시교육청 인천광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 19:03(2020/07/20 10:00)"
"용역","20200715147-00","일반","고바우뮤지엄 추진을 위한 기증목록 전수 조사 용역(협상에 의한 계약)","경기도 군포시","경기도 군포시","제한(총액)협상에의한계약","2020/07/14 19:03(-)"
"용역","20200715127-01","변경","대호지 조금 하수처리시설 건설공사 외 2건 통합건설사업관리용역","충청남도 당진시","충청남도 당진시","지명경쟁","2020/07/14 19:02(2020/07/21 14:00)"
"용역","20200708198-01","변경","화성시 무상교통사업 전산시스템 구축 용역","경기도 화성시","경기도 화성시","일반(총액)협상에의한계약","2020/07/14 19:01(-)"
"용역","20200715133-00","일반","주택건설공사 감리자(건축) 모집[강릉 입암동 천년가아파트(신축공사)]","강원도 강릉시","강원도 강릉시","일반경쟁","2020/07/14 18:51(2020/07/23 11:00)"
"용역","20200715140-00","긴급","간곡마을 외 1개소 공공하수처리시설 설치사업 측량조사 용역","경상남도 거제시","경상남도 거제시","제한경쟁","2020/07/14 18:49(2020/07/22 10:00)"
"용역","20200715129-00","일반","부처연계협력사업 추진현황 조사분석 및 추진체계 고도화 방안","국방과학연구소","국방과학연구소","제한(총액)규격가격동시","2020/07/14 18:48(2020/07/29 10:00)"
"용역","20200715134-00","일반","2019년 동해시 대문어 산란서식장 조성사업 인공어초 설치해역 수로조사","한국수산자원공단동해본부","한국수산자원공단동해본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/14 18:47(2020/07/20 10:00)"
