"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200620008-00","일반","송평육교 건설폐기물 처리용역","경상남도 함양군","경상남도 함양군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/13 18:49(2020/06/19 12:00)"
"용역","20200620006-00","긴급","풍각중학교 각북분교 철거공사 폐기물처리용역","경상북도 청도군","경상북도 청도군","제한(총액)","2020/06/13 18:25(2020/06/19 10:00)"
"용역","20200620002-00","일반","한재지구 농촌농업생활용수개발사업 실시간 GIS DB구축 용역(1차구간)","경상북도 청도군","경상북도 청도군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/13 18:02(2020/06/18 10:00)"
"용역","20200619558-00","긴급","2020년 경륜·경정 직원 건전화교육 운영 용역","서울올림픽기념국민체육진흥공단 경륜경정총괄본부","서울올림픽기념국민체육진흥공단 경륜경정총괄본부","제한(총액)협상에의한계약","2020/06/13 17:28(2020/06/19 10:00)"
"용역","20200619948-00","일반","NC 다이노스 사진 콘텐츠 운영업체","(주)엔씨다이노스","(주)엔씨다이노스","일반(총액)","2020/06/13 15:05(2020/06/29 10:00)"
"용역","20200619935-00","일반","물순환 시설의 효율적 운영 및 유지관리 체계 구축","서울특별시","서울특별시","일반(총액)협상에의한계약","2020/06/13 13:42(2020/06/24 17:00)"
"용역","20200619756-00","긴급","아산시 생활자원처리장 정기점검에따른 생활폐기물 민간위탁처리용역","충청남도 아산시","충청남도 아산시","일반(총액)","2020/06/13 12:52(2020/06/19 12:00)"
"용역","20200604405-00","일반","취약계층의 디지털 교육격차 해소를 위한 2020 스마트스쿨 구축 운영 용역","사회복지법인 세이브더칠드런코리아","사회복지법인 세이브더칠드런코리아","제한(총액)협상에의한계약","2020/06/13 11:51(2020/07/22 11:00)"
"용역","2020LMP01032020-12185-01","일반","대보수17-22연대본부 물탱크 폐기물","제1968부대","제1968부대","수의(총액)","2020/06/13 09:00(2020/06/18 10:00)"
"용역","2020LMQ00352020-12189-01","일반","20-55) 토양오염 건설폐기물 처리용역","육군 제7297부대","제7297부대","수의(총액)","2020/06/13 09:00(2020/06/18 10:00)"
