"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200602010-00","긴급","인제군 상수도시설 내진성능 상세평가 용역","강원도 인제군지방상수도","강원도 인제군지방상수도","제한경쟁","2020/06/01 23:08(2020/06/08 10:00)"
"용역","20200602003-00","일반","인천광역시 농업기계 교육관 신축 실시설계 용역 견적제출 안내 공고","인천광역시 농업기술센터","인천광역시 농업기술센터","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/01 22:29(2020/06/05 17:00)"
"용역","20200601999-00","긴급","스마트시티 통합플랫폼 기반구축 사업(2차) [협상에의한계약]","울산광역시","울산광역시","제한(총액)협상에의한계약","2020/06/01 22:19(2020/06/12 16:00)"
"용역","20200601996-00","긴급","대양권역 창조적마을만들기사업 지역역량강화사업 용역","경상남도 합천군","경상남도 합천군","일반(총액)협상에의한계약","2020/06/01 22:08(-)"
"용역","20200600353-00","긴급","2020년도 공무원 단체보험 가입(재공고)","경상북도 군위군","경상북도 군위군","일반(총액)","2020/06/01 22:00(2020/06/08 14:00)"
"용역","20200601979-00","긴급","한국교원대학교 홍보 동영상 제작 용역","한국교원대학교","한국교원대학교","제한(총액)협상에의한계약","2020/06/01 21:49(2020/06/12 14:00)"
"용역","20200601980-00","일반","고성군 공영주차장 조성사업 건설폐기물처리용역","경상남도 고성군","경상남도 고성군","제한(총액)","2020/06/01 21:48(2020/06/08 10:00)"
"용역","20200601969-00","일반","안계면 도시재생 뉴딜사업(공공임대주택)철거공사 폐기물 처리용역(긴급)","경상북도 의성군","경상북도 의성군","제한(총액)","2020/06/01 21:35(2020/06/08 10:00)"
"용역","20200601968-00","긴급","2020 연명의료결정제도 대국민 홍보영상 송출","(재)국가생명윤리정책원","(재)국가생명윤리정책원","제한(총액)협상에의한계약","2020/06/01 21:35(2020/06/12 11:00)"
"용역","20200601418-00","일반","환경순환형 가축분뇨공공처리시설 설치사업 건설사업관리용역(총괄및1차,가격입찰)","경상북도 군위군","경상북도 군위군","제한경쟁","2020/06/01 21:34(2020/06/10 14:00)"
"용역","20200601965-00","일반","해운대교육지원청 시설개선공사 건설폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/01 21:30(2020/06/05 10:00)"
"용역","20200601955-00","일반","금성(대리~명덕간)면도101호 도로확포장공사 폐기물 처리용역(긴급)","경상북도 의성군","경상북도 의성군","제한(총액)","2020/06/01 21:26(2020/06/08 10:00)"
