"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200640052-00","긴급","2020년 소규모 하수처리시설 용량초과 유입하수 이송용역","강원도 삼척시 하수도사업소","강원도 삼척시 하수도사업소","일반(총액)","2020/06/29 23:45(2020/07/06 10:00)"
"용역","20200638737-00","일반","영오초외 1교(상리초) 석면폐기물 처리용역 수의견적 제출 공고","경상남도교육청 경상남도고성교육지원청","경상남도교육청 경상남도고성교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 22:49(2020/07/03 14:00)"
"용역","20200639556-00","일반","2020년 국회정보통신기반시설 정보보호컨설팅 사업","조달청 서울지방조달청","국회 국회사무처","제한(총액)협상에의한계약","2020/06/29 22:31(2020/07/10 10:00)"
"용역","20200640041-00","긴급","2020학년도 특수교육 방과후 운동발달(그룹) 프로그램 위탁용역","충청남도교육청 충청남도서산교육지원청","충청남도교육청 충청남도서산교육지원청","제한(총액)규격가격동시","2020/06/29 22:14(2020/07/09 15:00)"
"용역","20200640040-00","일반","생활관 통합관리시스템 구축 사업","한국과학기술원","한국과학기술원","제한(총액)협상에의한계약","2020/06/29 22:12(-)"
"용역","20200640039-00","긴급","2020학년도 특수교육 방과후 운동발달(개별) 프로그램 위탁용역","충청남도교육청 충청남도서산교육지원청","충청남도교육청 충청남도서산교육지원청","제한(총액)규격가격동시","2020/06/29 22:08(2020/07/09 15:00)"
"용역","20200640036-00","일반","통합기준점 이전측량 용역(통합기준점U0009)","국토교통부 국토지리정보원","국토교통부 국토지리정보원","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 22:07(2020/07/03 10:00)"
"용역","20200640034-00","일반","통합기준점 이전측량 용역(수준점15-01-01-02)","국토교통부 국토지리정보원","국토교통부 국토지리정보원","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 22:06(2020/07/03 10:00)"
"용역","20200640031-00","긴급","정밀도로지도 제작을 위한 MMS측량 품질검증 용역(수도강원권역)","국토교통부 국토지리정보원","국토교통부 국토지리정보원","일반(총액)협상에의한계약","2020/06/29 22:04(2020/07/14 10:00)"
"용역","20200640029-00","일반","2020년 귀농귀촌 길잡이교육 용역","전라남도 순천시","전라남도 순천시","제한(총액)","2020/06/29 21:34(2020/07/03 12:00)"
"용역","20200640011-00","일반","경기게임마이스터고 기숙사 증축 소방공사 감리용역 소액수의 견적서 제출 안내 공고","경기도교육청 경기도안양과천교육지원청","경기도교육청 경기도안양과천교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 20:54(2020/07/03 10:00)"
"용역","20200639812-00","일반","2020년 RFID 물품 정기 재물조사 용역","전라남도","전라남도","수의(총액)소액수의","2020/06/29 20:46(2020/07/03 10:00)"
"용역","20200639836-00","일반","대한민국 테마여행 10선 평화역사이야기여행 권역 테마상품 운영","주식회사 에스에이치네스크","주식회사 에스에이치네스크","제한(총액)협상에의한계약","2020/06/29 20:40(-)"
"용역","20200639996-00","일반","사천 반다비 체육센터 건립사업 건축설계용역(공모)","충청북도 청주시","충청북도 청주시","일반경쟁","2020/06/29 20:38(-)"
"용역","20200639979-00","긴급","영주시 승격 제40주년 기념 영주시민 화합 한마당 행사 대행 용역","경상북도 영주시","경상북도 영주시","제한(총액)협상에의한계약","2020/06/29 20:17(2020/07/09 15:00)"
"용역","20200639984-00","긴급","신당·황학지역생활권 실행방안 수립 용역","서울특별시 중구","서울특별시 중구","일반(총액)협상에의한계약","2020/06/29 20:16(-)"
"용역","20200639969-00","일반","공공데이터 기반 건물 폴리곤 데이터 편집 도구 개발 및 데이터 컨버터 설계 용역","한국건설기술연구원","한국건설기술연구원","제한(총액)협상에의한계약","2020/06/29 20:05(2020/07/10 11:00)"
"용역","20200638651-00","일반","남문초 외 1교(부곡중) 화장실개량 및 기타 전기공사 설계용역","부산광역시교육청 부산광역시동래교육지원청","부산광역시교육청 부산광역시동래교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 20:04(2020/07/03 10:00)"
"용역","20200639964-00","일반","신재생에너지설비 유지관리용 웹기반 LCC 분석시스템 개발","한국건설기술연구원","한국건설기술연구원","제한(총액)협상에의한계약","2020/06/29 19:59(2020/07/10 11:00)"
"용역","20200638398-00","긴급","2020년 농업용 암반관정 지하수영향조사용역(연장허가)","경상북도 영주시","경상북도 영주시","제한경쟁","2020/06/29 19:57(2020/07/06 10:00)"
"용역","20200639956-00","일반","지역협력 및 글로벌 인프라 협력기술 발굴","한국건설기술연구원","한국건설기술연구원","제한(총액)협상에의한계약","2020/06/29 19:51(2020/07/10 11:00)"
"용역","20200638404-00","일반","영주시 가흥정수장 완속여과사 폐기물(폐여과사) 처리(재활용)용역","경상북도 영주시","경상북도 영주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:51(2020/07/03 10:00)"
"용역","20200639953-00","긴급","스마트도시 사업관리 및 콘텐츠 고도화","서울특별시 구로구","서울특별시 구로구","제한(총액)협상에의한계약","2020/06/29 19:49(-)"
"용역","20200638391-00","일반","해안쓰레기(폐합성수지) 처리 용역(1차) 수의견적 제출안내 공고","경상북도 포항시","경상북도 포항시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:45(2020/07/03 10:00)"
"용역","20200639945-00","일반","고온에 노출된 콘크리트의 잔존강도 평가방법 제안","한국건설기술연구원","한국건설기술연구원","제한(총액)협상에의한계약","2020/06/29 19:44(2020/07/10 11:00)"
"용역","20200639939-00","일반","사직초 본관 내진보강 건축 및 구조 설계용역 수의견적 제출 안내공고","충청북도교육청 충청북도청주교육지원청","충청북도교육청 충청북도청주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:39(2020/07/03 10:00)"
"용역","20200639943-00","일반","옥산초등학교 외 2교 외벽개선 및 기타공사 설계용역","경상북도교육청 경상북도상주교육지원청","경상북도교육청 경상북도상주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:39(2020/07/06 10:00)"
"용역","20200639936-00","일반","국토안전관리원 설립준비를 위한 제규정 정비용역","한국시설안전공단","한국시설안전공단","일반(총액)협상에의한계약","2020/06/29 19:36(2020/07/10 17:00)"
"용역","20200639675-00","긴급","과천시 수도정비기본계획 수립 및 상수도관망 기술진단 용역","경기도 과천시","경기도 과천시","지명경쟁","2020/06/29 19:34(2020/07/06 10:00)"
"용역","20200639935-00","일반","여름철 재난대비 준설차량 임차용역 단가계약 2차(2권역)","경기도 남양주시","경기도 남양주시","수의(단가)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:33(2020/07/03 10:00)"
"용역","20200630667-00","긴급","2020년 제2차 범정부 정보자원 통합구축사업 HW1","조달청","행정안전부 국가정보자원관리원","일반(총액)협상에의한계약","2020/06/29 19:31(2020/07/30 10:00)"
"용역","20200639931-00","일반","상주동부초등학교 외 1교(낙운중) 창문개체 및 기타공사 설계용역","경상북도교육청 경상북도상주교육지원청","경상북도교육청 경상북도상주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:30(2020/07/06 10:00)"
"용역","20200639926-00","일반","2020년 제주 채종원 풀베기사업","산림청 국립산림품종관리센터","산림청 국립산림품종관리센터","제한(총액)","2020/06/29 19:30(2020/07/06 10:00)"
"용역","20200639925-00","일반","여름철 재난대비 준설차량 임차용역 단가계약 2차(1권역)","경기도 남양주시","경기도 남양주시","수의(단가)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:28(2020/07/03 10:00)"
"용역","20200639919-00","일반","2020년 1년차 조림지풀베기사업 감리용역(시설 분)","충청남도 청양군","충청남도 청양군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:26(2020/07/02 10:00)"
"용역","20200639921-00","일반","함창초등학교 외 1교 창문개체 및 기타공사 설계용역","경상북도교육청 경상북도상주교육지원청","경상북도교육청 경상북도상주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:24(2020/07/06 10:00)"
"용역","20200638613-00","일반","시내버스 노선체계 전면개편용역","경상북도 안동시","경상북도 안동시","일반(총액)협상에의한계약","2020/06/29 19:22(-)"
"용역","20200639916-00","일반","2020년 부산산업과학혁신원 임직원 단체보험 전자공개 수의계약","재단법인 부산산업과학혁신원","재단법인 부산산업과학혁신원","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:21(2020/07/03 17:00)"
"용역","20200637815-00","일반","열린국회포털 개선사업 등에 대한 통합 감리 용역 사업","조달청 서울지방조달청","국회 국회사무처","제한(총액)협상에의한계약","2020/06/29 19:16(2020/07/14 10:00)"
"용역","20200638614-00","일반","중구동 한옥마을 복합문화공간조성 기획 및 실시설계용역","경상북도 안동시","경상북도 안동시","제한경쟁","2020/06/29 19:15(2020/07/07 12:00)"
"용역","20200639902-00","일반","2020년 충주 채종원 2차 풀베기사업","산림청 국립산림품종관리센터","산림청 국립산림품종관리센터","제한(총액)","2020/06/29 19:15(2020/07/06 10:00)"
"용역","20200639904-00","일반","현암도서관 시설물 보강 및 리모델링사업 감리용역","전라남도 여수시","전라남도 여수시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/29 19:12(2020/07/03 12:00)"
"용역","20200639900-00","일반","사업수행능력평가서 제출안내 공고(청학 문화공원 도시·군관리계획결정 및 실시설계 용역)","경기도 남양주시","경기도 남양주시","일반경쟁","2020/06/29 19:10(-)"
"용역","20200639890-00","일반","2020년 충주채종원 1차 풀베기사업","산림청 국립산림품종관리센터","산림청 국립산림품종관리센터","제한(총액)","2020/06/29 19:04(2020/07/06 10:00)"
"용역","20200639882-00","일반","2020년 실험실습실 등 교내시설물 석면 해체공사 폐기물처리용역(연간단가) 소액수의 견적 공고","서울과학기술대학교","서울과학기술대학교","수의(총액)소액수의","2020/06/29 19:03(2020/07/03 10:00)"
"용역","20200639827-01","취소","청학 문화공원 도시·군관리계획결정 및 실시설계 용역","경기도 남양주시","경기도 남양주시","일반경쟁","2020/06/29 19:02(-)"
"용역","20200639888-00","긴급","사회복지시설 종사자 처우 실태조사 및 개선방안 연구용역","대구광역시","대구광역시","제한(총액)협상에의한계약","2020/06/29 19:01(2020/07/14 17:00)"
"용역","20200639883-00","일반","천장사 전통사찰 상수도 공급공사 건설폐기물 처리용역","충청남도 서산시","충청남도 서산시","수의(총액)소액수의","2020/06/29 18:58(2020/07/03 10:00)"
"용역","20200639876-00","긴급","2020년 스마트 주차정보시스템 구축사업 용역(긴급, 협상에의한계약)","울산광역시","울산광역시","제한(총액)협상에의한계약","2020/06/29 18:56(2020/07/10 10:00)"
