"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200641345-00","긴급","창동 아트밸리 눈꽃축제 및 가을축제[긴급공고]","창동통합상가 문화관광형시장 육성사업단","창동통합상가 문화관광형시장 육성사업단","일반(총액)협상에의한계약","2020/06/30 21:49(-)"
"용역","20200638959-00","일반","정비이행절차 상호항공안전협정(BASA-MIP) 정식신청 지원 기술컨설팅","조달청 인천지방조달청","항공안전기술원","일반(총액)협상에의한계약","2020/06/30 21:28(2020/08/13 10:00)"
"용역","20200641341-00","일반","당인동 부군당 무신도 보존처리 및 영인본 제작용역","서울특별시 마포구","서울특별시 마포구","제한(총액)협상에의한계약","2020/06/30 21:27(-)"
"용역","20200634003-01","취소","창동 아트밸리 눈꽃축제 및 가을축제","창동통합상가 문화관광형시장 육성사업단","창동통합상가 문화관광형시장 육성사업단","일반(총액)협상에의한계약","2020/06/30 21:21(-)"
"용역","20200641337-00","일반","수성동 구미마을 벽화 정비사업 용역(협상에의한계약)","전라북도 정읍시","전라북도 정읍시","일반(총액)협상에의한계약","2020/06/30 21:17(2020/07/20 14:00)"
"용역","20200641335-00","일반","함께사는 수유1동 마을사랑방 신축공사 설계공모","서울특별시 강북구","서울특별시 강북구","제한경쟁","2020/06/30 21:15(-)"
"용역","20200640704-00","일반","금광중 전기용량 증설 전기공사 감리용역","경기도교육청 경기도성남교육지원청","경기도교육청 경기도성남교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:42(2020/07/06 10:00)"
"용역","20200641329-00","일반","부산여자고등학교 등 4교(다대고,동신초,신평초) 보차도정비공사 건설폐기물처리용역","부산광역시교육청 부산광역시서부교육지원청","부산광역시교육청 부산광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:42(2020/07/06 10:00)"
"용역","20200641322-00","일반","백령면 잔대천 정비공사 실시설계용역","인천광역시 옹진군","인천광역시 옹진군","제한경쟁","2020/06/30 20:34(2020/07/06 10:00)"
"용역","20200641325-00","일반","북서울꿈의숲 전시기획(콘텐츠) 및 인테리어 실시설계용역","서울특별시","서울특별시 중부공원녹지사업소","제한(총액)협상에의한계약","2020/06/30 20:32(2020/07/16 16:00)"
"용역","20200641297-00","긴급","권선동 유류오염부지 토양 및 지하수 정화 실시설계용역","경기도 수원시","경기도 수원시","제한경쟁","2020/06/30 20:32(2020/07/07 10:00)"
"용역","20200641327-00","일반","토성초등학교 병설유치원 시설확충 및 기타공사 건설폐기물처리용역","부산광역시교육청 부산광역시서부교육지원청","부산광역시교육청 부산광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:32(2020/07/06 10:00)"
"용역","20200641324-00","일반","국방과학연구소 50주년 기념영상 및 축하메시지 영상 제작","국방과학연구소","국방과학연구소","수의(총액)소액수의","2020/06/30 20:32(2020/07/06 10:00)"
"용역","20200641326-00","일반","전기노면청소차 임차용역","서울특별시 금천구","서울특별시 금천구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:31(2020/07/06 10:00)"
"용역","20200639533-00","일반","대전광역시서부교육지원청 학교 건축물 석면조사 용역","대전광역시교육청 대전광역시서부교육지원청","대전광역시교육청 대전광역시서부교육지원청","제한경쟁","2020/06/30 20:30(2020/07/08 10:00)"
"용역","20200641316-00","긴급","수원형 시내버스 준공영제 실행방안 수립 연구용역","경기도 수원시","경기도 수원시","일반(총액)협상에의한계약","2020/06/30 20:30(-)"
"용역","20200641321-00","일반","장평중학교 등 2교(부산남고) 건설폐기물처리용역","부산광역시교육청 부산광역시서부교육지원청","부산광역시교육청 부산광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:27(2020/07/06 10:00)"
"용역","202006-023-00","일반","[재공고] SR 유튜브 영상제작 및 운영 용역","주식회사 에스알","주식회사 에스알"," ","2020/06/30 20:27(2020/07/13 15:00)"
"용역","20200641315-00","일반","토성초등학교 병설유치원 시설확충 및 기타 건축공사 감리용역","부산광역시교육청 부산광역시서부교육지원청","부산광역시교육청 부산광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:21(2020/07/06 10:00)"
"용역","20200641313-00","일반","장평중학교 등 2교(부산남고) 화장실개량 및 기타공사 감리용역","부산광역시교육청 부산광역시서부교육지원청","부산광역시교육청 부산광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:16(2020/07/06 10:00)"
"용역","20200641310-00","일반","부산기후변화체험교육관 전시물 설계 및 제작·설치 용역","부산광역시 북구","부산광역시 북구","제한(총액)협상에의한계약","2020/06/30 20:12(-)"
"용역","20200641307-00","일반","부산영상예술고 급식실현대화 및 기타 건축공사 감리용역","부산광역시교육청 부산광역시서부교육지원청","부산광역시교육청 부산광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 20:10(2020/07/06 10:00)"
"용역","20200641306-00","긴급","완도군 다목적실내체육관 건립 감독권한대행 등 건설사업관리용역(지명경쟁)","전라남도 완도군","전라남도 완도군","지명경쟁","2020/06/30 20:07(2020/07/07 10:00)"
"용역","20200641265-00","일반","학교시설 내진보강 관리사업(2단계)(종합계약)","서울특별시교육청","서울특별시교육청","일반(총액)협상에의한계약","2020/06/30 19:57(2020/07/21 11:00)"
"용역","20200641290-00","긴급","2020년 시내버스 교통량 조사 및 대중교통제도개선 용역(긴급)","전라북도 정읍시","전라북도 정읍시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 19:55(2020/07/06 14:00)"
"용역","20200641283-00","일반","2020 시민참여예산 한마당 총회 개최 대행 용역","서울특별시","서울특별시","제한(총액)협상에의한계약","2020/06/30 19:44(2020/07/13 17:00)"
"용역","20200641274-00","일반","장성 필암서원(경장각, 확연루) 국가지정문화재 지정을 위한 연구 용역(소액수의)","전라남도 장성군","전라남도 장성군","수의(총액)소액수의","2020/06/30 19:40(2020/07/06 10:00)"
"용역","20200639454-01","취소","[동작관악](긴급)난우초외 20교 LED렌탈 용역","서울특별시교육청 서울특별시동작관악교육지원청","서울특별시교육청 서울특별시동작관악교육지원청","일반(총액)규격가격동시","2020/06/30 19:38(2020/07/10 17:00)"
"용역","20200641260-00","일반","신규 자동차전용도로 및 시설물 인수에 따른 조직 인력 적정성 검토 용역","서울시설공단","서울시설공단","수의(총액)소액수의","2020/06/30 19:20(2020/07/06 12:00)"
"용역","20200641261-00","일반","2020. 재난대비훈련용 가상 재난환경 개발용역","서울특별시","서울특별시 소방재난본부","제한(총액)","2020/06/30 19:18(2020/07/08 14:00)"
"용역","20200641258-00","일반","서울 특성화고등학교 미래농업 관련 학과 신설 및 학교 신설 방안 연구","서울특별시교육청","서울특별시교육청","제한(총액)협상에의한계약","2020/06/30 19:14(2020/07/13 11:00)"
"용역","20200641255-00","일반","언주로 내곡방향 내곡IC전 우측 비탈면 외 21개소 정밀안전점검 용역","서울시설공단","서울시설공단","일반경쟁","2020/06/30 19:08(2020/07/27 14:00)"
"용역","20200641257-00","긴급","일학습병행 공동훈련센터 전담자 업무가이드(E-book) 제작 용역","한국기술교육대학교산학협력단","한국기술교육대학교산학협력단","제한(총액)협상에의한계약","2020/06/30 19:07(2020/07/10 10:00)"
"용역","20200641250-00","긴급","국립태권도박물관 태권도 지식자원 1차 아카이빙 사업","태권도진흥재단","태권도진흥재단","제한(총액)협상에의한계약","2020/06/30 19:02(2020/07/13 10:00)"
"용역","20200640625-00","일반","주요정보통신 기반시설 취약점 분석,평가 컨설팅사업_중앙조달","조달청 부산지방조달청","근로복지공단본부","수의(총액)","2020/06/30 19:00(2020/07/02 12:00)"
"용역","20200641246-00","일반","왕곡귀엽.남평상남 마을만들기(자율개발)사업 실시설계 용역","전라남도 나주시 농업기술센터","전라남도 나주시 농업기술센터","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 18:59(2020/07/06 10:00)"
"용역","20200640577-00","일반","업무재설계 및 ERP고도화 용역","조달청 부산지방조달청","울산항만공사","수의(총액)","2020/06/30 18:58(2020/07/02 12:00)"
"용역","20200641248-00","일반","상급종합병원 심층진찰 수가 시범사업 효과 분석 연구용역","건강보험심사평가원","건강보험심사평가원","제한(총액)규격가격동시","2020/06/30 18:55(2020/07/08 14:00)"
"용역","20200641241-00","일반","서산의료원 사업장 일반폐기물(폐섬유-기저귀) 위탁처리용역 소액수의 견적제출 안내공고","충청남도 서산의료원","충청남도 서산의료원","제한(총액)","2020/06/30 18:53(2020/07/06 10:00)"
"용역","20200641242-00","긴급","2020년 시가지 미세먼지저감 노면청소용역 소액수의 견적서 제출 공고","강원도 정선군","강원도 정선군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 18:42(2020/07/06 10:00)"
"용역","20200641224-00","일반","북동소하천 하천재해위험지구 정비사업 폐기물처리용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 18:40(2020/07/07 10:00)"
"용역","20200641186-00","긴급","전자계약 시스템 구축","한국공항공사","한국공항공사","제한(총액)협상에의한계약","2020/06/30 18:39(2020/07/16 10:00)"
"용역","20200641234-00","일반","사업수행능력평가서 제출안내 - 울산 도시바람길숲 조성 기본 및 실시설계용역","울산광역시","울산광역시","일반경쟁","2020/06/30 18:33(-)"
"용역","20200641223-00","긴급","2020년 조림지가꾸기(1차) 감리 용역","전라북도 군산시","전라북도 군산시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/30 18:26(2020/07/03 12:00)"
"용역","20200641001-00","일반","새만금 기본계획 재정비 용역(기술부문)","조달청","새만금개발청","일반경쟁(용역,PQ)","2020/06/30 18:25(2020/07/22 10:00)"
"용역","20200641221-00","긴급","외달도 섬숲 생태복원사업 타당성평가 및 실시설계 용역(긴급)","전라남도 목포시","전라남도 목포시","제한경쟁","2020/06/30 18:25(2020/07/06 10:00)"
"용역","20200630567-00","긴급","도서관 운영평가 시스템 개선 사업","조달청","문화체육관광부","제한(총액)협상에의한계약","2020/06/30 18:25(2020/07/28 10:00)"
"용역","20200641225-00","긴급","선박모니터링시스템(VMS) 유지보수 용역","한국해양교통안전공단","한국해양교통안전공단","제한(총액)협상에의한계약","2020/06/30 18:25(-)"
"용역","20200641215-00","일반","서산의료원 연구용역 수행을 위한 클론성 조혈증 외부수탁검사 용역 소액수의 견적제출 안내공고","충청남도 서산의료원","충청남도 서산의료원","일반(총액)","2020/06/30 18:23(2020/07/06 10:00)"
