"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200615749-01","변경","동창천 재해위험지역정비사업 환경영향평가용역 수행능력평가서 제출안내공고","경상북도 청도군","경상북도 청도군","일반경쟁","2020/06/12 22:36(-)"
"용역","20200619856-00","일반","재송초등학교 등 2교(강동초) 식당시설확충 및 기타공사 감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액수의","2020/06/12 21:43(2020/06/18 10:00)"
"용역","20200619853-00","일반","좌천초등학교 등 2교(반석초) 석면해체제거 및 기타공사 감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액수의","2020/06/12 21:39(2020/06/18 10:00)"
"용역","20200619850-00","일반","반송여자중학교 외벽마감재교체 및 기타 건설폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/12 21:36(2020/06/18 10:00)"
"용역","20200619849-00","일반","반송초등학교 화장실개량 및 기타공사 건설폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/12 21:30(2020/06/18 10:00)"
"용역","20200619844-00","긴급","국도39호선 추계교 노후교량 개축공사 소규모환경영향평가용역","국토교통부 대전지방국토관리청 논산국토관리사무소","국토교통부 대전지방국토관리청 논산국토관리사무소","제한경쟁","2020/06/12 21:20(2020/06/18 10:00)"
"용역","20200619831-00","긴급","국도35호선 금소2통로암거 등 8개소 정비공사 건설폐기물처리용역","국토교통부 부산지방국토관리청 영주국토관리사무소","국토교통부 부산지방국토관리청 영주국토관리사무소","제한(총액)","2020/06/12 20:51(2020/06/18 14:00)"
"용역","20200619821-01","취소","국도35호선 금소2통로암거 등 8개소 정비공사 건설폐기물처리용역","국토교통부 부산지방국토관리청 영주국토관리사무소","국토교통부 부산지방국토관리청 영주국토관리사무소","제한(총액)","2020/06/12 20:44(2020/06/18 14:00)"
"용역","20200619826-00","긴급","국도3호선 이화령터널(상) 등 33개소 보수공사 실시설계용역","국토교통부 부산지방국토관리청 영주국토관리사무소","국토교통부 부산지방국토관리청 영주국토관리사무소","제한경쟁","2020/06/12 20:42(2020/06/18 14:00)"
"용역","20200619698-02","변경","빅데이터 기반 창원 경제분석 모니터링 시스템 구축 용역(재공고)","경상남도 창원시","경상남도 창원시","제한(총액)협상에의한계약","2020/06/12 20:22(-)"
"용역","20200619359-00","일반","2020년 판결서 등 비실명화 사업에 대한 감리 용역","조달청 서울지방조달청","대법원","제한(총액)협상에의한계약","2020/06/12 20:10(2020/06/24 10:00)"
"용역","20200616839-02","변경","주택건설공사 감리자(전기) 모집공고(신암4동 뉴타운 재건축)","대구광역시 동구","대구광역시 동구","일반경쟁","2020/06/12 19:58(2020/06/23 10:00)"
"용역","20200619793-00","긴급","양채천 등 친수공간 조성을 위한 기본계획 수립용역","경기도 과천시","경기도 과천시","제한경쟁","2020/06/12 19:53(2020/06/22 10:00)"
"용역","20200619794-00","긴급","순환형매립장 조성공사 기본 및 실시설계용역","전라북도 순창군","전라북도 순창군","제한경쟁","2020/06/12 19:50(2020/06/18 10:00)"
"용역","20200618551-00","일반","과천동(양지마을) 노후 상수도관 교체공사 폐기물 처리 용역","경기도 과천시","경기도 과천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/12 19:34(2020/06/19 10:00)"
"용역","20200619773-00","일반","고교 홍보사이트(하이인포) 기능 개선","서울특별시교육청","서울특별시교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/12 19:19(2020/06/17 10:00)"
"용역","20200619776-00","긴급","제천 제3산업단지 공업용수도 관경 확장공사 폐기물처리용역","충청북도 제천시","충청북도 제천시","제한(총액)","2020/06/12 19:17(2020/06/18 10:00)"
"용역","20200619761-00","일반","한빛관 철거 및 부지정리 공사 폐기물처리용역","충청북도 제천시","충청북도 제천시","제한(총액)","2020/06/12 19:06(2020/06/18 10:00)"
"용역","20200619758-00","긴급","용전졸음쉼터 운영관리 및 환경정비용역","국토교통부 부산지방국토관리청 진영국토관리사무소","국토교통부 부산지방국토관리청 진영국토관리사무소","제한(총액)","2020/06/12 19:05(2020/06/17 12:00)"
"용역","20200619754-00","일반","영창(2-35호선)도시계획도로 개설사업 건설폐기물처리 용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/12 18:59(2020/06/18 10:00)"
"용역","20200619748-00","일반","엔지니어링SW 클라우드 데이터 수집 및 분석 용역","한국생산기술연구원","한국생산기술연구원","제한(총액)협상에의한계약","2020/06/12 18:55(2020/06/23 12:00)"
