"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200609910-00","긴급","2020년 추석 농수특산물 서울장터","서울특별시","서울특별시","제한(총액)협상에의한계약","2020/06/07 23:29(2020/06/19 17:00)"
"용역","20200609894-00","긴급","연천 하우배수지 증설외 6개사업 통합건설사업관리용역 가격입찰 공고","경기도 연천군 맑은물관리사업소","경기도 연천군 맑은물관리사업소","일반경쟁","2020/06/07 20:17(2020/06/12 10:00)"
"용역","20200607995-00","긴급","국립고궁박물관 고궁 배움터 어린이 체험 영상 제작","문화재청 국립고궁박물관","문화재청 국립고궁박물관","제한(총액)협상에의한계약","2020/06/07 19:15(2020/06/18 11:00)"
"용역","20200608491-00","일반","분당영덕여자고등학교 교사동 내진성능평가용역 입찰공고","경기도교육청 분당영덕여자고등학교","경기도교육청 분당영덕여자고등학교","제한경쟁","2020/06/07 16:17(2020/06/16 10:00)"
"용역","20200608929-00","일반","한중일 이스포츠 대회 운영대행용역","(사)한국이스포츠협회","(사)한국이스포츠협회","제한(총액)협상에의한계약","2020/06/07 14:02(2020/06/26 17:00)"
"용역","20200609811-00","일반","죽변고등학교 외 1교 냉난방시설개선 기계설비 설계용역 소액수의 견적제출 공고","경상북도교육청 경상북도포항교육지원청","경상북도교육청 경상북도포항교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/07 12:56(2020/06/12 10:00)"
"용역","20200609805-00","일반","경상북도포항교육지원청 복합센터 증축 기계설비공사 설계용역 소액수의 견적제출 공고","경상북도교육청 경상북도포항교육지원청","경상북도교육청 경상북도포항교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/07 12:45(2020/06/12 10:00)"
"용역","20200609797-00","일반","경상북도포항교육지원청 복합센터 증축공사 설계용역 입찰 공고","경상북도교육청 경상북도포항교육지원청","경상북도교육청 경상북도포항교육지원청","제한경쟁","2020/06/07 12:24(2020/06/16 10:00)"
"용역","20200609789-00","일반","포항중학교 외벽개선 및 기타공사 설계용역 입찰 공고","경상북도교육청 경상북도포항교육지원청","경상북도교육청 경상북도포항교육지원청","제한경쟁","2020/06/07 12:14(2020/06/16 10:00)"
"용역","20200609755-00","긴급","제4회 영일대 샌드페스티벌 행사대행 용역(협상에 의한 계약)","경상북도 포항시","경상북도 포항시","제한(총액)협상에의한계약","2020/06/07 10:34(-)"
"용역","20200609748-00","일반","송산리고분군 일대 GPR탐사를 통한 고분 분포양상 분석 학술연구용역(2차)","(재)충청남도역사문화연구원","(재)충청남도역사문화연구원","일반(총액)협상에의한계약","2020/06/07 09:55(-)"
"용역","20200609742-00","긴급","2020년도 폭염대비 살수차 임차 용역","대구광역시 서구","대구광역시 서구","제한(총액)","2020/06/07 09:22(2020/06/12 12:00)"
"용역","2020LNF001123802-01","일반","00대대 조경관리용역","육군 제1570부대","제1570부대","수의(총액)","2020/06/07 09:00(2020/06/11 10:00)"
"용역","20200609734-01","변경","전라남도 공동물류 체계 구축운영사업 화물운송 용역","농협경제지주(주) 전남지역본부","농협경제지주(주) 전남지역본부","일반(단가)협상에의한계약","2020/06/07 01:24(2020/06/29 17:00)"
