"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200620088-00","긴급","전라남도 청정어장재생 기초조사 용역","한국어촌어항공단","한국어촌어항공단","일반(총액)협상에의한계약","2020/06/14 14:40(2020/06/25 10:00)"
"용역","20200620056-00","일반","통합정보시스템 (하드웨어 외) 유지보수 용역","동명대학교","동명대학교","제한(총액)협상에의한계약","2020/06/14 11:29(-)"
"용역","2020LPK001425085-01","일반","신영) 유휴시설 지정폐기물(석면) 감리","제3070부대","제8기계화보병사단","수의(총액)","2020/06/14 09:00(2020/06/18 10:00)"
"용역","2020LPK001525086-01","긴급","20년 제초 용역(R)","제3070부대","제8기계화보병사단","제한(총액)","2020/06/14 09:00(2020/06/22 10:00)"
"용역","2020LMQ00362020-12190-01","긴급","20-56) 3개소 토양오염 정화 검증용역","육군 제7297부대","제7297부대","제한(총액)","2020/06/14 09:00(2020/06/22 10:30)"
