"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200611911-00","긴급","차세대교육통합정보시스템구축 감리용역 재입찰공고(긴급)","한서대학교","한서대학교","일반(총액)협상에의한계약","2020/06/08 23:25(-)"
"용역","20200611908-00","긴급","봉두지구 자연재해 위험지구 개선사업 폐기물처리용역 (총괄)","경상남도 산청군","경상남도 산청군","제한(총액)","2020/06/08 23:17(2020/06/15 10:00)"
"용역","20200611907-00","일반","2020년 정밀안전진단 콘크리트 재료시험 용역","한국농어촌공사 안전진단사업단","한국농어촌공사 안전진단사업단","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 23:14(2020/06/12 10:00)"
"용역","20200611904-00","일반","2020년 2차 숲가꾸기사업(합천읍지구)","경상남도 합천군 농업기술센터","경상남도 합천군 농업기술센터","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 23:08(2020/06/12 10:00)"
"용역","20200611890-00","긴급","함양군 광역마을상수도(유림지구) 설치사업(2단계) 폐기물처리용역(입찰대행)-긴급","경상남도 함양군","경상남도 함양군","제한(총액)","2020/06/08 22:19(2020/06/15 12:00)"
"용역","20200611887-00","긴급","2020년 남계서원 보수정비사업(양계장 정비 등) 폐기물처리 용역(긴급)","경상남도 함양군","경상남도 함양군","제한(총액)","2020/06/08 22:11(2020/06/15 12:00)"
"용역","20200611884-00","일반","2020 미술주간 홍보물 제작 용역","(재)예술경영지원센터","(재)예술경영지원센터","제한(총액)규격가격동시","2020/06/08 22:06(2020/06/16 14:00)"
"용역","20200611855-00","일반","영운국민체육센터 건립사업 철거공사 폐기물처리용역","충청북도 청주시","충청북도 청주시","제한(총액)","2020/06/08 21:31(2020/06/16 10:00)"
"용역","20200611861-00","일반","여주 공공하수처리시설 등 3개소(건축물) 내진성능평가용역","경기도 여주시","경기도 여주시","제한경쟁","2020/06/08 21:28(2020/06/16 10:00)"
"용역","20200611852-00","일반","김천로 간판개선사업 간판디자인 실시설계 및 제작·설치","경상북도 김천시","경상북도 김천시","일반(총액)협상에의한계약","2020/06/08 21:18(-)"
"용역","20200611850-00","일반","대신 공공하수처리시설 등 9개소 내진성능평가용역","경기도 여주시","경기도 여주시","제한경쟁","2020/06/08 21:18(2020/06/16 10:00)"
"용역","20200611845-00","일반","배시내 간판개선사업 간판디자인 실시설계 및 제작·설치","경상북도 김천시","경상북도 김천시","일반(총액)협상에의한계약","2020/06/08 21:09(-)"
"용역","20200611835-00","일반","2020부산비엔날레 개막식 행사 용역 업체 선정","사단법인 부산비엔날레조직위원회","사단법인 부산비엔날레조직위원회","제한(총액)협상에의한계약","2020/06/08 21:00(-)"
"용역","20200611821-00","일반","2020부산비엔날레 홍보대행 용역 업체 선정","사단법인 부산비엔날레조직위원회","사단법인 부산비엔날레조직위원회","제한(총액)협상에의한계약","2020/06/08 20:51(-)"
"용역","20200611808-00","일반","청주시 가족센터 건립사업 건설폐기물 처리용역","충청북도 청주시","충청북도 청주시","제한(총액)","2020/06/08 20:51(2020/06/16 10:00)"
"용역","20200611818-00","긴급","인제C지구 도시생활환경개선사업(남정동 136-25번지 외) 가연성폐기물처리 용역","전라남도 순천시","전라남도 순천시","제한(총액)","2020/06/08 20:51(2020/06/15 12:00)"
"용역","20200611796-00","긴급","인제C지구 도시생활환경 개선사업(남정동 136-25번지 외) 폐기물처리 용역","전라남도 순천시","전라남도 순천시","제한(총액)","2020/06/08 20:36(2020/06/15 12:00)"
"용역","20200611789-00","일반","[설계공모 안내]하망동 공공도서관 및 주차장건립","경상북도 영주시","경상북도 영주시","수의계약","2020/06/08 20:34(-)"
"용역","20200611342-00","긴급","2020년 교(원)장 자격연수자 모아우아교육 소통과정 원격 영상 콘텐츠 개발","교육부 중앙교육연수원","교육부 중앙교육연수원","제한(총액)협상에의한계약","2020/06/08 20:33(2020/06/19 10:00)"
"용역","20200611787-00","긴급","병점복합타운 도시개발사업 시설물 점검 건설사업관리용역(시공후단계)","경기도 화성시 지역개발사업소","경기도 화성시 지역개발사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 20:33(2020/06/15 10:00)"
"용역","20200611780-00","일반","단재로(효촌교차로~청남농협) 확장공사 가연성폐기물처리용역 수의견적 제출안내 공고","충청북도 청주시","충청북도 청주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 20:28(2020/06/12 10:00)"
"용역","20200611771-00","일반","위임국도87호선 포천 심곡리 소구조물정비공사 실시설계용역","경기도 경기도건설본부","경기도 경기도건설본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 20:22(2020/06/12 10:00)"
"용역","20200611767-00","일반","신규 국공립어린이집 설치(리모델링)공사 실시설계용역","충청북도 청주시","충청북도 청주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 20:22(2020/06/12 10:00)"
"용역","20200611759-00","긴급","현암-지산 지방도확포장공사 건설사업관리(설계단계) 및 설계VE용역","충청북도","충청북도","제한경쟁","2020/06/08 20:17(2020/06/15 10:00)"
"용역","20200611749-00","긴급","서산시 수도정비기본계획(변경) 및 물수요관리 시행계획 수립용역","충청남도 서산시","충청남도 서산시","지명경쟁","2020/06/08 20:15(2020/06/15 10:00)"
"용역","20200611734-00","긴급","덕양초병설유치원 석면해체 감리용역","부산광역시교육청 부산광역시북부교육지원청","부산광역시교육청 부산광역시북부교육지원청","수의(총액)소액수의","2020/06/08 20:09(2020/06/12 10:00)"
"용역","20200611731-00","긴급","금왕-삼성 지방도확포장공사 지반조사용역","충청북도","충청북도","제한경쟁","2020/06/08 20:07(2020/06/15 10:00)"
"용역","20200611730-00","긴급","삼덕초등학교 석면해체 감리용역","부산광역시교육청 부산광역시북부교육지원청","부산광역시교육청 부산광역시북부교육지원청","수의(총액)소액수의","2020/06/08 20:06(2020/06/12 10:00)"
"용역","20200611719-00","긴급","영주시 청년친화형 도시모델 구축 기본계획 수립 연구용역","경상북도 영주시","경상북도 영주시","제한(총액)","2020/06/08 20:04(2020/06/15 10:00)"
"용역","20200611682-00","일반","강릉도시관리계획 결정(변경) 및 개발계획 수립 지반조사 용역","강원도 강릉시 농업기술센터","강원도 강릉시 농업기술센터","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 20:04(2020/06/12 14:00)"
"용역","20200611725-00","긴급","명진초등학교 석면해체 감리용역","부산광역시교육청 부산광역시북부교육지원청","부산광역시교육청 부산광역시북부교육지원청","수의(총액)소액수의","2020/06/08 20:04(2020/06/12 10:00)"
"용역","20200611721-00","긴급","현암-지산 지방도확포장공사 지반조사용역","충청북도","충청북도","제한경쟁","2020/06/08 20:02(2020/06/15 10:00)"
"용역","20200608630-00","일반","AI 기반 전자감독서비스 구축  위탁감리","조달청 서울지방조달청","한국정보화진흥원","제한(총액)협상에의한계약","2020/06/08 20:01(2020/06/19 10:00)"
"용역","20200611716-00","일반","주요정보통신기반시설 취약점 분석 및 평가 용역","한국과학기술원","한국과학기술원","수의(총액)소액수의","2020/06/08 20:01(2020/06/15 10:00)"
"용역","20200611711-00","일반","강릉도시관리계획 결정(변경) 및 개발계획 수립 측량 용역","강원도 강릉시 농업기술센터","강원도 강릉시 농업기술센터","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 20:00(2020/06/12 14:00)"
"용역","20200611708-00","일반","경덕초 포장 및 기타공사 폐기물처리용역 소액수의 견적 공고","충청북도교육청 충청북도청주교육지원청","충청북도교육청 충청북도청주교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/08 20:00(2020/06/12 10:00)"
