"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200622382-00","일반","무주읍 하수처리구역 확장사업(CCTV 및 수밀시험 용역)","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 23:59(2020/06/19 10:00)"
"용역","20200622381-00","일반","치목 농어촌마을 하수도 증설사업 공사(GIS DB구축 용역)","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 23:54(2020/06/19 10:00)"
"용역","20200622380-00","일반","영상테마파크 실내스튜디오 조성사업 건축감리용역","경상남도 합천군","경상남도 합천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 23:53(2020/06/19 10:00)"
"용역","20200622379-00","일반","치목 농어촌마을 하수도 증설사업 공사(CCTV및 수밀시험 용역)","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 23:48(2020/06/19 10:00)"
"용역","20200622378-00","일반","치목 농어촌마을 하수도 증설사업(폐기물처리 용역)","전라북도 무주군","전라북도 무주군","제한(총액)","2020/06/15 23:43(2020/06/19 10:00)"
"용역","20200622370-00","일반","2020년 무주·진안·장수군 농어촌버스 손실보상 실차조사 용역","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 23:36(2020/06/19 10:00)"
"용역","20200622155-01","변경","안동문화관광단지 생태순환로 조성사업 지역개발사업 구역지정 및 실시설계 용역(자격확인 必)","경상북도 안동시","경상북도 안동시","제한경쟁","2020/06/15 23:11(2020/06/23 12:00)"
"용역","20200622362-00","일반","반여초등학교 등 2교(망미초) 시설보수 및 기타공사 감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액수의","2020/06/15 22:45(2020/06/19 10:00)"
"용역","20200622360-00","일반","망미중학교 급식실현대화 및 기타공사 감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액수의","2020/06/15 22:38(2020/06/19 10:00)"
"용역","20200622356-00","긴급","여주시 지역정보화 기본계획 수립 연구용역","경기도 여주시","경기도 여주시","일반(총액)","2020/06/15 22:25(2020/06/22 10:00)"
"용역","20200619223-00","긴급","전산장비 및 사무가전기기 임차 용역 계약_입찰공고","정책기획위원회 신남방정책특별위원회","정책기획위원회 신남방정책특별위원회","제한(총액)협상에의한계약","2020/06/15 22:15(2020/06/26 10:00)"
"용역","20200622351-00","일반","반송초 등 2교(장산초) 화장실개량 및 기타공사 석면해체 및 건축사감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액수의","2020/06/15 22:13(2020/06/19 10:00)"
"용역","20200622344-00","긴급","김제시 미세먼지 저감을 위한 환경영향조사 용역","전라북도 김제시","전라북도 김제시","일반(총액)협상에의한계약","2020/06/15 22:08(2020/06/26 18:00)"
"용역","20200622340-00","일반","근골격계 부담작업 유해요인 조사 용역","전라남도교육청","전라남도교육청","일반(총액)","2020/06/15 22:08(2020/06/22 10:00)"
"용역","20200622349-00","일반","2020년 조림지 풀베기사업(동부지구) 감리용역","충청남도 부여군","충청남도 부여군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 22:07(2020/06/19 10:00)"
"용역","20200622339-00","일반","2020년 조림지 풀베기사업(서부지구) 감리용역","충청남도 부여군","충청남도 부여군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 21:56(2020/06/19 10:00)"
"용역","20200622337-00","일반","반여고등학교 외 1교(철마초) 석면해체 및 건축사감리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액수의","2020/06/15 21:53(2020/06/19 10:00)"
"용역","20200622255-01","취소","근골격계 부담작업 유해요인 조사 용역","전라남도교육청","전라남도교육청","일반(총액)","2020/06/15 21:52(2020/06/19 17:00)"
"용역","20200622333-00","일반","부평리 소규모수도시설 개량사업 GIS DB 구축용역","경기도 여주시","경기도 여주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 21:49(2020/06/19 10:00)"
"용역","20200622330-00","일반","재송초등학교 등 2교(강동초) 식당시설확충 및 기타공사 건설폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 21:47(2020/06/19 10:00)"
"용역","20200622325-00","일반","김제 벽골제 문화재 영상제작 용역","전라북도 김제시","전라북도 김제시","제한(총액)협상에의한계약","2020/06/15 21:44(-)"
"용역","20200622301-00","일반","2020년 두산아파트 옹벽 벽화사업 용역","서울특별시 동대문구","서울특별시 동대문구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 21:44(2020/06/19 10:00)"
"용역","20200622322-00","긴급","은평구 하천의 지속가능한 보전 및 이용에 관한 연구 용역","서울특별시 은평구","서울특별시 은평구","제한경쟁","2020/06/15 21:40(2020/06/22 10:00)"
"용역","20200622315-00","일반","부평리 소규모수도시설 개량사업 폐기물처리용역","경기도 여주시","경기도 여주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 21:37(2020/06/19 10:00)"
"용역","20200622306-00","긴급","섬진강 힐링생태공원 조성계획 결정 및 실시설계 용역(PQ후 가격입찰)","전라남도 구례군","전라남도 구례군","일반경쟁","2020/06/15 21:35(2020/06/22 10:00)"
"용역","20200622314-01","취소","재송초등학교 등 2교(강동초) 식당시설확충 및 기타공사 건설폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/15 21:33(2020/06/19 10:00)"
"용역","20200619800-00","일반","문수동 뉴딜사업지구 하수관로 정비 실시설계용역","전라남도 여수시 상하수도사업단 하수도과","전라남도 여수시 상하수도사업단 하수도과","지명경쟁","2020/06/15 21:32(2020/06/23 12:00)"
