"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200618186-00","긴급","비금면 권역단위 거점개발 지역역강화사업 수행 용역","전라남도 신안군","전라남도 신안군","제한(총액)","2020/06/11 23:29(2020/06/17 10:00)"
"용역","20200618183-00","긴급","암태면 권역단위 거점개발 지역역량강화사업 수행 용역","전라남도 신안군","전라남도 신안군","제한(총액)","2020/06/11 23:17(2020/06/17 10:00)"
"용역","20200618177-00","긴급","2020년 양식어장 정화사업 수행 용역","전라남도 신안군","전라남도 신안군","제한(총액)","2020/06/11 23:06(2020/06/17 10:00)"
"용역","20200618172-00","긴급","(긴급)노후기숙사환경개선사업 건축 감리용역","한국기계연구원 (경남 창원)","한국기계연구원 (경남 창원)","일반경쟁","2020/06/11 22:54(2020/06/17 10:00)"
"용역","20200618174-00","긴급","2020년 염전주변 환경정비(폐기물 서거처리) 용역","전라남도 신안군","전라남도 신안군","제한(총액)","2020/06/11 22:53(2020/06/17 10:00)"
"용역","20200618162-00","긴급","신안 군관리계획(용도지역, 군계획시설) 결정(변경) 및 공원조성계획 변경 용역","전라남도 신안군","전라남도 신안군","제한경쟁","2020/06/11 22:38(2020/06/17 10:00)"
"용역","20200618151-00","일반","2020년 하동군 숲해설 위탁운영 사업","경상남도 하동군","경상남도 하동군","제한(총액)협상에의한계약","2020/06/11 22:16(-)"
"용역","20200618145-00","긴급","국도14호선 고성 회화 배둔지구 보행자 통행시설 정비공사 폐기물처리용역","국토교통부 부산지방국토관리청 진주국토관리사무소","국토교통부 부산지방국토관리청 진주국토관리사무소","수의(총액)","2020/06/11 22:08(2020/06/17 10:00)"
"용역","20200618142-00","긴급","국도14호선 통영 광도지구외 1개소 보행자 통행시설 정비공사 폐기물처리용역","국토교통부 부산지방국토관리청 진주국토관리사무소","국토교통부 부산지방국토관리청 진주국토관리사무소","수의(총액)","2020/06/11 22:04(2020/06/17 10:00)"
"용역","20200618140-00","긴급","국도24호선 합천 봉산 상현지구 경관쉼터 설치공사 폐기물처리용역","국토교통부 부산지방국토관리청 진주국토관리사무소","국토교통부 부산지방국토관리청 진주국토관리사무소","수의(총액)","2020/06/11 21:59(2020/06/17 10:00)"
"용역","20200618134-00","긴급","인제C지구 도시생활환경개선사업 폐기물처리 용역","전라남도 순천시","전라남도 순천시","제한(총액)","2020/06/11 21:55(2020/06/17 12:00)"
"용역","20200618124-00","일반","해룡천 통합집중형 오염하천 개선공사 폐기물처리 용역","전라남도 순천시","전라남도 순천시","수의(총액)소액수의","2020/06/11 21:49(2020/06/17 12:00)"
"용역","20200618102-00","긴급","가파상동항 물양장 정비공사 일반해역이용협의 용역","제주특별자치도 서귀포시","제주특별자치도 서귀포시","일반경쟁","2020/06/11 21:33(2020/06/17 12:00)"
"용역","20200618070-00","긴급","거제시 노후하수관로 정비사업(1단계) CCTV 및 수밀시험용역","경상남도 거제시","경상남도 거제시","제한경쟁","2020/06/11 21:24(2020/06/18 10:00)"
"용역","20200617360-01","취소","안계시장 장옥철거공사 가연성폐기물 처리용역","경상북도 의성군","경상북도 의성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/11 21:19(2020/06/17 10:00)"
"용역","20200618066-00","일반","화성시 생태축 구축 및 관리대책 용역","경기도 화성시 환경사업소","경기도 화성시 환경사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/11 21:11(2020/06/17 10:00)"
"용역","20200618032-00","일반","거점 통합돌봄센터 설립 설계용역 수의계약 안내 공고","경상남도교육청","경상남도교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/11 21:00(2020/06/17 10:00)"
