"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200624529-00","일반","정주환경개선사업 기본 및 실시설계 용역(재공고)","서울특별시 강북구","서울특별시 강북구","제한(총액)협상에의한계약","2020/06/16 22:55(-)"
"용역","20200623213-00","일반","한국원자력환경공단 무인경비 용역","한국원자력환경공단","한국원자력환경공단","일반(총액)규격가격동시","2020/06/16 22:13(2020/06/22 12:00)"
"용역","20200624492-00","일반","가축매몰지 발굴, 소멸처리사업(2지구)","경기도 여주시","경기도 여주시","일반(총액)","2020/06/16 22:01(2020/06/22 10:00)"
"용역","20200624489-00","일반","가축매몰지 발굴, 소멸처리사업(1지구)","경기도 여주시","경기도 여주시","일반(총액)","2020/06/16 21:52(2020/06/22 10:00)"
"용역","20200624475-01","변경","2020년 자치회관 홈페이지 재구축 사업","서울특별시 강동구","서울특별시 강동구","제한(총액)협상에의한계약","2020/06/16 21:37(-)"
"용역","20200624465-00","긴급","2020년 해양쓰레기 정화사업 폐기물처리 용역(단가계약)","전라남도 함평군","전라남도 함평군","수의(단가)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 21:17(2020/06/22 10:00)"
"용역","20200624192-00","긴급","울진과학체험관 무인매표관리 및 자율출입통제시스템 구축","경상북도 울진군 엑스포공원사업소","경상북도 울진군 엑스포공원사업소","제한(총액)","2020/06/16 21:14(2020/06/22 10:00)"
"용역","20200620138-00","긴급","2020년 검정고시 시스템 개선 및 유지보수","조달청 서울지방조달청","국가평생교육진흥원","제한(총액)협상에의한계약","2020/06/16 21:12(2020/06/30 10:00)"
"용역","20200624451-00","긴급","가야동 60-11번지 일원 도로개설공사 폐기물처리용역","부산광역시 부산진구","부산광역시 부산진구","제한(총액)","2020/06/16 21:07(2020/06/23 12:00)"
"용역","20200623836-00","일반","2020년 원격연수용 신규 콘텐츠 제작 용역","조달청 서울지방조달청","서울특별시교육청 서울특별시과학전시관","제한(총액)협상에의한계약","2020/06/16 21:07(2020/06/30 10:00)"
"용역","20200620153-02","취소","용역사업 집행계획 및 사업수행능력 평가서 제출 안내(달성 배수지·가압장 정밀안전점검 용역)","대구광역시 상수도사업본부 달성사업소","대구광역시 상수도사업본부 달성사업소","일반경쟁","2020/06/16 21:05(-)"
"용역","20200624452-00","일반","우도면 폐기물소각시설 확충사업 실시설계용역","제주특별자치도 제주시","제주특별자치도 제주시","제한경쟁","2020/06/16 21:00(2020/06/24 15:00)"
"용역","20200624359-00","일반","2020년 조림지 풀베기사업(2차) 감리용역","경상북도 성주군","경상북도 성주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 20:41(2020/06/23 10:00)"
"용역","20200624433-00","일반","옥곡 명주2급경사지 붕괴위험지역 정비사업 건설폐기물 처리용역","전라남도 광양시","전라남도 광양시","제한(총액)","2020/06/16 20:38(2020/06/24 10:00)"
"용역","20200624432-00","긴급","구미시 철도망 기본구상 용역","경상북도 구미시","경상북도 구미시","제한(총액)","2020/06/16 20:38(2020/06/22 14:00)"
"용역","20200622698-00","일반","장기 신고창 체육센터 건립사업 건축기획 용역","경기도 김포시","경기도 김포시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 20:34(2020/06/22 10:00)"
"용역","20200624414-00","일반","청주 내수 초정지구 지구단위계획 결정(변경) 용역","충청북도 청주시","충청북도 청주시","제한경쟁","2020/06/16 20:22(2020/06/24 10:00)"
"용역","20200624412-00","긴급","용포리 도로확포장공사 폐기물처리용역","경기도 화성시","경기도 화성시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 20:19(2020/06/23 10:00)"
"용역","20200624403-00","일반","고성군 도시림 및 녹지공간 조성·관리계획 수립 용역","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 20:13(2020/06/19 11:00)"
"용역","20200624394-00","일반","상무소각장 공장동 문화재생 공간활용전략 수립 및 정밀안전진단 용역(협상)","광주광역시","광주광역시","일반(총액)협상에의한계약","2020/06/16 20:09(2020/07/07 17:00)"
"용역","20200622957-00","일반","구로2동 주택가 공동주차장 건설사업 계측관리용역","서울특별시 구로구","서울특별시 구로구","제한경쟁","2020/06/16 20:09(2020/06/24 10:00)"
"용역","20200624385-00","일반","초전지방상수도 비상공급망구축 및 급수구역확장사업 기본및실시설계용역(PQ후가격입찰)","경상북도 성주군","경상북도 성주군","지명경쟁","2020/06/16 20:07(2020/06/23 10:00)"
"용역","20200624392-00","일반","버스터미널~기월사거리간 도로(중로1-10호선)개설공사  매장문화재 시굴조사","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 20:05(2020/06/19 11:00)"
"용역","20200624383-00","일반","광영동 시민광장 조성부지 지장물 철거공사 건설폐기물 처리용역","전라남도 광양시","전라남도 광양시","제한(총액)","2020/06/16 19:59(2020/06/24 10:00)"
"용역","20200624378-00","일반","순창 청년형 팹랩 플랫폼 구축사업 설계공모(제안공모) 공고","전라북도 순창군 농업기술센터","전라북도 순창군 농업기술센터","일반(총액)협상에의한계약","2020/06/16 19:54(-)"
"용역","20200624111-00","일반","홍유릉 역사공원 조성사업 폐기물 처리용역","남양주도시공사","남양주도시공사","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 19:50(2020/06/22 10:00)"
"용역","20200624372-00","일반","가연성폐기물처리시설 화재위험도분석 및 적합성 평가 1식","한국원자력연구원","한국원자력연구원","제한경쟁","2020/06/16 19:49(2020/06/24 11:00)"
"용역","20200624373-00","일반","좌천초등학교 등 2교(반석초) 석면농도측정용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 19:49(2020/06/22 10:00)"
"용역","20200624369-00","긴급","골목상권 가로환경개선사업. 활성화 지원사업 실시설계용역[긴급]","부산광역시 해운대구","부산광역시 해운대구","제한경쟁","2020/06/16 19:48(2020/06/22 10:00)"
"용역","20200624366-00","일반","광남병설유치원 석면농도측정용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 19:46(2020/06/22 10:00)"
"용역","20200622523-00","긴급","20년 진주시 도심지 감응신호 구축사업(응용SW 및 교통신호DB산출 사전사후)","경상남도 진주시","경상남도 진주시","제한(총액)","2020/06/16 19:43(2020/06/23 10:00)"
"용역","20200624350-00","긴급","연소기 점화시험용역","국방과학연구소","국방과학연구소","제한(총액)규격가격동시","2020/06/16 19:43(2020/06/23 10:00)"
"용역","20200624352-00","일반","장산초등학교 석면농도측정용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/16 19:39(2020/06/22 10:00)"
