"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200630425-00","일반","별다른동화마을조성사업 건설폐기물처리용역","충청북도 단양군","충청북도 단양군","제한(총액)","2020/06/20 16:59(2020/06/26 12:00)"
"용역","20200628017-01","취소","2020년 자원순환과 공용차량 종합보험 가입","경기도 안산시","경기도 안산시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/20 13:44(2020/06/25 10:00)"
"용역","20200628427-00","긴급","매치업 정보시스템 개선 및 운영","조달청 서울지방조달청","국가평생교육진흥원","제한(총액)협상에의한계약","2020/06/20 09:44(2020/07/01 10:00)"
"용역","20200630330-00","긴급","한경대학교 2021학년도 원서접수 및 전형료 수납대행 용역","한경대학교","한경대학교","제한(단가)협상에의한계약","2020/06/20 09:27(2020/06/25 10:00)"
"용역","20200630331-00","긴급","2020년 중견기업 지역대학 채용로드쇼 운영 대행 용역","한국중견기업연합회","한국중견기업연합회","일반(총액)협상에의한계약","2020/06/20 09:09(-)"
"용역","20200630319-00","긴급","11.15 지진피해 위험건축물(대성아파트F동) 철거공사 폐기물 처리 및 운반용역","경상북도 포항시 건설교통사업본부","경상북도 포항시 건설교통사업본부","제한(총액)","2020/06/20 07:07(2020/06/26 10:00)"
"용역","20200630318-00","긴급","11.15 지진피해 위험건축물(대성아파트E동) 철거공사 폐기물처리 및 운반용역","경상북도 포항시 건설교통사업본부","경상북도 포항시 건설교통사업본부","제한(총액)","2020/06/20 06:55(2020/06/26 10:00)"
