"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200614037-01","변경","2020년 강동구음식물재활용센터 음폐수·협잡물 처리용역","서울특별시 강동구","서울특별시 강동구","일반(총액)","2020/06/09 23:40(2020/06/15 10:00)"
"용역","20200609909-01","취소","2020년 강동구음식물재활용센터 음폐수·협잡물 처리용역","서울특별시 강동구","서울특별시 강동구","일반(총액)","2020/06/09 23:18(2020/06/15 10:00)"
"용역","20200614026-00","일반","기장초등학교 등 5교 특수구조건축물 정기점검용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/09 22:45(2020/06/15 10:00)"
"용역","20200614006-00","일반","도서관 관련 법령 정비 방안 연구","문화체육관광부 국립중앙도서관","문화체육관광부 국립중앙도서관","제한(총액)협상에의한계약","2020/06/09 22:25(2020/06/22 10:00)"
"용역","20200614001-00","긴급","국립중앙도서관 외국자료 장서개발정책 연구","문화체육관광부 국립중앙도서관","문화체육관광부 국립중앙도서관","제한(총액)협상에의한계약","2020/06/09 22:22(2020/06/22 10:00)"
"용역","20200614004-00","긴급","곡성체류형복합문화공간 도시관리계획결정 및 실시설계용역 사업수행능력평가서 제출 안내","전라남도 곡성군","전라남도 곡성군","일반경쟁","2020/06/09 22:09(-)"
"용역","20200613998-00","일반","2020년도 정수슬러지 재활용 위탁처리용역(단가계약)","경상북도 영천시","경상북도 영천시","제한(총액)","2020/06/09 21:54(2020/06/17 10:00)"
"용역","20200613932-01","변경","무주읍 도시계획도로 정비사업 실시설계 용역","전라북도 무주군","전라북도 무주군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/09 21:35(2020/06/12 10:00)"
"용역","20200610431-00","일반","2020년 무형유산 기록물 디지털화 현황조사 용역","조달청 전북지방조달청","문화재청 국립무형유산원","제한(총액)협상에의한계약","2020/06/09 21:28(2020/06/23 10:00)"
"용역","20200613978-00","긴급","2020년 탄천1교 정밀안전진단(성능평가포함) 및 내진성능평가용역","경기도 용인시 수지구","경기도 용인시 수지구","제한경쟁","2020/06/09 21:20(2020/06/15 10:00)"
"용역","20200613980-00","일반","용역 수의견적 제출 공고 [2020년 금산군 슬레이트 처리 지원 사업 금산군 일원 면적조사]","충청남도 금산군","충청남도 금산군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/09 21:19(2020/06/15 10:00)"
"용역","20200613743-00","긴급","울진과학체험관 매표·자율출입통제 무인자동화시스템 구축","경상북도 울진군 엑스포공원사업소","경상북도 울진군 엑스포공원사업소","제한(총액)","2020/06/09 21:12(2020/06/15 10:00)"
