"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200630302-00","일반","한국화훼농협 수도권(고양) 화훼종합유통센터 신축공사 실시설계용역","경기도 고양시","한국화훼농업협동조합","일반경쟁","2020/06/19 21:05(2020/06/26 10:00)"
"용역","20200630291-00","일반","완월초등학교 본관동 내진보강 구조설계용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/19 20:36(2020/06/25 10:00)"
"용역","20200619929-00","일반","역량기반 시뮬레이션 신임경찰 교육 프로그램 개발 연구용역","조달청 서울지방조달청","경찰청","수의(총액)","2020/06/19 20:31(2020/06/24 14:00)"
"용역","20200630287-00","일반","자막상영장비 임대","부천국제판타스틱영화제조직위원회","부천국제판타스틱영화제조직위원회","일반(단가)협상에의한계약","2020/06/19 20:19(-)"
"용역","20200630285-00","일반","광려초등학교 석면농도측정용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/19 20:18(2020/06/25 10:00)"
"용역","20200630282-00","일반","고양지식정보산업진흥원 홈페이지 재구축","(재)고양지식정보산업진흥원","(재)고양지식정보산업진흥원","제한(총액)협상에의한계약","2020/06/19 20:11(2020/06/30 14:00)"
"용역","20200622416-00","긴급","(보존복원과) 대통령기록물 디지털화 포렌식 장비 구축 사업","조달청","행정안전부 국가기록원 대통령기록관","제한(총액)협상에의한계약","2020/06/19 20:07(2020/07/15 10:00)"
"용역","20200630274-00","일반","2020년 공원유지관리 폐기물 처리용역","서울특별시 서대문구","서울특별시 서대문구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/19 20:03(2020/06/25 14:00)"
"용역","20200630273-00","일반","광려초등학교 지정폐기물 처리용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/19 20:00(2020/06/25 10:00)"
"용역","20200610266-00","긴급","개발제한구역 환경평가등급 갱신 연구","조달청","국토교통부","제한(총액)협상에의한계약","2020/06/19 19:57(2020/07/15 10:00)"
"용역","20200630199-00","일반","광려초등학교 석면해체제거공사 감리용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/19 19:40(2020/06/25 10:00)"
