"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200609620-00","긴급","어선안전조업관리시스템(3차) 구축","해양수산부","해양수산부","제한(총액)협상에의한계약","2020/06/05 22:39(2020/06/16 14:00)"
"용역","20200609615-00","긴급","악양옥종고전지구 하수관로 정비사업 기본 및 실시설계용역","경상남도 하동군","경상남도 하동군","지명경쟁","2020/06/05 22:34(2020/06/11 10:00)"
"용역","20200609609-00","일반","이야기가 있는 선바위 관광지 조성 구상(안) 및 간이 타당성 검토 연구용역(협상에의한계약)","경상북도 영양군","경상북도 영양군","제한(총액)협상에의한계약","2020/06/05 22:20(-)"
"용역","20200609598-00","긴급","포항 장기읍성 수구지 발굴조사","경상북도 포항시","경상북도 포항시","일반(총액)","2020/06/05 21:45(2020/06/11 10:00)"
"용역","20200609578-00","긴급","웹툰 공모전 개최 및 2020 경기국제웹툰 & 콘텐츠페어 고양시 공동관 조성","(재)고양지식정보산업진흥원","(재)고양지식정보산업진흥원","제한(총액)협상에의한계약","2020/06/05 21:02(2020/06/16 14:00)"
"용역","20200608184-00","긴급","명사초 다목적강당(소규모) 증축 설계용역","경상남도교육청 경상남도거제교육지원청","경상남도교육청 경상남도거제교육지원청","제한경쟁","2020/06/05 21:01(2020/06/11 10:00)"
"용역","20200609565-00","긴급","기린면 진동리 상치전 소규모수도시설 공사 실시설계용역","강원도 인제군지방상수도","강원도 인제군지방상수도","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/05 20:18(2020/06/12 10:00)"
"용역","20200609561-00","일반","2020년 숲가꾸기(조림지가꾸기, 덩굴제거)사업 감리용역","경기도 여주시","경기도 여주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/05 20:05(2020/06/11 10:00)"
"용역","20200609559-00","일반","2020년 공용차량 보험가입","경기도 구리시","경기도 구리시","일반(총액)","2020/06/05 20:00(2020/06/11 12:00)"
"용역","20200601968-01","취소","2020 연명의료결정제도 대국민 홍보영상 송출","(재)국가생명윤리정책원","(재)국가생명윤리정책원","제한(총액)협상에의한계약","2020/06/05 19:57(2020/06/12 11:00)"
