"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200605933-00","일반","국지도84호선(대문리~찬우물고개) 인도정비공사 폐기물 처리 용역","인천광역시 강화군","인천광역시 강화군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 23:04(2020/06/09 10:00)"
"용역","20200605932-00","일반","여주시 신교통수단 도입 및 연계교통망 구축 연구용역","경기도 여주시","경기도 여주시","일반(총액)협상에의한계약","2020/06/03 22:45(-)"
"용역","20200605929-00","긴급","선두리 공설묘지 무연분묘 개장 용역","인천광역시 강화군","인천광역시 강화군","제한(총액)","2020/06/03 22:38(2020/06/09 10:00)"
"용역","20200605925-00","일반","경상남도교육청 교육연구정보원 및 교육연수원 건설폐기물 처리용역 수의계약 안내 공고","경상남도교육청","경상남도교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 22:29(2020/06/09 10:00)"
"용역","20200605923-00","긴급","성내리 비위생매립장 정비사업 생활폐기물 처리용역","경상남도 산청군","경상남도 산청군","제한(총액)","2020/06/03 22:17(2020/06/09 10:00)"
"용역","20200605916-00","일반","경상남도교육청 학생교육원 건설폐기물 처리용역 수의계약 안내 공고","경상남도교육청","경상남도교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 22:11(2020/06/09 10:00)"
"용역","20200602080-01","취소","2020년 산청군 공공하수처리시설 통합관리시스템 유지보수 용역","경상남도 산청군","경상남도 산청군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 22:10(2020/06/05 10:00)"
"용역","20200605894-00","일반","국도 2호선 광양 진상교 보수공사 건설폐기물(폐아스콘) 처리용역","전라남도 도로관리사업소","전라남도 도로관리사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 21:34(2020/06/10 14:00)"
"용역","20200605888-00","일반","2020년 위임국도 안전시설 정비사업(보성) 폐콘크리트 처리용역","전라남도 도로관리사업소","전라남도 도로관리사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 21:22(2020/06/10 14:00)"
"용역","20200605890-00","일반","ARGO 홈페이지 개선 용역","기상청 국립기상과학원","기상청 국립기상과학원","제한(총액)협상에의한계약","2020/06/03 21:22(2020/06/15 11:00)"
"용역","20200605873-00","일반","2020년 위임국도 안전시설 정비사업(영광) 건설폐기물 처리용역(폐콘크리트)","전라남도 도로관리사업소","전라남도 도로관리사업소","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 21:12(2020/06/10 14:00)"
"용역","20200605862-00","긴급","국도33호선 등 9개노선 시설물 보수보강공사 실시설계용역","국토교통부 부산지방국토관리청 대구국토관리사무소","국토교통부 부산지방국토관리청 대구국토관리사무소","제한경쟁","2020/06/03 20:57(2020/06/09 10:00)"
"용역","20200605620-02","변경","한림대학교 공학관 내 소프트웨어 빌리지 설치공사 설계공모 공고","한림대학교","한림대학교","일반(총액)협상에의한계약","2020/06/03 20:34(-)"
"용역","20200605837-00","일반","제2~3산단 연결도로(중로1-5, 소로3-7호선) 개설공사 폐기물처리용역","충청북도 제천시","충청북도 제천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/03 20:29(2020/06/09 10:00)"
"용역","20200604048-00","일반","한국기술교육대학교 통학버스 운행 용역","조달청","한국기술교육대학교","일반(총액)","2020/06/03 20:27(2020/06/16 11:00)"
