"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200628642-00","긴급","국도1호선 마구평리 병목지점개선 실시설계용역","국토교통부 대전지방국토관리청 논산국토관리사무소","국토교통부 대전지방국토관리청 논산국토관리사무소","제한경쟁","2020/06/18 23:52(2020/06/24 10:00)"
"용역","20200628630-00","일반","죽죽정 정비사업 폐기물처리용역","경상남도 합천군","경상남도 합천군","제한(총액)종합낙찰제","2020/06/18 23:11(2020/06/24 10:00)"
"용역","20200628587-00","일반","수원시 사회복지타운 건립공사 폐기물 처리용역","경기도 수원시","경기도 수원시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/18 21:59(2020/06/24 10:00)"
"용역","20200628527-01","취소","인증 표준물질 측정이슈 및 수요 조사 용역","한국표준과학연구원","한국표준과학연구원","제한(총액)협상에의한계약","2020/06/18 21:46(2020/06/25 10:00)"
"용역","20200628585-00","긴급","수원시 공공시설물 디자인종합관리계획 수립용역","경기도 수원시","경기도 수원시","제한(총액)협상에의한계약","2020/06/18 21:39(-)"
"용역","20200628560-00","일반","2020년 주차장영업배상 보험 및 동산종합보험 가입","구리농수산물공사","구리농수산물공사","제한(총액)","2020/06/18 21:23(-)"
"용역","20200628510-00","일반","반여고등학교 이중천장교체 및 기타공사 지정(석면)폐기물처리용역","부산광역시교육청 부산광역시해운대교육지원청","부산광역시교육청 부산광역시해운대교육지원청","일반(총액)","2020/06/18 20:33(2020/06/24 10:00)"
"용역","20200628503-00","일반","지역공공기관 지원체계 강화를 위한 경영컨설팅 용역","지방공기업평가원","지방공기업평가원","일반(총액)협상에의한계약","2020/06/18 20:32(-)"
"용역","20200628443-01","변경","경남테크노파크 전자파시험장 조성 및 시험장비 이전설치 용역","재단법인 경남테크노파크","재단법인 경남테크노파크","일반(총액)협상에의한계약","2020/06/18 20:29(-)"
"용역","20200625786-01","변경","[사업수행능력평가서 제출안내]영주시 소규모 공공시설 안전점검 및 정비계획 수립용역","경상북도 영주시","경상북도 영주시","일반경쟁","2020/06/18 20:26(-)"
"용역","20200625032-00","일반","청주시 국도대체우회도로(북일-남일1)건설공사 가연성 건설폐기물처리용역","조달청 대전지방조달청","국토교통부 대전지방국토관리청","일반(총액)","2020/06/18 20:26(2020/06/26 10:00)"
"용역","20200628506-00","일반","흑석동~청암학교간(소로3-487호) 도로개설공사 폐기물처리용역","충청북도 제천시","충청북도 제천시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/18 20:24(2020/06/24 10:00)"
"용역","20200628446-00","일반","PQ공고[도봉산~옥정 광역철도 건설공사 사후 지하안전 영향조사 용역]","경기도청 북부청사","경기도청 북부청사","일반경쟁","2020/06/18 20:18(-)"
"용역","20200628469-00","긴급","고현지구 하수도정비 중점관리지역 침수예방사업 측량조사 용역","경상남도 거제시","경상남도 거제시","제한경쟁","2020/06/18 20:06(2020/06/24 10:00)"
"용역","20200626137-00","일반","김해공항 구 항공유저장소 철거현장 토양오염 정화용역","한국공항공사 부산지역본부","한국공항공사 부산지역본부","일반(총액)","2020/06/18 20:05(2020/06/26 10:00)"
"용역","20200628445-00","긴급","국도1호선 천안 목천 등 4개소 보도설치공사 폐기물처리용역","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","국토교통부 대전지방국토관리청 예산국토관리사무소 운영지원과","제한(총액)","2020/06/18 19:53(2020/06/24 12:00)"
"용역","20200628430-00","긴급","러시아 연해주 볼쇼이카멘 스마트시티 기본구상","한국해외인프라도시개발지원공사","한국해외인프라도시개발지원공사","일반(총액)협상에의한계약","2020/06/18 19:51(2020/07/01 16:00)"
"용역","20200628437-00","일반","중앙8분구(역사도심)처리구역 하수관로 정비사업(2공구) 준설토 폐기물처리 용역","전라북도 전주시","전라북도 전주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/18 19:47(2020/06/24 10:00)"
"용역","20200627420-00","일반","강원혈액원 환경개선공사 설계 및 감리용역","대한적십자사 혈액관리본부","대한적십자사 혈액관리본부","제한경쟁","2020/06/18 19:42(2020/06/26 10:00)"
