"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200638308-01","변경","태인 장내 급경사지 붕괴위험지역 폐합성수지 처리용역","전라남도 광양시","전라남도 광양시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/26 20:59(2020/07/02 10:00)"
"용역","20200638309-00","일반","문경서중학교 다목적강당 증축 기계설비공사 설계용역","경상북도교육청 경상북도문경교육지원청","경상북도교육청 경상북도문경교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/26 20:55(2020/07/02 10:00)"
"용역","20200638310-00","일반","태인 장내 급경사지 붕괴위험지역 폐기물처리용역","전라남도 광양시","전라남도 광양시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/26 20:53(2020/07/02 10:00)"
"용역","20200638305-00","일반","전곡읍 주차타워 건립사업 소방공사 소방감리용역","경기도 연천군","경기도 연천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/26 20:45(2020/07/02 10:00)"
"용역","20200637209-00","일반","2020년 문화데이터 구축 및 활용을 위한 기관 맞춤 컨설팅 사업","조달청 서울지방조달청","한국문화정보원","제한(총액)협상에의한계약","2020/06/26 20:23(2020/07/10 10:00)"
"용역","20200638290-01","변경","전곡읍 주차타워 건립사업 통신공사 통신감리용역","경기도 연천군","경기도 연천군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/26 20:03(2020/07/02 10:00)"
"용역","20200638011-00","일반","도메인 서버 기반 컴퓨터 권한관리 솔루션 구매 사업","조달청 서울지방조달청","대법원","수의(총액)","2020/06/26 20:03(2020/07/01 15:30)"
"용역","20200637967-00","일반","2020 학부모 진로정보 진로레시피 콘텐츠 제작","조달청 서울지방조달청","국가평생교육진흥원","수의(총액)","2020/06/26 20:02(2020/07/01 15:30)"
"용역","20200638295-00","일반","문경서중학교 다목적강당 증축공사 설계용역","경상북도교육청 경상북도문경교육지원청","경상북도교육청 경상북도문경교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/26 19:58(2020/07/02 10:00)"
"용역","20200638287-00","일반","2025년 고성군관리계획(재정비) 전략환경영향평가 용역","경상남도 고성군","경상남도 고성군","제한경쟁","2020/06/26 19:44(2020/07/02 10:00)"
"용역","20200638083-00","일반","2020년 책이음서비스 클라우드 전환 및 자료관리시스템 개선","조달청 서울지방조달청","문화체육관광부 국립중앙도서관","수의(총액)","2020/06/26 19:43(2020/06/30 16:00)"
"용역","20200638286-00","일반","서울특별시교육청 유치원 취학수요 조사","서울특별시교육청","서울특별시교육청","제한(총액)","2020/06/26 19:43(2020/07/06 10:00)"
"용역","20200638075-00","일반","2020년「성인지통계」시스템 개선 및 관리","조달청 서울지방조달청","한국여성정책연구원","수의(총액)","2020/06/26 19:36(2020/06/30 16:00)"
"용역","20200638281-00","일반","2020년 5급 심사승진임용 업무실적평가 운영","서울특별시교육청","서울특별시교육청","제한(총액)협상에의한계약","2020/06/26 19:33(2020/07/07 11:00)"
"용역","20200638283-00","일반","북도면, 영흥면 회주도로 광역시도 승격 타당성조사 연구용역","인천광역시 옹진군","인천광역시 옹진군","일반(총액)협상에의한계약","2020/06/26 19:32(2020/07/06 18:00)"
"용역","20200638052-00","일반","인공지능 기반 팩트체크 기술 개발","조달청 서울지방조달청","시청자미디어재단","수의(총액)","2020/06/26 19:29(2020/06/30 16:00)"
"용역","20200638274-00","일반","분사기(AM) 브레이징 검증시제 및 폴리머 연소기 제작","한국항공우주연구원","한국항공우주연구원","제한(총액)","2020/06/26 19:19(2020/07/02 10:00)"
"용역","20200638271-00","긴급","대학 시설관리 청소 및 경비 운영","전주비전대학","전주비전대학","제한(총액)협상에의한계약","2020/06/26 19:13(2020/07/09 11:00)"
"용역","20200638270-00","일반","2020부산비엔날레 전시장 조성 공사 입찰 공고","사단법인 부산비엔날레조직위원회","사단법인 부산비엔날레조직위원회","제한(총액)협상에의한계약","2020/06/26 19:10(-)"
"용역","20200638251-00","일반","왕십리뉴타운 중학교 설립 등 연구용역","서울특별시 성동구","서울특별시 성동구","일반(총액)협상에의한계약","2020/06/26 18:47(-)"
"용역","20200637059-01","취소","중앙8분구(역사도심)처리구역 하수관로 정비사업(2공구) 준설토 폐기물처리 용역","전라북도 전주시","전라북도 전주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/26 18:46(2020/07/01 10:00)"
"용역","20200638246-00","긴급","제2차 해양환경교육 종합계획 수립","해양수산부","해양수산부","제한(총액)협상에의한계약","2020/06/26 18:33(2020/07/07 14:00)"
"용역","20200638235-00","일반","2020년 지능형교통체계(ITS) 보강 및 확장사업(협상에의한계약)","울산광역시","울산광역시","제한(총액)협상에의한계약","2020/06/26 18:28(2020/07/07 10:00)"
"용역","20200636233-00","일반","고덕국제화계획지구 택지개발사업 3-3공구 전기공사 실시설계 용역","평택도시공사","평택도시공사","제한경쟁","2020/06/26 18:25(2020/07/06 10:00)"
"용역","20200638238-00","일반","한국영상대학교 기숙사 가구 납품 및 설치 업체 선정","한국영상대학교","한국영상대학교","일반(총액)","2020/06/26 18:24(-)"
"용역","20200638237-00","긴급","선박 온실가스 감축을 위한 운항적 조치 개선 연구","한국해양교통안전공단","한국해양교통안전공단","제한(총액)협상에의한계약","2020/06/26 18:21(-)"
"용역","20200638228-00","긴급","안성시 지하안전관리계획 수립용역","경기도 안성시","경기도 안성시","제한경쟁","2020/06/26 18:16(2020/07/02 10:00)"
"용역","20200638108-00","긴급","2020 고양도시포럼 행사 대행 용역","경기도 고양시","경기도 고양시","일반(총액)협상에의한계약","2020/06/26 18:15(2020/07/07 17:00)"
"용역","20200638225-00","긴급","충주시 하수도정비 중점관리지역 연수천분구 도심침수예방사업 기본 및 실시설계용역(PQ제출)","충청북도 충주시","충청북도 충주시","일반경쟁","2020/06/26 18:14(-)"
"용역","20200638079-00","일반","초·중등 양성평등교육 목표와 성취기준 개발","조달청 서울지방조달청","한국양성평등교육진흥원","수의(총액)","2020/06/26 18:14(2020/06/30 16:00)"
"용역","20200633383-01","취소","제2차 김포시 기후변화 적응대책 세부시행계획 수립 용역","경기도 김포시","경기도 김포시","제한(총액)","2020/06/26 18:11(2020/06/29 14:00)"
