"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200604000-00","긴급","2021년 노후하수관로 정비사업 실시설계용역","경상남도 함안군","경상남도 함안군","제한경쟁","2020/06/02 22:30(2020/06/08 10:00)"
"용역","20200603996-01","변경","금사 하수관로 설치공사 소규모 환경영향평가용역","경기도 여주시","경기도 여주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/02 22:29(2020/06/08 10:00)"
"용역","20200604001-00","일반","점동 하수관로 설치공사 소규모 환경영향평가용역","경기도 여주시","경기도 여주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/02 22:25(2020/06/08 10:00)"
"용역","20200603994-00","긴급","연향육교 구조개선 공사 폐기물처리 용역","전라남도 순천시","전라남도 순천시","제한(총액)","2020/06/02 22:11(2020/06/08 12:00)"
"용역","20200603987-00","일반","동외동지구 도시생활환경개선사업 폐기물처리 용역","전라남도 순천시","전라남도 순천시","수의(총액)소액수의","2020/06/02 22:03(2020/06/08 12:00)"
"용역","20200603984-00","일반","대당~신근간(흥천211호) 도로확포장공사 건설폐기물처리용역","경기도 여주시","경기도 여주시","제한(총액)","2020/06/02 22:02(2020/06/10 10:00)"
"용역","20200602406-01","취소","2020년 도서 및 연안지역 해양쓰레기 수거용역","전라남도 보성군","전라남도 보성군","제한(총액)","2020/06/02 21:49(2020/06/09 14:00)"
"용역","20200603971-00","긴급","수원시 스마트시티형 도시재생뉴딜사업(연무동) 실행계획 수립 및 실시설계 용역","경기도 수원시","경기도 수원시","일반(총액)협상에의한계약","2020/06/02 21:41(-)"
"용역","20200603961-00","긴급","거제시립박물관 건립사업 관련 도시관리계획 변경(결정) 용역","경상남도 거제시","경상남도 거제시","제한경쟁","2020/06/02 21:24(2020/06/09 10:00)"
"용역","20200603958-00","일반","2020년 소규모 공동주택 안전점검 용역","경기도 평택시","경기도 평택시","지명경쟁","2020/06/02 21:23(2020/06/09 10:00)"
"용역","20200603223-01","취소","유아교육진흥원 시설보수공사 석면해체 감리 용역","부산광역시교육청","부산광역시교육청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/02 21:19(2020/06/09 10:00)"
"용역","20200603952-00","일반","선산시장 일원 도시재생활성화계획 수립용역(협상에 의한 계약) 제안서 제출안내","경상북도 구미시","경상북도 구미시","일반(총액)협상에의한계약","2020/06/02 21:16(-)"
"용역","20200603326-00","일반","2020 반려동물 문화축제 운영 대행용역","조달청 대전지방조달청","대전마케팅공사","제한(총액)협상에의한계약","2020/06/02 20:48(2020/06/16 10:00)"
