"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200609689-00","일반","내진성능평가(정밀점검 포함) 및 보강설계 용역 소액수의 계약 안내공고","대구광역시교육청 조일로봇고등학교","대구광역시교육청 조일로봇고등학교","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/06 14:16(2020/06/12 10:00)"
"용역","20200605620-03","변경","한림대학교 공학관 내 소프트웨어 빌리지 설치공사 설계공모 공고","한림대학교","한림대학교","일반(총액)협상에의한계약","2020/06/06 13:36(-)"
"용역","20200609664-00","긴급","포스트(Post) 코로나 시대의 정부혁신 과제 연구","행정안전부","행정안전부","제한(총액)협상에의한계약","2020/06/06 12:01(2020/06/19 10:00)"
"용역","20200609655-00","긴급","수원형 시내버스 준공영제 실행방안 수립 연구용역","경기도 수원시","경기도 수원시","일반(총액)협상에의한계약","2020/06/06 11:15(-)"
"용역","20200609648-00","긴급","2020년 한우산지구 조림지 사후관리사업","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 10:03(2020/06/12 10:00)"
"용역","20200609647-00","긴급","2020년 춘기조림지구 조림지 사후관리사업","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 09:59(2020/06/12 10:00)"
"용역","20200609646-00","긴급","2020년 상촌골지구 조림지 사후관리사업","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 09:56(2020/06/12 10:00)"
"용역","20200609644-00","긴급","2020년 낙서의령지구 조림지 사후관리사업","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 09:52(2020/06/12 10:00)"
"용역","20200609643-00","일반","2020년 상곡지구 조림지 사후관리사업","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 09:49(2020/06/12 10:00)"
"용역","20200609641-00","긴급","2020년 미타산 특화림 조림지 사후관리사업","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 09:44(2020/06/12 10:00)"
"용역","20200609639-00","긴급","2020년 덩굴제거사업-낙서부림지구","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 09:40(2020/06/12 10:00)"
"용역","20200609636-00","긴급","2020년 덩굴제거사업-정곡한우산대의화정지구","경상남도 의령군","경상남도 의령군","제한(총액)","2020/06/06 09:34(2020/06/12 10:00)"
"용역","20200608358-00","일반","무인이동체융합연구소 부산광역시 토지정보과 대상 3D laser Scanner 및 드론 활용 본 실증 용역","조달청 부산지방조달청","부산대학교 산학협력단","제한(총액)협상에의한계약","2020/06/06 07:26(2020/06/17 10:00)"
